Year,Ph,OC(g kg),EC(dS/m),N(kg/ha),P(kg/ha),K(kg/ha)
1920,4,10,0.1,118,20,133
1921,4.1,11,0.3,120,40,230
1922,4.2,12,0.4,140,70,340
1923,4.4,13,0.5,290,80,400
1924,4.5,14,0.1,360,94,412
1925,4,10,0.1,118,20,133
1926,4.1,11,0.3,120,40,230
1927,4.2,12,0.4,140,70,340
1928,4.4,13,0.5,290,80,400
1929,4.2,12,0.4,140,70,340
1930,4.4,13,0.5,290,80,400
1931,4.5,14,0.1,360,94,412
1932,4,10,0.1,118,20,133
1933,4.1,11,0.3,120,40,230
1934,4.2,12,0.4,140,70,340
1935,4.1,11,0.3,120,40,230
1936,4.2,12,0.4,140,70,340
1937,4.4,13,0.5,290,80,400
1938,4.5,14,0.1,360,94,412
1939,4,10,0.1,118,20,133
1940,4.1,11,0.3,120,40,230
1941,4.2,12,0.4,140,70,340
1942,4.4,13,0.5,290,80,400
1943,4.2,12,0.4,140,70,340
1944,4.4,13,0.5,290,80,400
1945,4.5,14,0.1,360,94,412
1946,4,10,0.1,118,20,133
1947,4.1,11,0.3,120,40,230
1948,4,10,0.1,118,20,133
1949,4.1,11,0.3,120,40,230
1950,4.2,12,0.4,140,70,340
1951,4.4,13,0.5,290,80,400
1952,4.5,14,0.1,360,94,412
1953,4,10,0.1,118,20,133
1954,4.1,11,0.3,120,40,230
1955,4.2,12,0.4,140,70,340
1956,4.4,13,0.5,290,80,400
1957,4.2,12,0.4,140,70,340
1958,4.4,13,0.5,290,80,400
1959,4.5,14,0.1,360,94,412
1960,4,10,0.1,118,20,133
1961,4.1,11,0.3,120,40,230
1962,4.2,12,0.4,140,70,340
1963,4.1,11,0.3,120,40,230
1964,4.2,12,0.4,140,70,340
1965,4.4,13,0.5,290,80,400
1966,4.5,14,0.1,360,94,412
1967,4,10,0.1,118,20,133
1968,4.1,11,0.3,120,40,230
1969,4.2,12,0.4,140,70,340
1970,4.5,14,0.1,360,94,412
1971,4,10,0.1,118,20,133
1972,4.1,11,0.3,120,40,230
1973,4.2,12,0.4,140,70,340
1974,4.4,13,0.5,290,80,400
1975,4.2,12,0.4,140,70,340
1976,4.4,13,0.5,290,80,400
1977,4.5,14,0.1,360,94,412
1978,4,10,0.1,118,20,133
1979,4.1,11,0.3,120,40,230
1980,4.2,12,0.4,140,70,340
1981,4.1,11,0.3,120,40,230
1982,4.2,12,0.4,140,70,340
1983,4.4,13,0.5,290,80,400
1984,4.5,14,0.1,360,94,412
1985,4,10,0.1,118,20,133
1986,4.1,11,0.3,120,40,230
1987,4.2,12,0.4,140,70,340
1988,4.4,13,0.5,290,80,400
1989,4.2,12,0.4,140,70,340
1990,4.4,13,0.5,290,80,400
1991,4.5,14,0.1,360,94,412
1992,4,10,0.1,118,20,133
1993,4.1,11,0.3,120,40,230
1994,4,10,0.1,118,20,133
1995,4.1,11,0.3,120,40,230
1996,4.2,12,0.4,140,70,340
1997,4.4,13,0.5,290,80,400
1998,4.5,14,0.1,360,94,412
1999,4,10,0.1,118,20,133
2000,4.1,11,0.3,120,40,230
2001,4.2,12,0.4,140,70,340
2002,4.4,13,0.5,290,80,400
2003,4.2,12,0.4,140,70,340
2004,4.4,13,0.5,290,80,400
2005,4.5,14,0.1,360,94,412
2006,4.2,12,0.4,140,70,340
2007,4.4,13,0.5,290,80,400
2008,4.5,14,0.1,360,94,412
2009,4,10,0.1,118,20,133
2010,4.1,11,0.3,120,40,230
2011,4.2,12,0.4,140,70,340
2012,4.4,13,0.5,290,80,400
2013,4.2,12,0.4,140,70,340
2014,4.4,13,0.5,290,80,400
2015,4.5,14,0.1,360,94,412
2016,4,10,0.1,118,20,133
2017,4.1,11,0.3,120,40,230
2018,4.2,12,0.4,140,70,340
2019,4.1,11,0.3,120,40,230
2020,4.2,12,0.4,140,70,340
