Year,Rice(kg/hectare),Jowar,Ragi,Small Millets,Tur ,Gram,Groundnuts,Sessasum,Banana,Sugarcane,Tobacco,Chillies,Ginger,Coconut,Tumeric,Bajra,Maize,Cotton,Potato,Wheat,Other Pulses,Mesta
1920,3242,1135,1134,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170
1921,3034,1212,1124,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193
1922,512,970,856,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192
1923,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1924,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
1925,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
1926,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1927,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200,1250,723,1561
1928,3242,1135,1134,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170
1929,3034,1212,1124,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193
1930,512,970,856,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192
1931,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1932,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
1933,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
1934,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1935,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200,1250,723,1561
1936,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
1937,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1938,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200,1250,723,1561
1939,3242,1135,1134,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170
1940,3034,1212,1124,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193
1941,512,970,856,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192
1942,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1943,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
1944,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
1945,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1946,2921,1642,1023,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180
1947,3172,1680,950,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200
1948,3242,1135,1134,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170
1949,3034,1212,1124,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193
1950,512,970,856,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192
1951,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1952,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
1953,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
1954,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1955,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200,1250,723,1561
1956,3242,1135,1134,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170
1957,3034,1212,1124,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193
1958,512,970,856,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192
1959,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1960,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
1961,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
1962,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1963,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200,1250,723,1561
1964,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170,575,567,1423
1965,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
1966,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
1967,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1968,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1969,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200,1250,723,1561
1970,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170,575,567,1423
1971,512,970,856,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192
1972,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1973,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
1974,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
1975,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1976,2921,1642,1023,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180
1977,3172,1680,950,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200
1978,3242,1135,1134,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170
1979,3034,1212,1124,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193
1980,512,970,856,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192
1981,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1982,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
1983,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
1984,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1985,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200,1250,723,1561
1986,3242,1135,1134,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170
1987,3034,1212,1124,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193
1988,512,970,856,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192
1989,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1990,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
1991,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
1992,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
1993,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200,1250,723,1561
1994,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170,575,567,1423
1995,2921,1642,1023,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180
1996,3172,1680,950,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200
1997,3242,1135,1134,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170
1998,3034,1212,1124,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193
1999,512,970,856,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192
2000,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
2001,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
2002,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
2003,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
2004,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200,1250,723,1561
2005,3242,1135,1134,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170
2006,3034,1212,1124,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193
2007,512,970,856,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192
2008,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
2009,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
2010,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
2011,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
2012,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200,1250,723,1561
2013,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170,575,567,1423
2014,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
2015,3034,1212,1124,970,423,1235,889,223,359,77435,1780,44,87,58,40,1534,5326,452,192,1300,534,1656
2016,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
2017,3148,1601,934,1000,380,1209,645,224,329,72345,1908,32,68,45,39,1378,4234,542,180,1375,614,1324
2018,2921,1642,1023,940,512,970,856,334,389,81002,1860,29,70,78,37,1634,4664,410,200,1250,723,1561
2019,3172,1680,950,780,523,1102,823,345,412,71888,2000,31,71,100,32,1567,4867,312,170,575,567,1423
2020,3062,1135,1134,545,414,1123,773,222,340,74567,1870,34,43,68,41,1120,3527,342,193,1000,423,1560
