Year, Rainfall,  Humidity, Wind, Max Temp, Min Temp, Air Pressure
1920,7934,72,8,30,24,1014
1921,9250,70,11,32,22,1012
1922,8943,71,13,33,25,1011
1923,9471,72,16,28,19,1009
1924,9769,71,9,30,26,1012
1925,12049,72,12,31,25,1018
1926,7599,71,13,32,23,1017
1927,10400,72,15,35,28,1014
1928,9549,70,11,32,22,1012
1929,8618,71,13,33,25,1011
1930,12727,72,16,28,19,1009
1931,11317,71,9,30,26,1012
1932,9130,72,12,31,25,1018
1933,9543,71,13,32,23,1017
1934,7876,70,11,32,22,1012
1935,6368,71,13,33,25,1011
1936,6000,72,16,28,19,1009
1937,12007,71,9,30,26,1012
1938,8128,72,12,31,25,1018
1939,10738,71,13,32,23,1017
1940,10801,72,15,35,28,1014
1941,11659,70,11,32,22,1012
1942,9533,71,13,33,25,1011
1943,7321,72,16,28,19,1017
1944,10066,71,9,30,26,1012
1945,12331,72,12,31,25,1018
1946,8189,71,9,30,26,1012
1947,10777,72,12,31,25,1018
1948,9534,71,13,32,23,1017
1949,8951,72,15,35,28,1014
1950,12242,70,11,32,22,1012
1951,8471,71,13,33,25,1011
1952,8230,72,16,28,19,1009
1953,8338,71,9,30,26,1012
1954,8723,72,12,31,25,1018
1955,9674,71,13,32,23,1017
1956,10767,70,11,32,22,1012
1957,13590,71,13,33,25,1011
1958,8972,72,16,28,19,1009
1959,11570,71,9,30,26,1012
1960,9157,72,12,31,25,1018
1961,8709,71,13,32,23,1017
1962,10715,72,15,35,28,1014
1963,13186,70,11,32,22,1012
1964,9787,71,13,33,25,1011
1965,9575,72,16,28,19,1017
1966,7327,71,9,30,26,1012
1967,10903,71,9,30,26,1012
1968,8028,72,12,31,25,1018
1969,6993,71,13,32,23,1017
1970,13181,72,15,35,28,1014
1971,8695,70,11,32,22,1012
1972,9062,71,13,33,25,1011
1973,9045,72,16,28,19,1009
1974,7758,71,9,30,26,1012
1975,8354,72,12,31,25,1018
1976,10596,71,13,32,23,1017
1977,11907,70,11,32,22,1012
1978,9498,71,13,33,25,1011
1979,11257,72,16,28,19,1009
1980,9810,71,9,30,26,1012
1981,10137,72,12,31,25,1018
1982,9610,71,13,32,23,1017
1983,8257,72,15,35,28,1014
1984,11084,70,11,32,22,1012
1985,7058,71,13,33,25,1011
1986,10061,72,16,28,19,1017
1987,10766,71,9,30,26,1012
1988,10000,72,12,31,25,1018
1989,10988,71,9,30,26,1012
1990,9493,72,12,31,25,1018
1991,9181,71,13,32,23,1017
1992,15015,72,15,35,28,1014
1993,12303,70,11,32,22,1012
1994,10710,71,13,33,25,1011
1995,9470,72,16,28,19,1009
1996,10900,71,9,30,26,1012
1997,13576,72,12,31,25,1018
1998,12765,72,12,31,25,1018
1999,11700,71,13,32,23,1017
2000,11966,70,11,32,22,1012
2001,7395,71,13,33,25,1011
2002,7000,72,16,28,19,1009
2003,10590,71,9,30,26,1012
2004,9989,72,12,31,25,1018
2005,7306,71,13,32,23,1017
2006,9932,72,15,35,28,1014
2007,9190,70,11,32,22,1012
2008,11860,71,13,33,25,1011
2009,11470,72,16,28,19,1017
2010,10750,71,9,30,26,1012
2011,10593,71,9,30,26,1012
2012,7915,72,12,31,25,1018
2013,17047,71,13,32,23,1017
2014,7926,72,15,35,28,1014
2015,11917,70,11,32,22,1012
2016,10461,71,13,33,25,1011
2017,7215,72,16,28,19,1009
2018,9460,71,9,30,26,1012
2019,8028,72,12,31,25,1018
2020,9005,71,13,32,23,1017
