Year,NPK(tonnes),MAP(tonnes),MOP(tonnes),TSP(tonnes),UREA(tonnes),DAP(tonnes)
1920,3120,265,625,281,41,290
1921,4062,284,460,110,89,360
1922,3241,113,370,251,100,430
1923,2567,235,460,281,136,870
1924,2100,123,370,200,62,230
1925,1878,208,220,150,136,290
1926,3241,261,215,190,261,210
1927,2567,265,258,180,265,218
1928,2500,123,625,149,284,245
1929,2501,208,460,156,113,120
1930,2409,261,370,150,112,119
1931,3241,265,376,190,261,210
1932,2567,284,625,180,265,218
1933,2100,113,460,149,284,245
1934,1878,235,370,156,113,120
1935,3241,208,210,281,136,870
1936,2567,211,270,200,62,230
1937,2500,115,250,150,136,290
1938,2501,113,460,190,261,210
1939,2409,235,370,180,265,218
1940,1878,208,210,149,284,245
1941,3241,211,270,156,113,120
1942,2567,115,250,120,117,115
1943,2500,123,370,200,62,230
1944,2501,208,220,150,136,290
1945,2409,261,215,190,261,210
1946,3241,265,258,180,265,218
1947,2567,123,625,149,284,245
1948,2100,208,460,156,113,120
1949,1878,261,370,150,112,119
1950,3241,265,376,190,261,210
1951,2567,284,625,180,265,218
1952,2566,113,460,149,284,245
1953,2543,235,370,156,113,120
1954,3241,261,215,190,261,210
1955,2567,265,258,180,265,218
1956,2500,123,625,149,284,245
1957,2501,208,460,156,113,120
1958,2409,261,370,150,112,119
1959,3241,265,376,190,261,210
1960,2567,284,625,180,265,218
1961,2100,113,460,149,284,245
1962,1878,235,370,156,113,120
1963,3241,208,210,281,136,870
1964,2567,211,270,200,62,230
1965,2500,115,250,150,136,290
1966,2501,113,460,190,261,210
1967,2409,235,370,180,265,218
1968,1878,208,210,149,284,245
1969,3241,211,270,156,113,120
1970,2567,115,250,120,117,115
1971,2500,123,370,200,62,230
1972,2500,123,625,149,284,245
1973,2501,208,460,156,113,120
1974,2409,261,370,150,112,119
1975,3241,265,376,190,261,210
1976,2567,284,625,180,265,218
1977,2100,113,460,149,284,245
1978,1878,235,370,156,113,120
1979,3241,208,210,281,136,870
1980,2567,211,270,200,62,230
1981,2500,115,250,150,136,290
1982,2501,113,460,190,261,210
1983,2409,235,370,180,265,218
1984,1878,208,210,149,284,245
1985,3241,211,270,156,113,120
1986,2567,115,250,120,117,115
1987,2500,123,370,200,62,230
1988,2501,208,220,150,136,290
1989,2409,261,215,190,261,210
1990,3241,265,258,180,265,218
1991,2567,123,625,149,284,245
1992,2100,208,460,156,113,120
1993,1878,261,370,150,112,119
1994,3241,265,376,190,261,210
1995,2567,284,625,180,265,218
1996,2566,113,460,149,284,245
1997,2543,235,370,156,113,120
1998,3241,261,215,190,261,210
1999,2567,265,258,180,265,218
2000,2500,123,625,149,284,245
2001,2501,208,460,156,113,120
2002,2409,261,370,150,112,119
2003,3241,265,376,190,261,210
2004,1878,235,370,156,113,120
2005,3241,208,210,281,136,870
2006,2567,211,270,200,62,230
2007,2500,115,250,150,136,290
2008,2501,113,460,190,261,210
2009,2409,235,370,180,265,218
2010,1878,208,210,149,284,245
2011,3241,211,270,156,113,120
2012,2567,115,250,120,117,115
2013,2500,123,370,200,62,230
2014,2500,123,625,149,284,245
2015,2501,208,460,156,113,120
2016,2409,261,370,150,112,119
2017,3241,265,376,190,261,210
2018,2567,284,625,180,265,218
2019,2100,113,460,149,284,245
2020,1878,235,370,156,113,120
