Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1920,53,100,168,119,60,168
1921,47,80,154,393,80,154
1922,67,110,250,800,81,156
1923,64,99,249,778,77,145
1924,48,82,210,700,62,120
1925,43,81,211,890,60,119
1926,48,80,217,820,59,117
1927,67,110,250,800,81,156
1928,64,99,249,778,77,145
1929,48,82,210,700,62,120
1930,43,81,211,890,60,119
1931,48,80,217,820,59,117
1932,47,80,154,393,80,154
1933,67,110,250,800,81,156
1934,64,99,249,778,77,145
1935,48,82,210,700,62,120
1936,43,81,211,890,60,119
1937,48,80,217,820,59,117
1938,67,110,250,800,81,156
1939,64,99,249,778,77,145
1940,48,82,210,700,62,120
1941,53,100,168,119,60,168
1942,47,80,154,393,80,154
1943,67,110,250,800,81,156
1944,64,99,249,778,77,145
1945,48,82,210,700,62,120
1946,43,81,211,890,60,119
1947,48,80,217,820,59,117
1948,67,110,250,800,81,156
1949,64,99,249,778,77,145
1950,48,82,210,700,62,120
1951,43,81,211,890,60,119
1952,48,80,217,820,59,117
1953,47,80,154,393,80,154
1954,67,110,250,800,81,156
1955,64,99,249,778,77,145
1956,48,82,210,700,62,120
1957,43,81,211,890,60,119
1958,48,80,217,820,59,117
1959,64,99,249,778,77,145
1960,48,82,210,700,62,120
1961,43,81,211,890,60,119
1962,48,80,217,820,59,117
1963,67,110,250,800,81,156
1964,64,99,249,778,77,145
1965,48,82,210,700,62,120
1966,43,81,211,890,60,119
1967,48,80,217,820,59,117
1968,47,80,154,393,80,154
1969,67,110,250,800,81,156
1970,64,99,249,778,77,145
1971,48,82,210,700,62,120
1972,43,81,211,890,60,119
1973,48,80,217,820,59,117
1974,67,110,250,800,81,156
1975,64,99,249,778,77,145
1976,48,82,210,700,62,120
1977,53,100,168,119,60,168
1978,47,80,154,393,80,154
1979,67,110,250,800,81,156
1980,64,99,249,778,77,145
1981,43,81,211,890,60,119
1982,48,80,217,820,59,117
1983,67,110,250,800,81,156
1984,64,99,249,778,77,145
1985,48,82,210,700,62,120
1986,53,100,168,119,60,168
1987,47,80,154,393,80,154
1988,67,110,250,800,81,156
1989,64,99,249,778,77,145
1990,48,82,210,700,62,120
1991,43,81,211,890,60,119
1992,48,80,217,820,59,117
1993,67,110,250,800,81,156
1994,64,99,249,778,77,145
1995,48,82,210,700,62,120
1996,43,81,211,890,60,119
1997,48,80,217,820,59,117
1998,47,80,154,393,80,154
1999,67,110,250,800,81,156
2000,64,99,249,778,77,145
2001,48,82,210,700,62,120
2002,43,81,211,890,60,119
2003,48,80,217,820,59,117
2004,64,99,249,778,77,145
2005,48,82,210,700,62,120
2006,43,81,211,890,60,119
2007,48,80,217,820,59,117
2008,67,110,250,800,81,156
2009,64,99,249,778,77,145
2010,48,82,210,700,62,120
2011,43,81,211,890,60,119
2012,48,80,217,820,59,117
2013,47,80,154,393,80,154
2014,67,110,250,800,81,156
2015,64,99,249,778,77,145
2016,48,82,210,700,62,120
2017,43,81,211,890,60,119
2018,48,80,217,820,59,117
2019,41,88,216,821,58,115
2020,48,82,210,700,62,120
