Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(micro/cm)
1920,0.02,69.34,11.25,10.8,8.9,1529
1921,0.02,63.45,9.34,9.5,6.8,4000
1922,0.07,66.34,10.23,12.4,8.4,1300
1923,0.02,68.78,12.34,10.67,7.7,1201
1924,0.02,69.34,11.25,10.8,8.9,1529
1925,0.02,63.45,9.34,9.5,6.8,4000
1926,0.07,66.34,10.23,12.4,8.4,1300
1927,0.02,68.78,12.34,10.67,7.7,1201
1928,0.03,69.34,11.25,10.8,8.9,1529
1929,0.05,63.45,9.34,9.5,6.8,4000
1930,0.02,66.34,10.23,12.4,8.4,1300
1931,0.02,63.45,9.34,9.5,6.8,4000
1932,0.07,66.34,10.23,12.4,8.4,1300
1933,0.02,68.78,12.34,10.67,7.7,1201
1934,0.02,68.78,12.34,10.67,7.7,1201
1935,0.02,69.34,11.25,10.8,8.9,1529
1936,0.02,63.45,9.34,9.5,6.8,4000
1937,0.07,66.34,10.23,12.4,8.4,1300
1938,0.02,68.78,12.34,10.67,7.7,1201
1939,0.03,69.34,11.25,10.8,8.9,1529
1940,0.05,63.45,9.34,9.5,6.8,4000
1941,0.02,66.34,10.23,12.4,8.4,1300
1942,0.02,63.45,9.34,9.5,6.8,4000
1943,0.07,66.34,10.23,12.4,8.4,1300
1944,0.07,66.34,10.23,12.4,8.4,1300
1945,0.02,68.78,12.34,10.67,7.7,1201
1946,0.02,69.34,11.25,10.8,8.9,1529
1947,0.02,63.45,9.34,9.5,6.8,4000
1948,0.07,66.34,10.23,12.4,8.4,1300
1949,0.02,68.78,12.34,10.67,7.7,1201
1950,0.03,69.34,11.25,10.8,8.9,1529
1951,0.05,63.45,9.34,9.5,6.8,4000
1952,0.02,66.34,10.23,12.4,8.4,1300
1953,0.02,63.45,9.34,9.5,6.8,4000
1954,0.07,66.34,10.23,12.4,8.4,1300
1955,0.02,68.78,12.34,10.67,7.7,1201
1956,0.02,68.78,12.34,10.67,7.7,1201
1957,0.02,69.34,11.25,10.8,8.9,1529
1958,0.02,63.45,9.34,9.5,6.8,4000
1959,0.07,66.34,10.23,12.4,8.4,1300
1960,0.02,68.78,12.34,10.67,7.7,1201
1961,0.03,69.34,11.25,10.8,8.9,1529
1962,0.05,63.45,9.34,9.5,6.8,4000
1963,0.02,66.34,10.23,12.4,8.4,1300
1964,0.02,63.45,9.34,9.5,6.8,4000
1965,0.07,66.34,10.23,12.4,8.4,1300
1966,0.02,68.78,12.34,10.67,7.7,1201
1967,0.03,69.34,11.25,10.8,8.9,1529
1968,0.05,63.45,9.34,9.5,6.8,4000
1969,0.02,66.34,10.23,12.4,8.4,1300
1970,0.02,63.45,9.34,9.5,6.8,4000
1971,0.07,66.34,10.23,12.4,8.4,1300
1972,0.07,66.34,10.23,12.4,8.4,1300
1973,0.02,68.78,12.34,10.67,7.7,1201
1974,0.02,69.34,11.25,10.8,8.9,1529
1975,0.02,63.45,9.34,9.5,6.8,4000
1976,0.07,66.34,10.23,12.4,8.4,1300
1977,0.02,68.78,12.34,10.67,7.7,1201
1978,0.03,69.34,11.25,10.8,8.9,1529
1979,0.05,63.45,9.34,9.5,6.8,4000
1980,0.02,66.34,10.23,12.4,8.4,1300
1981,0.02,63.45,9.34,9.5,6.8,4000
1982,0.07,66.34,10.23,12.4,8.4,1300
1983,0.02,68.78,12.34,10.67,7.7,1201
1984,0.02,68.78,12.34,10.67,7.7,1201
1985,0.02,69.34,11.25,10.8,8.9,1529
1986,0.02,63.45,9.34,9.5,6.8,4000
1987,0.07,66.34,10.23,12.4,8.4,1300
1988,0.02,68.78,12.34,10.67,7.7,1201
1989,0.03,69.34,11.25,10.8,8.9,1529
1990,0.05,63.45,9.34,9.5,6.8,4000
1991,0.02,66.34,10.23,12.4,8.4,1300
1992,0.03,69.34,11.25,10.8,8.9,1529
1993,0.05,63.45,9.34,9.5,6.8,4000
1994,0.02,66.34,10.23,12.4,8.4,1300
1995,0.02,63.45,9.34,9.5,6.8,4000
1996,0.07,66.34,10.23,12.4,8.4,1300
1997,0.02,68.78,12.34,10.67,7.7,1201
1998,0.03,69.34,11.25,10.8,8.9,1529
1999,0.05,63.45,9.34,9.5,6.8,4000
2000,0.02,66.34,10.23,12.4,8.4,1300
2001,0.02,63.45,9.34,9.5,6.8,4000
2002,0.07,66.34,10.23,12.4,8.4,1300
2003,0.07,66.34,10.23,12.4,8.4,1300
2004,0.02,68.78,12.34,10.67,7.7,1201
2005,0.02,69.34,11.25,10.8,8.9,1529
2006,0.02,63.45,9.34,9.5,6.8,4000
2007,0.07,66.34,10.23,12.4,8.4,1300
2008,0.02,68.78,12.34,10.67,7.7,1201
2009,0.03,69.34,11.25,10.8,8.9,1529
2010,0.05,63.45,9.34,9.5,6.8,4000
2011,0.02,66.34,10.23,12.4,8.4,1300
2012,0.02,63.45,9.34,9.5,6.8,4000
2013,0.07,66.34,10.23,12.4,8.4,1300
2014,0.02,68.78,12.34,10.67,7.7,1201
2015,0.02,68.78,12.34,10.67,7.7,1201
2016,0.02,69.34,11.25,10.8,8.9,1529
2017,0.04,60.23,10.34,9.2,8.1,1200
2018,0.02,63.45,9.34,9.5,6.8,4000
2019,0.07,66.34,10.23,12.4,8.4,1300
2020,0.02,68.78,12.34,10.67,7.7,1201
