Year,Ph,OC(g kg),EC(dS/m),N(kg/ha),P(kg/ha),K(kg/ha)
1920,6.5,0.8,0.37,280,25.6,300
1921,8.2,1,0.5,250,30,280
1922,8,1,0.2,240,29,400
1923,7,0.3,0.32,278,32,380
1924,8.2,0.7,0.6,268,31,367
1925,8.2,1,0.5,250,30,280
1926,8,1,0.2,240,29,400
1927,7,0.3,0.32,278,32,380
1928,8.2,1,0.5,250,30,280
1929,8,1,0.2,240,29,400
1930,7,0.3,0.32,278,32,380
1931,8.2,0.7,0.6,268,31,367
1932,8.2,1,0.5,250,30,280
1933,8,1,0.2,240,29,400
1934,7,0.3,0.32,278,32,380
1935,8,1,0.2,240,29,400
1936,7,0.3,0.32,278,32,380
1937,8.2,0.7,0.6,268,31,367
1938,8.2,1,0.5,250,30,280
1939,8,1,0.2,240,29,400
1940,7,0.3,0.32,278,32,380
1941,8.2,1,0.5,250,30,280
1942,8,1,0.2,240,29,400
1943,7,0.3,0.32,278,32,380
1944,8.2,0.7,0.6,268,31,367
1945,8.2,1,0.5,250,30,280
1946,8,1,0.2,240,29,400
1947,7,0.3,0.32,278,32,380
1948,8.2,1,0.5,250,30,280
1949,8,1,0.2,240,29,400
1950,7,0.3,0.32,278,32,380
1951,8.2,1,0.5,250,30,280
1952,8,1,0.2,240,29,400
1953,7,0.3,0.32,278,32,380
1954,8.2,0.7,0.6,268,31,367
1955,8.2,1,0.5,250,30,280
1956,8,1,0.2,240,29,400
1957,7,0.3,0.32,278,32,380
1958,8,1,0.2,240,29,400
1959,7,0.3,0.32,278,32,380
1960,8.2,0.7,0.6,268,31,367
1961,8.2,1,0.5,250,30,280
1962,8,1,0.2,240,29,400
1963,7,0.3,0.32,278,32,380
1964,8.2,1,0.5,250,30,280
1965,8,1,0.2,240,29,400
1966,7,0.3,0.32,278,32,380
1967,8.2,0.7,0.6,268,31,367
1968,7,0.3,0.32,278,32,380
1969,8.2,0.7,0.6,268,31,367
1970,8.2,1,0.5,250,30,280
1971,8,1,0.2,240,29,400
1972,7,0.3,0.32,278,32,380
1973,8.2,1,0.5,250,30,280
1974,8,1,0.2,240,29,400
1975,7,0.3,0.32,278,32,380
1976,8.2,0.7,0.6,268,31,367
1977,8.2,1,0.5,250,30,280
1978,8,1,0.2,240,29,400
1979,7,0.3,0.32,278,32,380
1980,8,1,0.2,240,29,400
1981,7,0.3,0.32,278,32,380
1982,8.2,0.7,0.6,268,31,367
1983,8.2,1,0.5,250,30,280
1984,8,1,0.2,240,29,400
1985,7,0.3,0.32,278,32,380
1986,8.2,1,0.5,250,30,280
1987,8,1,0.2,240,29,400
1988,7,0.3,0.32,278,32,380
1989,8.2,0.7,0.6,268,31,367
1990,8.2,1,0.5,250,30,280
1991,8,1,0.2,240,29,400
1992,7,0.3,0.32,278,32,380
1993,8.2,1,0.5,250,30,280
1994,8,1,0.2,240,29,400
1995,7,0.3,0.32,278,32,380
1996,8.2,1,0.5,250,30,280
1997,7,0.3,0.32,278,32,380
1998,8.2,1,0.5,250,30,280
1999,8,1,0.2,240,29,400
2000,7,0.3,0.32,278,32,380
2001,8.2,0.7,0.6,268,31,367
2002,8.2,1,0.5,250,30,280
2003,8,1,0.2,240,29,400
2004,7,0.3,0.32,278,32,380
2005,8.2,1,0.5,250,30,280
2006,8,1,0.2,240,29,400
2007,7,0.3,0.32,278,32,380
2008,8.2,1,0.5,250,30,280
2009,8,1,0.2,240,29,400
2010,7,0.3,0.32,278,32,380
2011,8.2,0.7,0.6,268,31,367
2012,8.2,1,0.5,250,30,280
2013,8,1,0.2,240,29,400
2014,7,0.3,0.32,278,32,380
2015,8,1,0.2,240,29,400
2016,7,0.3,0.32,278,32,380
2017,8.2,0.7,0.6,268,31,367
2018,8.2,1,0.5,250,30,280
2019,8,1,0.2,240,29,400
2020,7,0.3,0.32,278,32,380
