Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(micro/cm)
1920,0.8,10.26,11.28,1.28,7,122
1921,1.8,11.26,12.28,2.28,7.1,123
1922,2.8,12.26,13.28,3.28,7.2,124
1923,3.8,13.26,14.28,4.28,7.4,125
1924,4.8,14.26,15.28,5.28,7.5,126
1925,5.8,15.26,16.28,6.28,7,127
1926,6.8,16.26,17.28,7.28,7.1,128
1927,7.8,17.26,18.28,8.28,7.2,129
1928,8.8,18.26,19.28,9.28,7.4,130
1929,9.8,19.26,20.28,10.28,7.1,131
1930,10.8,20.26,21.28,11.28,7.2,132
1931,11.8,21.26,22.28,12.28,7.4,133
1932,12.8,22.26,23.28,13.28,7.5,134
1933,13.8,23.26,24.28,14.28,7,135
1934,14.8,24.26,25.28,15.28,7.1,136
1935,15.8,25.26,26.28,16.28,7.2,137
1936,16.8,26.26,27.28,17.28,7,138
1937,17.8,27.26,28.28,18.28,7.1,139
1938,18.8,28.26,29.28,19.28,7.2,140
1939,19.8,29.26,30.28,20.28,7.4,141
1940,20.8,30.26,31.28,21.28,7.5,142
1941,21.8,31.26,32.28,22.28,7,143
1942,22.8,32.26,33.28,23.28,7.1,144
1943,23.8,33.26,34.28,24.28,7.2,145
1944,24.8,34.26,35.28,25.28,7.4,146
1945,25.8,35.26,36.28,26.28,7.1,147
1946,26.8,36.26,37.28,27.28,7.2,148
1947,27.8,37.26,38.28,28.28,7.4,149
1948,28.8,38.26,39.28,29.28,7.5,150
1949,29.8,39.26,40.28,30.28,7,151
1950,30.8,40.26,41.28,31.28,7.1,152
1951,31.8,41.26,42.28,32.28,7.1,153
1952,32.8,42.26,43.28,33.28,7.2,154
1953,33.8,43.26,44.28,34.28,7.4,155
1954,34.8,44.26,45.28,35.28,7.5,156
1955,35.8,45.26,46.28,36.28,7,157
1956,36.8,46.26,47.28,37.28,7.1,158
1957,37.8,47.26,48.28,38.28,7.2,159
1958,38.8,48.26,49.28,39.28,7.4,160
1959,39.8,49.26,50.28,40.28,7.1,161
1960,40.8,50.26,51.28,41.28,7.2,162
1961,41.8,51.26,52.28,42.28,7.4,163
1962,42.8,52.26,53.28,43.28,7.5,164
1963,43.8,53.26,54.28,44.28,7,165
1964,44.8,54.26,55.28,45.28,7.1,166
1965,45.8,55.26,56.28,46.28,7.2,167
1966,46.8,56.26,57.28,47.28,7,168
1967,47.8,57.26,58.28,48.28,7.1,169
1968,48.8,58.26,59.28,49.28,7.2,170
1969,49.8,59.26,60.28,50.28,7.4,171
1970,50.8,60.26,61.28,51.28,7.5,172
1971,51.8,61.26,62.28,52.28,7,173
1972,52.8,62.26,63.28,53.28,7.1,174
1973,53.8,63.26,64.28,54.28,7.2,175
1974,54.8,64.26,65.28,55.28,7.4,176
1975,55.8,65.26,66.28,56.28,7.1,177
1976,56.8,66.26,67.28,57.28,7.2,178
1977,57.8,67.26,68.28,58.28,7.4,179
1978,58.8,68.26,69.28,59.28,7.5,180
1979,59.8,69.26,70.28,60.28,7.2,181
1980,60.8,70.26,71.28,61.28,7.4,182
1981,61.8,71.26,72.28,62.28,7.5,183
1982,62.8,72.26,73.28,63.28,7,184
1983,63.8,73.26,74.28,64.28,7.1,185
1984,64.8,74.26,75.28,65.28,7.2,186
1985,65.8,75.26,76.28,66.28,7.4,187
1986,66.8,76.26,77.28,67.28,7.1,188
1987,67.8,77.26,78.28,68.28,7.2,189
1988,68.8,78.26,79.28,69.28,7.4,190
1989,69.8,79.26,80.28,70.28,7.5,191
1990,70.8,80.26,81.28,71.28,7,192
1991,71.8,81.26,82.28,72.28,7.1,193
1992,72.8,82.26,83.28,73.28,7.2,194
1993,73.8,83.26,84.28,74.28,7,195
1994,74.8,84.26,85.28,75.28,7.1,196
1995,75.8,85.26,86.28,76.28,7.2,197
1996,76.8,86.26,87.28,77.28,7.4,198
1997,77.8,87.26,88.28,78.28,7.5,199
1998,78.8,88.26,89.28,79.28,7,200
1999,79.8,89.26,90.28,80.28,7.1,201
2000,80.8,90.26,91.28,81.28,7.2,202
2001,81.8,91.26,92.28,82.28,7.4,203
2002,82.8,92.26,93.28,83.28,7.1,204
2003,83.8,93.26,94.28,84.28,7.2,205
2004,84.8,94.26,95.28,85.28,7.4,206
2005,85.8,95.26,96.28,86.28,7.5,207
2006,86.8,96.26,97.28,87.28,7,208
2007,87.8,97.26,98.28,88.28,7.1,209
2008,88.8,98.26,99.28,89.28,7.1,210
2009,89.8,99.26,100.28,90.28,7.2,211
2010,90.8,100.26,101.28,91.28,7.4,212
2011,91.8,101.26,102.28,92.28,7.5,213
2012,92.8,102.26,103.28,93.28,7,214
2013,93.8,103.26,104.28,94.28,7.1,215
2014,94.8,104.26,105.28,95.28,7.2,216
2015,95.8,105.26,106.28,96.28,7.4,217
2016,96.8,106.26,107.28,97.28,7.1,218
2017,97.8,107.26,108.28,98.28,7.2,219
2018,98.8,108.26,109.28,99.28,7.4,220
2019,99.8,109.26,110.28,100.28,7.5,221
2020,100.8,110.26,111.28,101.28,7,222
