Year,Rice(kg/hectare),Small Millets,Tur ,Sessasum,Banana,Sugarcane,Chillies,Ginger,Tumeric,Maize,Potato,Wheat,Other Pulses,Groundnuts
1920,1687,769,744,547,26,18578,14,75,40,1289,80,1412,1019,641
1921,1688,770,745,548,26,18579,17,76,44,1290,80,1413,1020,642
1922,1689,771,746,549,26,18580,19,77,45,1291,80,1414,1021,643
1923,1690,772,747,550,26,18581,21,78,46,1292,80,1415,1022,644
1924,1691,773,748,551,26,18582,17,79,47,1293,80,1416,1023,645
1925,1692,774,749,552,26,18583,14,75,40,1294,80,1417,1024,646
1926,1693,775,750,553,26,18584,17,76,44,1295,80,1418,1025,647
1927,1694,776,751,554,26,18585,19,77,45,1296,80,1419,1026,648
1928,1695,777,752,555,26,18586,21,78,46,1297,80,1420,1027,649
1929,1696,778,753,556,26,18587,19,77,45,1298,80,1421,1028,650
1930,1697,779,754,557,26,18588,21,78,46,1299,80,1422,1029,651
1931,1698,780,755,558,26,18589,17,79,47,1300,80,1423,1030,652
1932,1699,781,756,559,26,18590,14,75,40,1301,80,1424,1031,653
1933,1700,782,757,560,26,18591,17,76,44,1302,80,1425,1032,654
1934,1701,783,758,561,26,18592,19,77,45,1303,80,1426,1033,655
1935,1702,784,759,562,26,18593,21,78,46,1304,80,1427,1034,656
1936,1703,785,760,563,26,18594,19,77,45,1305,80,1428,1035,657
1937,1704,786,761,564,26,18595,19,77,45,1306,80,1429,1036,658
1938,1705,787,762,565,26,18596,21,78,46,1307,80,1430,1037,659
1939,1706,788,763,566,26,18597,17,79,47,1308,80,1431,1038,660
1940,1707,789,764,567,26,18598,14,75,40,1309,80,1432,1039,661
1941,1708,790,765,568,26,18599,17,76,44,1310,80,1433,1040,662
1942,1709,791,766,569,26,18600,19,77,45,1311,80,1434,1041,663
1943,1710,792,767,570,26,18601,21,78,46,1312,80,1435,1042,664
1944,1711,793,768,571,26,18602,19,77,45,1313,80,1436,1043,665
1945,1712,794,769,572,26,18603,21,78,46,1314,80,1437,1044,666
1946,1713,795,770,573,26,18604,17,79,47,1315,80,1438,1045,667
1947,1714,796,771,574,26,18605,14,75,40,1316,80,1439,1046,668
1948,1715,797,772,575,26,18606,17,76,44,1317,80,1440,1047,669
1949,1716,798,773,576,26,18607,19,77,45,1318,80,1441,1048,670
1950,1717,799,774,577,26,18608,21,78,46,1319,80,1442,1049,671
1951,1718,800,775,578,26,18609,17,76,44,1320,80,1443,1050,672
1952,1719,801,776,579,26,18610,19,77,45,1321,80,1444,1051,673
1953,1720,802,777,580,26,18611,21,78,46,1322,80,1445,1052,674
1954,1721,803,778,581,26,18612,17,79,47,1323,80,1446,1053,675
1955,1722,804,779,582,26,18613,14,75,40,1324,80,1447,1054,676
1956,1723,805,780,583,26,18614,17,76,44,1325,80,1448,1055,677
1957,1724,806,781,584,26,18615,19,77,45,1326,80,1449,1056,678
1958,1725,807,782,585,26,18616,21,78,46,1327,80,1450,1057,679
1959,1726,808,783,586,26,18617,19,77,45,1328,80,1451,1058,680
1960,1727,809,784,587,26,18618,21,78,46,1329,80,1452,1059,681
1961,1728,810,785,588,26,18619,17,79,47,1330,80,1453,1060,682
1962,1729,811,786,589,26,18620,14,75,40,1331,80,1454,1061,683
1963,1730,812,787,590,26,18621,17,76,44,1332,80,1455,1062,684
1964,1731,813,788,591,26,18622,19,77,45,1333,80,1456,1063,685
1965,1732,814,789,592,26,18623,21,78,46,1334,80,1457,1064,686
1966,1733,815,790,593,26,18624,19,77,45,1335,80,1458,1065,687
1967,1734,816,791,594,26,18625,19,77,45,1336,80,1459,1066,688
1968,1735,817,792,595,26,18626,21,78,46,1337,80,1460,1067,689
1969,1736,818,793,596,26,18627,17,79,47,1338,80,1461,1068,690
