Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1920,1750,809,15,1517,152,36
1921,1751,810,16,1518,153,37
1922,1752,811,17,1519,154,38
1923,1753,812,18,1520,155,39
1924,1754,813,19,1521,156,40
1925,1755,814,20,1522,157,41
1926,1756,815,21,1523,158,42
1927,1757,816,22,1524,159,43
1928,1758,817,23,1525,160,44
1929,1759,818,24,1526,161,45
1930,1760,819,25,1527,162,46
1931,1761,820,26,1528,163,47
1932,1762,821,27,1529,164,48
1933,1763,822,28,1530,165,49
1934,1764,823,29,1531,166,50
1935,1765,824,30,1532,167,51
1936,1766,825,31,1533,168,52
1937,1767,826,32,1534,169,53
1938,1768,827,33,1535,170,54
1939,1769,828,34,1536,171,55
1940,1770,829,35,1537,172,56
1941,1771,830,36,1538,173,57
1942,1772,831,37,1539,174,58
1943,1773,832,38,1540,175,59
1944,1774,833,39,1541,176,60
1945,1775,834,40,1542,177,61
1946,1776,835,41,1543,178,62
1947,1777,836,42,1544,179,63
1948,1778,837,43,1545,180,64
1949,1779,838,44,1546,181,65
1950,1780,839,45,1547,182,66
1951,1781,840,46,1548,183,67
1952,1782,841,47,1549,184,68
1953,1783,842,48,1550,185,69
1954,1784,843,49,1551,186,70
1955,1785,844,50,1552,187,71
1956,1786,845,51,1553,188,72
1957,1787,846,52,1554,189,73
1958,1788,847,53,1555,190,74
1959,1789,848,54,1556,191,75
1960,1790,849,55,1557,192,76
1961,1791,850,56,1558,193,77
1962,1792,851,57,1559,194,78
1963,1793,852,58,1560,195,79
1964,1794,853,59,1561,196,80
1965,1795,854,60,1562,197,81
1966,1796,855,61,1563,198,82
1967,1797,856,62,1564,199,83
1968,1798,857,63,1565,200,84
1969,1799,858,64,1566,201,85
1970,1800,859,65,1567,202,86
1971,1801,860,66,1568,203,87
1972,1802,861,67,1569,204,88
1973,1803,862,68,1570,205,89
1974,1804,863,69,1571,206,90
1975,1805,864,70,1572,207,91
1976,1806,865,71,1573,208,92
1977,1807,866,72,1574,209,93
1978,1808,867,73,1575,210,94
1979,1809,868,74,1576,211,95
1980,1810,869,75,1577,212,96
1981,1811,870,76,1578,213,97
1982,1812,871,77,1579,214,98
1983,1813,872,78,1580,215,99
1984,1814,873,79,1581,216,100
1985,1815,874,80,1582,217,101
1986,1816,875,81,1583,218,102
1987,1817,876,82,1584,219,103
1988,1818,877,83,1585,220,104
1989,1819,878,84,1586,221,105
1990,1820,879,85,1587,222,106
1991,1821,880,86,1588,223,107
1992,1822,881,87,1589,224,108
1993,1823,882,88,1590,225,109
1994,1824,883,89,1591,226,110
1995,1825,884,90,1592,227,111
1996,1826,885,91,1593,228,112
1997,1827,886,92,1594,229,113
1998,1828,887,93,1595,230,114
1999,1829,888,94,1596,231,115
2000,1830,889,95,1597,232,116
2001,1831,890,96,1598,233,117
2002,1832,891,97,1599,234,118
2003,1833,892,98,1600,235,119
2004,1834,893,99,1601,236,120
2005,1835,894,100,1602,237,121
2006,1836,895,101,1603,238,122
2007,1837,896,102,1604,239,123
2008,1838,897,103,1605,240,124
2009,1839,898,104,1606,241,125
2010,1840,899,105,1607,242,126
2011,1841,900,106,1608,243,127
2012,1842,901,107,1609,244,128
2013,1843,902,108,1610,245,129
2014,1844,903,109,1611,246,130
2015,1845,904,110,1612,247,131
2016,1846,905,111,1613,248,132
2017,1847,906,112,1614,249,133
2018,1848,907,113,1615,250,134
2019,1849,908,114,1616,251,135
2020,1850,909,115,1617,252,136
