Year,NPK(tonnes),MAP(tonnes),MOP(tonnes),TSP(tonnes),UREA(tonnes),DAP(tonnes)
1920,1,65,500,110,420,780
1921,1,66,501,111,421,781
1922,1,67,502,112,422,782
1923,1,68,503,113,423,783
1924,1,69,504,114,424,784
1925,1,70,505,115,425,785
1926,1,71,506,116,426,786
1927,1,72,507,117,427,787
1928,1,73,508,118,428,788
1929,1,74,509,119,429,789
1930,1,75,510,120,430,790
1931,1,76,511,121,431,791
1932,1,77,512,122,432,792
1933,1,78,513,123,433,793
1934,1,79,514,124,434,794
1935,1,80,515,125,435,795
1936,1,81,516,126,436,796
1937,1,82,517,127,437,797
1938,1,83,518,128,438,798
1939,1,84,519,129,439,799
1940,1,85,520,130,440,800
1941,1,86,521,131,441,801
1942,1,87,522,132,442,802
1943,1,88,523,133,443,803
1944,1,89,524,134,444,804
1945,1,90,525,135,445,805
1946,1,91,526,136,446,806
1947,1,92,527,137,447,807
1948,1,93,528,138,448,808
1949,1,94,529,139,449,809
1950,1,95,530,140,450,810
1951,1,96,531,141,451,811
1952,1,97,532,142,452,812
1953,1,98,533,143,453,813
1954,1,99,534,144,454,814
1955,1,100,535,145,455,815
1956,1,101,536,146,456,816
1957,1,102,537,147,457,817
1958,1,103,538,148,458,818
1959,1,104,539,149,459,819
1960,1,105,540,150,460,820
1961,1,106,541,151,461,821
1962,1,107,542,152,462,822
1963,1,108,543,153,463,823
1964,1,109,544,154,464,824
1965,1,110,545,155,465,825
1966,1,111,546,156,466,826
1967,1,112,547,157,467,827
1968,1,113,548,158,468,828
1969,1,114,549,159,469,829
1970,1,115,550,160,470,830
1971,1,116,551,161,471,831
1972,1,117,552,162,472,832
1973,1,118,553,163,473,833
1974,1,119,554,164,474,834
1975,1,120,555,165,475,835
1976,1,121,556,166,476,836
1977,1,122,557,167,477,837
1978,1,123,558,168,478,838
1979,1,124,559,169,479,839
1980,1,125,560,170,480,840
1981,1,126,561,171,481,841
1982,1,127,562,172,482,842
1983,1,128,563,173,483,843
1984,1,129,564,174,484,844
1985,1,130,565,175,485,845
1986,1,131,566,176,486,846
1987,1,132,567,177,487,847
1988,1,133,568,178,488,848
1989,1,134,569,179,489,849
1990,1,135,570,180,490,850
1991,1,136,571,181,491,851
1992,1,137,572,182,492,852
1993,1,138,573,183,493,853
1994,1,139,574,184,494,854
1995,1,140,575,185,495,855
1996,1,141,576,186,496,856
1997,1,142,577,187,497,857
1998,1,143,578,188,498,858
1999,1,144,579,189,499,859
2000,1,145,580,190,500,860
2001,1,146,581,191,501,861
2002,1,147,582,192,502,862
2003,1,148,583,193,503,863
2004,1,149,584,194,504,864
2005,1,150,585,195,505,865
2006,1,151,586,196,506,866
2007,1,152,587,197,507,867
2008,1,153,588,198,508,868
2009,1,154,589,199,509,869
2010,1,155,590,200,510,870
2011,1,156,591,201,511,871
2012,1,157,592,202,512,872
2013,1,158,593,203,513,873
2014,1,159,594,204,514,874
2015,1,160,595,205,515,875
2016,1,161,596,206,516,876
2017,1,162,597,207,517,877
2018,1,163,598,208,518,878
2019,1,164,599,209,519,879
2020,1,165,600,210,520,880
