Year, Rainfall,  Humidity, Wind, Max Temp, Min Temp, Air Pressure
1920,4678,83,5,20,7,1019
1921,5000,80,6,21,6,1020
1922,5001,81,5,20,5,1018
1923,5002,82,5,22,5,1017
1924,5003,83,5,20,7,1019
1925,5004,80,6,21,6,1020
1926,5005,81,5,20,5,1018
1927,5006,80,6,21,6,1020
1928,5007,81,5,20,5,1018
1929,5008,82,5,22,5,1017
1930,5009,83,5,20,7,1019
1931,5010,80,6,21,6,1020
1932,5011,80,6,21,6,1020
1933,5012,81,5,20,5,1018
1934,5013,82,5,22,5,1017
1935,5014,83,5,20,7,1019
1936,5015,80,6,21,6,1020
1937,5016,81,5,20,5,1018
1938,5017,80,6,21,6,1020
1939,5018,81,5,20,5,1018
1940,5019,82,5,22,5,1017
1941,5020,83,5,20,7,1019
1942,5021,82,5,22,5,1017
1943,5022,83,5,20,7,1019
1944,5023,80,6,21,6,1020
1945,5024,81,5,20,5,1018
1946,5025,80,6,21,6,1020
1947,5026,81,5,20,5,1018
1948,5027,82,5,22,5,1017
1949,5028,83,5,20,7,1019
1950,5029,80,6,21,6,1020
1951,5030,80,6,21,6,1020
1952,5031,81,5,20,5,1018
1953,5032,82,5,22,5,1017
1954,5033,83,5,20,7,1019
1955,5034,80,6,21,6,1020
1956,5035,81,5,20,5,1018
1957,5036,80,6,21,6,1020
1958,5037,81,5,20,5,1018
1959,5038,82,5,22,5,1017
1960,5039,83,5,20,7,1019
1961,5040,80,6,21,6,1020
1962,5041,81,5,20,5,1018
1963,5042,80,6,21,6,1020
1964,5043,81,5,20,5,1018
1965,5044,82,5,22,5,1017
1966,5045,83,5,20,7,1019
1967,5046,80,6,21,6,1020
1968,5047,80,6,21,6,1020
1969,5048,81,5,20,5,1018
1970,5049,82,5,22,5,1017
1971,5050,83,5,20,7,1019
1972,5051,80,6,21,6,1020
1973,5052,81,5,20,5,1018
1974,5053,80,6,21,6,1020
1975,5054,81,5,20,5,1018
1976,5055,82,5,22,5,1017
1977,5056,83,5,20,7,1019
1978,5057,82,5,22,5,1017
1979,5058,83,5,20,7,1019
1980,5059,80,6,21,6,1020
1981,5060,81,5,20,5,1018
1982,5061,80,6,21,6,1020
1983,5062,81,5,20,5,1018
1984,5063,82,5,22,5,1017
1985,5064,83,5,20,7,1019
1986,5065,80,6,21,6,1020
1987,5066,80,6,21,6,1020
1988,5067,81,5,20,5,1018
1989,5068,82,5,22,5,1017
1990,5069,83,5,20,7,1019
1991,5070,80,6,21,6,1020
1992,5071,81,5,20,5,1018
1993,5072,80,6,21,6,1020
1994,5073,81,5,20,5,1018
1995,5074,83,5,20,7,1019
1996,5075,80,6,21,6,1020
1997,5076,81,5,20,5,1018
1998,5077,80,6,21,6,1020
1999,5078,81,5,20,5,1018
2000,5079,82,5,22,5,1017
2001,5080,83,5,20,7,1019
2002,5081,80,6,21,6,1020
2003,5082,80,6,21,6,1020
2004,5083,81,5,20,5,1018
2005,5084,82,5,22,5,1017
2006,5085,83,5,20,7,1019
2007,5086,80,6,21,6,1020
2008,5087,81,5,20,5,1018
2009,5088,80,6,21,6,1020
2010,5089,81,5,20,5,1018
2011,5090,82,5,22,5,1017
2012,5091,83,5,20,7,1019
2013,5092,82,5,22,5,1017
2014,5093,83,5,20,7,1019
2015,5094,80,6,21,6,1020
2016,5095,81,5,20,5,1018
2017,5096,80,6,21,6,1020
2018,5097,81,5,20,5,1018
2019,5098,82,5,22,5,1017
2020,5099,83,5,20,7,1019
