Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1920,1664,728,130,1425,2,113
1921,1665,729,131,1426,3,114
1922,1666,730,132,1427,4,115
1923,1667,731,133,1428,5,116
1924,1668,732,134,1429,6,117
1925,1669,733,135,1430,7,118
1926,1670,734,136,1431,8,119
1927,1671,735,137,1432,9,120
1928,1672,736,138,1433,10,121
1929,1673,737,139,1434,11,122
1930,1674,738,140,1435,12,123
1931,1675,739,141,1436,13,124
1932,1676,740,142,1437,14,125
1933,1677,741,143,1438,15,126
1934,1678,742,144,1439,16,127
1935,1679,743,145,1440,17,128
1936,1680,744,146,1441,18,129
1937,1681,745,147,1442,19,130
1938,1682,746,148,1443,20,131
1939,1683,747,149,1444,21,132
1940,1684,748,150,1445,22,133
1941,1685,749,151,1446,23,134
1942,1686,750,152,1447,24,135
1943,1687,751,153,1448,25,136
1944,1688,752,154,1449,26,137
1945,1689,753,155,1450,27,138
1946,1690,754,156,1451,28,139
1947,1691,755,157,1452,29,140
1948,1692,756,158,1453,30,141
1949,1693,757,159,1454,31,142
1950,1694,758,160,1455,32,143
1951,1695,759,161,1456,33,144
1952,1696,760,162,1457,34,145
1953,1697,761,163,1458,35,146
1954,1698,762,164,1459,36,147
1955,1699,763,165,1460,37,148
1956,1700,764,166,1461,38,149
1957,1701,765,167,1462,39,150
1958,1702,766,168,1463,40,151
1959,1703,767,169,1464,41,152
1960,1704,768,170,1465,42,153
1961,1705,769,171,1466,43,154
1962,1706,770,172,1467,44,155
1963,1707,771,173,1468,45,156
1964,1708,772,174,1469,46,157
1965,1709,773,175,1470,47,158
1966,1710,774,176,1471,48,159
1967,1711,775,177,1472,49,160
1968,1712,776,178,1473,50,161
1969,1713,777,179,1474,51,162
1970,1714,778,180,1475,52,163
1971,1715,779,181,1476,53,164
1972,1716,780,182,1477,54,165
1973,1717,781,183,1478,55,166
1974,1718,782,184,1479,56,167
1975,1719,783,185,1480,57,168
1976,1720,784,186,1481,58,169
1977,1721,785,187,1482,59,170
1978,1722,786,188,1483,60,171
1979,1723,787,189,1484,61,172
1980,1724,788,190,1485,62,173
1981,1725,789,191,1486,63,174
1982,1726,790,192,1487,64,175
1983,1727,791,193,1488,65,176
1984,1728,792,194,1489,66,177
1985,1729,793,195,1490,67,178
1986,1730,794,196,1491,68,179
1987,1731,795,197,1492,69,180
1988,1732,796,198,1493,70,181
1989,1733,797,199,1494,71,182
1990,1734,798,200,1495,72,183
1991,1735,799,201,1496,73,184
1992,1736,800,202,1497,74,185
1993,1737,801,203,1498,75,186
1994,1738,802,204,1499,76,187
1995,1739,803,205,1500,77,188
1996,1740,804,206,1501,78,189
1997,1741,805,207,1502,79,190
1998,1742,806,208,1503,80,191
1999,1743,807,209,1504,81,192
2000,1744,808,210,1505,82,193
2001,1745,809,211,1506,83,194
2002,1746,810,212,1507,84,195
2003,1747,811,213,1508,85,196
2004,1748,812,214,1509,86,197
2005,1749,813,215,1510,87,198
2006,1750,814,216,1511,88,199
2007,1751,815,217,1512,89,200
2008,1752,816,218,1513,90,201
2009,1753,817,219,1514,91,202
2010,1754,818,220,1515,92,203
2011,1755,819,221,1516,93,204
2012,1756,820,222,1517,94,205
2013,1757,821,223,1518,95,206
2014,1758,822,224,1519,96,207
2015,1759,823,225,1520,97,208
2016,1760,824,226,1521,98,209
2017,1761,825,227,1522,99,210
2018,1762,826,228,1523,100,211
2019,1763,827,229,1524,101,212
2020,1764,828,230,1525,102,213
