Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(micro/cm)
1920,0,20,8,6,7,1000
1921,1,21,9,7,7,1001
1922,2,22,10,8,8,1002
1923,3,23,11,9,9,1003
1924,4,24,12,10,7,1004
1925,5,25,13,11,7,1005
1926,6,26,14,12,8,1006
1927,7,27,15,13,7,1007
1928,8,28,16,14,7,1008
1929,9,29,17,15,8,1009
1930,10,30,18,16,9,1010
1931,11,31,19,17,7,1011
1932,12,32,20,18,7,1012
1933,13,33,21,19,7,1013
1934,14,34,22,20,8,1014
1935,15,35,23,21,9,1015
1936,16,36,24,22,7,1016
1937,17,37,25,23,7,1017
1938,18,38,26,24,8,1018
1939,19,39,27,25,7,1019
1940,20,40,28,26,7,1020
1941,21,41,29,27,8,1021
1942,22,42,30,28,9,1022
1943,23,43,31,29,7,1023
1944,24,44,32,30,7,1024
1945,25,45,33,31,8,1025
1946,26,46,34,32,9,1026
1947,27,47,35,33,7,1027
1948,28,48,36,34,7,1028
1949,29,49,37,35,8,1029
1950,30,50,38,36,7,1030
1951,31,51,39,37,7,1031
1952,32,52,40,38,8,1032
1953,33,53,41,39,9,1033
1954,34,54,42,40,7,1034
1955,35,55,43,41,7,1035
1956,36,56,44,42,7,1036
1957,37,57,45,43,8,1037
1958,38,58,46,44,9,1038
1959,39,59,47,45,7,1039
1960,40,60,48,46,7,1040
1961,41,61,49,47,8,1041
1962,42,62,50,48,7,1042
1963,43,63,51,49,7,1043
1964,44,64,52,50,8,1044
1965,45,65,53,51,9,1045
1966,46,66,54,52,8,1046
1967,47,67,55,53,9,1047
1968,48,68,56,54,7,1048
1969,49,69,57,55,7,1049
1970,50,70,58,56,8,1050
1971,51,71,59,57,7,1051
1972,52,72,60,58,7,1052
1973,53,73,61,59,8,1053
1974,54,74,62,60,9,1054
1975,55,75,63,61,7,1055
1976,56,76,64,62,7,1056
1977,57,77,65,63,7,1057
1978,58,78,66,64,8,1058
1979,59,79,67,65,9,1059
1980,60,80,68,66,7,1060
1981,61,81,69,67,7,1061
1982,62,82,70,68,8,1062
1983,63,83,71,69,7,1063
1984,64,84,72,70,7,1064
1985,65,85,73,71,8,1065
1986,66,86,74,72,9,1066
1987,67,87,75,73,7,1067
1988,68,88,76,74,7,1068
1989,69,89,77,75,8,1069
1990,70,90,78,76,9,1070
1991,71,91,79,77,7,1071
1992,72,92,80,78,7,1072
1993,73,93,81,79,8,1073
1994,74,94,82,80,7,1074
1995,75,95,83,81,7,1075
1996,76,96,84,82,8,1076
1997,77,97,85,83,9,1077
1998,78,98,86,84,7,1078
1999,79,99,87,85,7,1079
2000,80,100,88,86,7,1080
2001,81,101,89,87,8,1081
2002,82,102,90,88,9,1082
2003,83,103,91,89,7,1083
2004,84,104,92,90,7,1084
2005,85,105,93,91,8,1085
2006,86,106,94,92,7,1086
2007,87,107,95,93,7,1087
2008,88,108,96,94,7,1088
2009,89,109,97,95,7,1089
2010,90,110,98,96,8,1090
2011,91,111,99,97,7,1091
2012,92,112,100,98,7,1092
2013,93,113,101,99,8,1093
2014,94,114,102,100,9,1094
2015,95,115,103,101,7,1095
2016,96,116,104,102,7,1096
2017,97,117,105,103,8,1097
2018,98,118,106,104,9,1098
2019,99,119,107,105,7,1099
2020,100,120,108,106,7,1100
