Year,NPK(tonnes),MAP(tonnes),MOP(tonnes),TSP(tonnes),UREA(tonnes),DAP(tonnes)
1920,350,80,450,180,400,880
1921,351,81,451,181,401,881
1922,352,82,452,182,402,882
1923,353,83,453,183,403,883
1924,354,84,454,184,404,884
1925,355,85,455,185,405,885
1926,356,86,456,186,406,886
1927,357,87,457,187,407,887
1928,358,88,458,188,408,888
1929,359,89,459,189,409,889
1930,360,90,460,190,410,890
1931,361,91,461,191,411,891
1932,362,92,462,192,412,892
1933,363,93,463,193,413,893
1934,364,94,464,194,414,894
1935,365,95,465,195,415,895
1936,366,96,466,196,416,896
1937,367,97,467,197,417,897
1938,368,98,468,198,418,898
1939,369,99,469,199,419,899
1940,370,100,470,200,420,900
1941,371,101,471,201,421,901
1942,372,102,472,202,422,902
1943,373,103,473,203,423,903
1944,374,104,474,204,424,904
1945,375,105,475,205,425,905
1946,376,106,476,206,426,906
1947,377,107,477,207,427,907
1948,378,108,478,208,428,908
1949,379,109,479,209,429,909
1950,380,110,480,210,430,910
1951,381,111,481,211,431,911
1952,382,112,482,212,432,912
1953,383,113,483,213,433,913
1954,384,114,484,214,434,914
1955,385,115,485,215,435,915
1956,386,116,486,216,436,916
1957,387,117,487,217,437,917
1958,388,118,488,218,438,918
1959,389,119,489,219,439,919
1960,390,120,490,220,440,920
1961,391,121,491,221,441,921
1962,392,122,492,222,442,922
1963,393,123,493,223,443,923
1964,394,124,494,224,444,924
1965,395,125,495,225,445,925
1966,396,126,496,226,446,926
1967,397,127,497,227,447,927
1968,398,128,498,228,448,928
1969,399,129,499,229,449,929
1970,400,130,500,230,450,930
1971,401,131,501,231,451,931
1972,402,132,502,232,452,932
1973,403,133,503,233,453,933
1974,404,134,504,234,454,934
1975,405,135,505,235,455,935
1976,406,136,506,236,456,936
1977,407,137,507,237,457,937
1978,408,138,508,238,458,938
1979,409,139,509,239,459,939
1980,410,140,510,240,460,940
1981,411,141,511,241,461,941
1982,412,142,512,242,462,942
1983,413,143,513,243,463,943
1984,414,144,514,244,464,944
1985,415,145,515,245,465,945
1986,416,146,516,246,466,946
1987,417,147,517,247,467,947
1988,418,148,518,248,468,948
1989,419,149,519,249,469,949
1990,420,150,520,250,470,950
1991,421,151,521,251,471,951
1992,422,152,522,252,472,952
1993,423,153,523,253,473,953
1994,424,154,524,254,474,954
1995,425,155,525,255,475,955
1996,426,156,526,256,476,956
1997,427,157,527,257,477,957
1998,428,158,528,258,478,958
1999,429,159,529,259,479,959
2000,430,160,530,260,480,960
2001,431,161,531,261,481,961
2002,432,162,532,262,482,962
2003,433,163,533,263,483,963
2004,434,164,534,264,484,964
2005,435,165,535,265,485,965
2006,436,166,536,266,486,966
2007,437,167,537,267,487,967
2008,438,168,538,268,488,968
2009,439,169,539,269,489,969
2010,440,170,540,270,490,970
2011,441,171,541,271,491,971
2012,442,172,542,272,492,972
2013,443,173,543,273,493,973
2014,444,174,544,274,494,974
2015,445,175,545,275,495,975
2016,446,176,546,276,496,976
2017,447,177,547,277,497,977
2018,448,178,548,278,498,978
2019,449,179,549,279,499,979
2020,450,180,550,280,500,980
