Year, Rainfall,  Humidity, Wind, Max Temp, Min Temp, Air Pressure
1920,21951,90,4,28,17,1019
1921,26530,89,5,26,15,1018
1922,19875,88,6,29,12,1017
1923,21754,87,7,28,14,1016
1924,24261,89,5,26,15,1018
1925,22040,88,6,29,12,1017
1926,22654,87,7,28,14,1016
1927,24955,90,4,28,17,1019
1928,23439,89,5,26,15,1018
1929,26571,88,6,29,12,1017
1930,22781,87,7,28,14,1016
1931,25400,89,5,26,15,1018
1932,24890,88,6,29,12,1017
1933,21208,89,5,26,15,1018
1934,28419,88,6,29,12,1017
1935,22396,87,7,28,14,1016
1936,24282,89,5,26,15,1018
1937,21871,88,6,29,12,1017
1938,24591,87,7,28,14,1016
1939,21922,90,4,28,17,1019
1940,22630,89,5,26,15,1018
1941,24020,88,6,29,12,1017
1942,24535,87,7,28,14,1016
1943,25332,89,5,26,15,1018
1944,22209,87,7,28,14,1016
1945,25004,89,5,26,15,1018
1946,26492,88,6,29,12,1017
1947,28273,87,7,28,14,1016
1948,30849,90,4,28,17,1019
1949,26337,89,5,26,15,1018
1950,28273,88,6,29,12,1017
1951,23495,87,7,28,14,1016
1952,26305,89,5,26,15,1018
1953,28232,88,6,29,12,1017
1954,25402,89,5,26,15,1018
1955,23802,88,6,29,12,1017
1956,26130,87,7,28,14,1016
1957,26404,89,5,26,15,1018
1958,21886,88,6,29,12,1017
1959,22314,87,7,28,14,1016
1960,24535,90,4,28,17,1019
1961,22945,87,7,28,14,1016
1962,22910,89,5,26,15,1018
1963,21979,88,6,29,12,1017
1964,19279,87,7,28,14,1016
1965,24109,90,4,28,17,1019
1966,24657,89,5,26,15,1018
1967,22085,88,6,29,12,1017
1968,26257,87,7,28,14,1016
1969,19491,89,5,26,15,1018
1970,22825,88,6,29,12,1017
1971,21176,89,5,26,15,1018
1972,26962,88,6,29,12,1017
1973,20890,87,7,28,14,1016
1974,20406,89,5,26,15,1018
1975,25580,88,6,29,12,1017
1976,28358,87,7,28,14,1016
1977,19520,90,4,28,17,1019
1978,22354,89,5,26,15,1018
1979,25974,88,6,29,12,1017
1980,18671,87,7,28,14,1016
1981,22347,89,5,26,15,1018
1982,21457,87,7,28,14,1016
1983,21026,89,5,26,15,1018
1984,20085,88,6,29,12,1017
1985,24343,87,7,28,14,1016
1986,22154,90,4,28,17,1019
1987,21647,89,5,26,15,1018
1988,20950,88,6,29,12,1017
1989,23934,87,7,28,14,1016
1990,31029,89,5,26,15,1018
1991,25418,88,6,29,12,1017
1992,22077,89,5,26,15,1018
1993,26282,88,6,29,12,1017
1994,21614,87,7,28,14,1016
1995,27766,89,5,26,15,1018
1996,22905,89,5,26,15,1018
1997,22977,88,6,29,12,1017
1998,23049,87,7,28,14,1016
1999,21724,90,4,28,17,1019
2000,23740,89,5,26,15,1018
2001,22746,88,6,29,12,1017
2002,23470,87,7,28,14,1016
2003,19954,89,5,26,15,1018
2004,22495,88,6,29,12,1017
2005,21744,89,5,26,15,1018
2006,26917,88,6,29,12,1017
2007,23473,87,7,28,14,1016
2008,18246,89,5,26,15,1018
2009,25411,88,6,29,12,1017
2010,22685,87,7,28,14,1016
2011,19327,90,4,28,17,1019
2012,24586,89,5,26,15,1018
2013,17799,88,6,29,12,1017
2014,22680,87,7,28,14,1016
2015,18055,89,5,26,15,1018
2016,18863,87,7,28,14,1016
2017,22773,89,5,26,15,1018
2018,27766,88,6,29,12,1017
2019,22905,87,7,28,14,1016
2020,22977,90,4,28,17,1019
