Year,Rice(kg/hectare),Ragi,Small Millets,Tur ,Gram,Groundnuts,Sessasum,Sugarcane,Maize,Potato,Wheat,Other Pulses,Barley,Jowar,Bajra,Jute ,Mesta,Tobacco,Banana ,Coconut
1920,1563,997,769,1559,1786,1698,986,44663,23,207,2230,1197,1267,1731,1146,2386,2206,2105,567,60
1921,1564,998,770,1560,1787,1699,987,44664,23,208,2231,1198,1268,1732,1147,2387,2207,2106,568,60
1922,1565,999,771,1561,1788,1700,988,44665,23,209,2232,1199,1269,1733,1148,2388,2208,2107,569,60
1923,1566,1000,772,1562,1789,1701,989,44666,23,210,2233,1200,1270,1734,1149,2389,2209,2108,570,60
1924,1567,1001,773,1563,1790,1702,990,44667,23,211,2234,1201,1271,1735,1150,2390,2210,2109,571,60
1925,1568,1002,774,1564,1791,1703,991,44668,23,212,2235,1202,1272,1736,1151,2391,2211,2110,572,60
1926,1569,1003,775,1565,1792,1704,992,44669,23,213,2236,1203,1273,1737,1152,2392,2212,2111,573,60
1927,1570,1004,776,1566,1793,1705,993,44670,23,214,2237,1204,1274,1738,1153,2393,2213,2112,574,60
1928,1571,1005,777,1567,1794,1706,994,44671,23,215,2238,1205,1275,1739,1154,2394,2214,2113,575,60
1929,1572,1006,778,1568,1795,1707,995,44672,23,216,2239,1206,1276,1740,1155,2395,2215,2114,576,60
1930,1573,1007,779,1569,1796,1708,996,44673,23,217,2240,1207,1277,1741,1156,2396,2216,2115,577,60
1931,1574,1008,780,1570,1797,1709,997,44674,23,218,2241,1208,1278,1742,1157,2397,2217,2116,578,60
1932,1575,1009,781,1571,1798,1710,998,44675,23,219,2242,1209,1279,1743,1158,2398,2218,2117,579,60
1933,1576,1010,782,1572,1799,1711,999,44676,23,220,2243,1210,1280,1744,1159,2399,2219,2118,580,60
1934,1577,1011,783,1573,1800,1712,1000,44677,23,221,2244,1211,1281,1745,1160,2400,2220,2119,581,60
1935,1578,1012,784,1574,1801,1713,1001,44678,23,222,2245,1212,1282,1746,1161,2401,2221,2120,582,60
1936,1579,1013,785,1575,1802,1714,1002,44679,23,223,2246,1213,1283,1747,1162,2402,2222,2121,583,60
1937,1580,1014,786,1576,1803,1715,1003,44680,23,224,2247,1214,1284,1748,1163,2403,2223,2122,584,60
1938,1581,1015,787,1577,1804,1716,1004,44681,23,225,2248,1215,1285,1749,1164,2404,2224,2123,585,60
1939,1582,1016,788,1578,1805,1717,1005,44682,23,226,2249,1216,1286,1750,1165,2405,2225,2124,586,60
1940,1583,1017,789,1579,1806,1718,1006,44683,23,227,2250,1217,1287,1751,1166,2406,2226,2125,587,60
1941,1584,1018,790,1580,1807,1719,1007,44684,23,228,2251,1218,1288,1752,1167,2407,2227,2126,588,60
