Year, Rainfall,  Humidity, Wind, Max Temp, Min Temp, Air Pressure
1920,11134,33,5,25,17,1017
1921,12447,40,6,30,15,1016
1922,12639,38,7,28,11,1015
1923,12811,37,5,27,10,1014
1924,12280,40,6,30,15,1016
1925,17956,38,7,28,11,1015
1926,14437,37,5,27,10,1014
1927,14495,39,6,26,9,1010
1928,12108,40,7,22,13,1019
1929,17367,42,5,23,11,1020
1930,13613,40,7,22,13,1019
1931,13632,38,7,28,11,1015
1932,13467,37,5,27,10,1014
1933,15885,40,6,30,15,1016
1934,15312,38,7,28,11,1015
1935,12752,37,5,27,10,1014
1936,18213,39,6,26,9,1010
1937,16805,40,7,22,13,1019
1938,15777,42,5,23,11,1020
1939,15964,37,5,27,10,1014
1940,15386,40,6,30,15,1016
1941,10104,38,7,28,11,1015
1942,15392,37,5,27,10,1014
1943,16106,39,6,26,9,1010
1944,17092,40,7,22,13,1019
1945,15392,42,5,23,11,1020
1946,17539,40,7,22,13,1019
1947,15227,38,7,28,11,1015
1948,17369,37,5,27,10,1014
1949,14765,40,6,30,15,1016
1950,14520,38,7,28,11,1015
1951,12442,37,5,27,10,1014
1952,13558,37,5,27,10,1014
1953,13587,40,6,30,15,1016
1954,13131,38,7,28,11,1015
1955,11892,37,5,27,10,1014
1956,14827,39,6,26,9,1010
1957,15924,40,7,22,13,1019
1958,11770,42,5,23,11,1020
1959,14846,40,7,22,13,1019
1960,15532,38,7,28,11,1015
1961,13511,37,5,27,10,1014
1962,20817,40,6,30,15,1016
1963,10233,38,7,28,11,1015
1964,13287,37,5,27,10,1014
1965,14228,39,6,26,9,1010
1966,10098,40,7,22,13,1019
1967,9714,42,5,23,11,1020
1968,13485,37,5,27,10,1014
1969,11686,40,6,30,15,1016
1970,11097,38,7,28,11,1015
1971,14430,38,7,28,11,1015
1972,15492,37,5,27,10,1014
1973,11851,40,6,30,15,1016
1974,14467,38,7,28,11,1015
1975,8212,37,5,27,10,1014
1976,14478,39,6,26,9,1010
1977,11480,40,7,22,13,1019
1978,15592,42,5,23,11,1020
1979,11935,40,7,22,13,1019
1980,8744,38,7,28,11,1015
1981,14834,37,5,27,10,1014
1982,10137,40,6,30,15,1016
1983,10884,38,7,28,11,1015
1984,12968,37,5,27,10,1014
1985,12122,39,6,26,9,1010
1986,13280,40,7,22,13,1019
1987,14192,42,5,23,11,1020
1988,11152,37,5,27,10,1014
1989,9367,40,6,30,15,1016
1990,10522,38,7,28,11,1015
1991,14020,37,5,27,10,1014
1992,11252,39,6,26,9,1010
1993,12307,40,7,22,13,1019
1994,11642,42,5,23,11,1020
1995,17634,40,7,22,13,1019
1996,12912,38,7,28,11,1015
1997,12095,37,5,27,10,1014
1998,12841,40,6,30,15,1016
1999,10976,38,7,28,11,1015
2000,12127,37,5,27,10,1014
2001,9771,37,5,27,10,1014
2002,14002,40,6,30,15,1016
2003,10347,38,7,28,11,1015
2004,16202,37,5,27,10,1014
2005,12015,39,6,26,9,1010
2006,13752,40,7,22,13,1019
2007,13050,42,5,23,11,1020
2008,12087,40,7,22,13,1019
2009,11441,38,7,28,11,1015
2010,8724,37,5,27,10,1014
2011,12093,40,6,30,15,1016
2012,14347,37,5,27,10,1014
2013,14291,39,6,26,9,1010
2014,13846,40,7,22,13,1019
2015,13609,42,5,23,11,1020
2016,12291,40,7,22,13,1019
2017,13697,38,7,28,11,1015
2018,13050,38,7,28,11,1015
2019,12087,37,5,27,10,1014
2020,11441,39,6,26,9,1010
