Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1920,1167,200,545,997,510,445
1921,1168,201,546,998,511,446
1922,1169,202,547,999,512,447
1923,1170,203,548,1000,513,448
1924,1171,204,549,1001,514,449
1925,1172,205,550,1002,515,450
1926,1173,206,551,1003,516,451
1927,1174,207,552,1004,517,452
1928,1175,208,553,1005,518,453
1929,1176,209,554,1006,519,454
1930,1177,210,555,1007,520,455
1931,1178,211,556,1008,521,456
1932,1179,212,557,1009,522,457
1933,1180,213,558,1010,523,458
1934,1181,214,559,1011,524,459
1935,1182,215,560,1012,525,460
1936,1183,216,561,1013,526,461
1937,1184,217,562,1014,527,462
1938,1185,218,563,1015,528,463
1939,1186,219,564,1016,529,464
1940,1187,220,565,1017,530,465
1941,1188,221,566,1018,531,466
1942,1189,222,567,1019,532,467
1943,1190,223,568,1020,533,468
1944,1191,224,569,1021,534,469
1945,1192,225,570,1022,535,470
1946,1193,226,571,1023,536,471
1947,1194,227,572,1024,537,472
1948,1195,228,573,1025,538,473
1949,1196,229,574,1026,539,474
1950,1197,230,575,1027,540,475
1951,1198,231,576,1028,541,476
1952,1199,232,577,1029,542,477
1953,1200,233,578,1030,543,478
1954,1201,234,579,1031,544,479
1955,1202,235,580,1032,545,480
1956,1203,236,581,1033,546,481
1957,1204,237,582,1034,547,482
1958,1205,238,583,1035,548,483
1959,1206,239,584,1036,549,484
1960,1207,240,585,1037,550,485
1961,1208,241,586,1038,551,486
1962,1209,242,587,1039,552,487
1963,1210,243,588,1040,553,488
1964,1211,244,589,1041,554,489
1965,1212,245,590,1042,555,490
1966,1213,246,591,1043,556,491
1967,1214,247,592,1044,557,492
1968,1215,248,593,1045,558,493
1969,1216,249,594,1046,559,494
1970,1217,250,595,1047,560,495
1971,1218,251,596,1048,561,496
1972,1219,252,597,1049,562,497
1973,1220,253,598,1050,563,498
1974,1221,254,599,1051,564,499
1975,1222,255,600,1052,565,500
1976,1223,256,601,1053,566,501
1977,1224,257,602,1054,567,502
1978,1225,258,603,1055,568,503
1979,1226,259,604,1056,569,504
1980,1227,260,605,1057,570,505
1981,1228,261,606,1058,571,506
1982,1229,262,607,1059,572,507
1983,1230,263,608,1060,573,508
1984,1231,264,609,1061,574,509
1985,1232,265,610,1062,575,510
1986,1233,266,611,1063,576,511
1987,1234,267,612,1064,577,512
1988,1235,268,613,1065,578,513
1989,1236,269,614,1066,579,514
1990,1237,270,615,1067,580,515
1991,1238,271,616,1068,581,516
1992,1239,272,617,1069,582,517
1993,1240,273,618,1070,583,518
1994,1241,274,619,1071,584,519
1995,1242,275,620,1072,585,520
1996,1243,276,621,1073,586,521
1997,1244,277,622,1074,587,522
1998,1245,278,623,1075,588,523
1999,1246,279,624,1076,589,524
2000,1247,280,625,1077,590,525
2001,1248,281,626,1078,591,526
2002,1249,282,627,1079,592,527
2003,1250,283,628,1080,593,528
2004,1251,284,629,1081,594,529
2005,1252,285,630,1082,595,530
2006,1253,286,631,1083,596,531
2007,1254,287,632,1084,597,532
2008,1255,288,633,1085,598,533
2009,1256,289,634,1086,599,534
2010,1257,290,635,1087,600,535
2011,1258,291,636,1088,601,536
2012,1259,292,637,1089,602,537
2013,1260,293,638,1090,603,538
2014,1261,294,639,1091,604,539
2015,1262,295,640,1092,605,540
2016,1263,296,641,1093,606,541
2017,1264,297,642,1094,607,542
2018,1265,298,643,1095,608,543
2019,1266,299,644,1096,609,544
2020,1267,300,645,1097,610,545
