"Year","MALATHION(QTY)(kg)","DIMETHOATE(QTY)(kg)","D.D.V.P.(QTY)(kg)","COPPER OXYCHLORIDE(QTY)(kg)","CARBARYL(QTY)(kg)","CARBOSULPHAN(QTY)(kg)"
"1920.0","1755.0","1123.0","22.0","1803.0","152.0","904.0"
"1921.0","1756.0","1124.0","23.0","1804.0","153.0","905.0"
"1922.0","1757.0","1125.0","24.0","1805.0","154.0","906.0"
"1923.0","1758.0","1126.0","25.0","1806.0","155.0","907.0"
"1924.0","1759.0","1127.0","26.0","1807.0","156.0","908.0"
"1925.0","1760.0","1128.0","27.0","1808.0","157.0","909.0"
"1926.0","1761.0","1129.0","28.0","1809.0","158.0","910.0"
"1927.0","1762.0","1130.0","29.0","1810.0","159.0","911.0"
"1928.0","1763.0","1131.0","30.0","1811.0","160.0","912.0"
"1929.0","1764.0","1132.0","31.0","1812.0","161.0","913.0"
"1930.0","1765.0","1133.0","32.0","1813.0","162.0","914.0"
"1931.0","1766.0","1134.0","33.0","1814.0","163.0","915.0"
"1932.0","1767.0","1135.0","34.0","1815.0","164.0","916.0"
"1933.0","1768.0","1136.0","35.0","1816.0","165.0","917.0"
"1934.0","1769.0","1137.0","36.0","1817.0","166.0","918.0"
"1935.0","1770.0","1138.0","37.0","1818.0","167.0","919.0"
"1936.0","1771.0","1139.0","38.0","1819.0","168.0","920.0"
"1937.0","1772.0","1140.0","39.0","1820.0","169.0","921.0"
"1938.0","1773.0","1141.0","40.0","1821.0","170.0","922.0"
"1939.0","1774.0","1142.0","41.0","1822.0","171.0","923.0"
"1940.0","1775.0","1143.0","42.0","1823.0","172.0","924.0"
"1941.0","1776.0","1144.0","43.0","1824.0","173.0","925.0"
"1942.0","1777.0","1145.0","44.0","1825.0","174.0","926.0"
"1943.0","1778.0","1146.0","45.0","1826.0","175.0","927.0"
"1944.0","1779.0","1147.0","46.0","1827.0","176.0","928.0"
"1945.0","1780.0","1148.0","47.0","1828.0","177.0","929.0"
"1946.0","1781.0","1149.0","48.0","1829.0","178.0","930.0"
"1947.0","1782.0","1150.0","49.0","1830.0","179.0","931.0"
"1948.0","1783.0","1151.0","50.0","1831.0","180.0","932.0"
"1949.0","1784.0","1152.0","51.0","1832.0","181.0","933.0"
"1950.0","1785.0","1153.0","52.0","1833.0","182.0","934.0"
"1951.0","1786.0","1154.0","53.0","1834.0","183.0","935.0"
"1952.0","1787.0","1155.0","54.0","1835.0","184.0","936.0"
"1953.0","1788.0","1156.0","55.0","1836.0","185.0","937.0"
"1954.0","1789.0","1157.0","56.0","1837.0","186.0","938.0"
"1955.0","1790.0","1158.0","57.0","1838.0","187.0","939.0"
"1956.0","1791.0","1159.0","58.0","1839.0","188.0","940.0"
"1957.0","1792.0","1160.0","59.0","1840.0","189.0","941.0"
"1958.0","1793.0","1161.0","60.0","1841.0","190.0","942.0"
"1959.0","1794.0","1162.0","61.0","1842.0","191.0","943.0"
"1960.0","1795.0","1163.0","62.0","1843.0","192.0","944.0"
"1961.0","1796.0","1164.0","63.0","1844.0","193.0","945.0"
"1962.0","1797.0","1165.0","64.0","1845.0","194.0","946.0"
"1963.0","1798.0","1166.0","65.0","1846.0","195.0","947.0"
"1964.0","1799.0","1167.0","66.0","1847.0","196.0","948.0"
"1965.0","1800.0","1168.0","67.0","1848.0","197.0","949.0"
"1966.0","1801.0","1169.0","68.0","1849.0","198.0","950.0"
"1967.0","1802.0","1170.0","69.0","1850.0","199.0","951.0"
"1968.0","1803.0","1171.0","70.0","1851.0","200.0","952.0"
"1969.0","1804.0","1172.0","71.0","1852.0","201.0","953.0"
"1970.0","1805.0","1173.0","72.0","1853.0","202.0","954.0"
"1971.0","1806.0","1174.0","73.0","1854.0","203.0","955.0"
"1972.0","1807.0","1175.0","74.0","1855.0","204.0","956.0"
"1973.0","1808.0","1176.0","75.0","1856.0","205.0","957.0"
"1974.0","1809.0","1177.0","76.0","1857.0","206.0","958.0"
"1975.0","1810.0","1178.0","77.0","1858.0","207.0","959.0"
"1976.0","1811.0","1179.0","78.0","1859.0","208.0","960.0"
"1977.0","1812.0","1180.0","79.0","1860.0","209.0","961.0"
"1978.0","1813.0","1181.0","80.0","1861.0","210.0","962.0"
"1979.0","1814.0","1182.0","81.0","1862.0","211.0","963.0"
"1980.0","1815.0","1183.0","82.0","1863.0","212.0","964.0"
"1981.0","1816.0","1184.0","83.0","1864.0","213.0","965.0"
"1982.0","1817.0","1185.0","84.0","1865.0","214.0","966.0"
"1983.0","1818.0","1186.0","85.0","1866.0","215.0","967.0"
"1984.0","1819.0","1187.0","86.0","1867.0","216.0","968.0"
"1985.0","1820.0","1188.0","87.0","1868.0","217.0","969.0"
"1986.0","1821.0","1189.0","88.0","1869.0","218.0","970.0"
"1987.0","1822.0","1190.0","89.0","1870.0","219.0","971.0"
"1988.0","1823.0","1191.0","90.0","1871.0","220.0","972.0"
"1989.0","1824.0","1192.0","91.0","1872.0","221.0","973.0"
"1990.0","1825.0","1193.0","92.0","1873.0","222.0","974.0"
"1991.0","1826.0","1194.0","93.0","1874.0","223.0","975.0"
"1992.0","1827.0","1195.0","94.0","1875.0","224.0","976.0"
"1993.0","1828.0","1196.0","95.0","1876.0","225.0","977.0"
"1994.0","1829.0","1197.0","96.0","1877.0","226.0","978.0"
"1995.0","1830.0","1198.0","97.0","1878.0","227.0","979.0"
"1996.0","1831.0","1199.0","98.0","1879.0","228.0","980.0"
"1997.0","1832.0","1200.0","99.0","1880.0","229.0","981.0"
"1998.0","1833.0","1201.0","100.0","1881.0","230.0","982.0"
"1999.0","1834.0","1202.0","101.0","1882.0","231.0","983.0"
"2000.0","1835.0","1203.0","102.0","1883.0","232.0","984.0"
"2001.0","1836.0","1204.0","103.0","1884.0","233.0","985.0"
"2002.0","1837.0","1205.0","104.0","1885.0","234.0","986.0"
"2003.0","1838.0","1206.0","105.0","1886.0","235.0","987.0"
"2004.0","1839.0","1207.0","106.0","1887.0","236.0","988.0"
"2005.0","1840.0","1208.0","107.0","1888.0","237.0","989.0"
"2006.0","1841.0","1209.0","108.0","1889.0","238.0","990.0"
"2007.0","1842.0","1210.0","109.0","1890.0","239.0","991.0"
"2008.0","1843.0","1211.0","110.0","1891.0","240.0","992.0"
"2009.0","1844.0","1212.0","111.0","1892.0","241.0","993.0"
"2010.0","1845.0","1213.0","112.0","1893.0","242.0","994.0"
"2011.0","1846.0","1214.0","113.0","1894.0","243.0","995.0"
"2012.0","1847.0","1215.0","114.0","1895.0","244.0","996.0"
"2013.0","1848.0","1216.0","115.0","1896.0","245.0","997.0"
"2014.0","1849.0","1217.0","116.0","1897.0","246.0","998.0"
"2015.0","1850.0","1218.0","117.0","1898.0","247.0","999.0"
"2016.0","1851.0","1219.0","118.0","1899.0","248.0","1000.0"
"2017.0","1852.0","1220.0","119.0","1900.0","249.0","1001.0"
"2018.0","1853.0","1221.0","120.0","1901.0","250.0","1002.0"
"2019.0","1854.0","1222.0","121.0","1902.0","251.0","1003.0"
"2020.0","1855.0","1223.0","122.0","1903.0","252.0","1004.0"
