"Year","Rainfall","Humidity","Wind","Max Temp","Min Temp","Air Pressure"
"1920.0","15086.0","79.0","11.0","30.0","24.0","1011.0"
"1921.0","25281.0","76.0","10.0","28.0","20.0","1012.0"
"1922.0","23931.0","70.0","11.0","30.0","21.0","1011.0"
"1923.0","23981.0","77.0","10.0","30.0","20.0","1012.0"
"1924.0","21984.0","76.0","10.0","28.0","20.0","1012.0"
"1925.0","18702.0","70.0","11.0","30.0","21.0","1011.0"
"1926.0","26950.0","70.0","11.0","30.0","21.0","1011.0"
"1927.0","23832.0","77.0","10.0","30.0","20.0","1012.0"
"1928.0","26314.0","76.0","10.0","28.0","20.0","1012.0"
"1929.0","21725.0","70.0","11.0","30.0","21.0","1011.0"
"1930.0","24524.0","77.0","10.0","30.0","20.0","1012.0"
"1931.0","33882.0","76.0","10.0","28.0","20.0","1012.0"
"1932.0","25183.0","70.0","11.0","30.0","21.0","1011.0"
"1933.0","28260.0","70.0","11.0","30.0","21.0","1011.0"
"1934.0","29437.0","77.0","10.0","30.0","20.0","1012.0"
"1935.0","23872.0","70.0","11.0","30.0","21.0","1011.0"
"1936.0","26891.0","77.0","10.0","30.0","20.0","1012.0"
"1937.0","29243.0","76.0","10.0","28.0","20.0","1012.0"
"1938.0","31031.0","70.0","11.0","30.0","21.0","1011.0"
"1939.0","23432.0","70.0","11.0","30.0","21.0","1011.0"
"1940.0","27405.0","77.0","10.0","30.0","20.0","1012.0"
"1941.0","13142.0","76.0","10.0","28.0","20.0","1012.0"
"1942.0","26945.0","70.0","11.0","30.0","21.0","1011.0"
"1943.0","25587.0","77.0","10.0","30.0","20.0","1012.0"
"1944.0","23864.0","76.0","10.0","28.0","20.0","1012.0"
"1945.0","25389.0","70.0","11.0","30.0","21.0","1011.0"
"1946.0","26826.0","77.0","10.0","30.0","20.0","1012.0"
"1947.0","25913.0","76.0","10.0","28.0","20.0","1012.0"
"1948.0","29895.0","70.0","11.0","30.0","21.0","1011.0"
"1949.0","30410.0","70.0","11.0","30.0","21.0","1011.0"
"1950.0","23353.0","77.0","10.0","30.0","20.0","1012.0"
"1951.0","28932.0","76.0","10.0","28.0","20.0","1012.0"
"1952.0","19808.0","70.0","11.0","30.0","21.0","1011.0"
"1953.0","30377.0","77.0","10.0","30.0","20.0","1012.0"
"1954.0","34321.0","76.0","10.0","28.0","20.0","1012.0"
"1955.0","35253.0","70.0","11.0","30.0","21.0","1011.0"
"1956.0","31559.0","70.0","11.0","30.0","21.0","1011.0"
"1957.0","26249.0","77.0","10.0","30.0","20.0","1012.0"
"1958.0","36011.0","70.0","11.0","30.0","21.0","1011.0"
"1959.0","29307.0","77.0","10.0","30.0","20.0","1012.0"
"1960.0","25392.0","76.0","10.0","28.0","20.0","1012.0"
"1961.0","32155.0","70.0","11.0","30.0","21.0","1011.0"
"1962.0","27553.0","70.0","11.0","30.0","21.0","1011.0"
"1963.0","32014.0","77.0","10.0","30.0","20.0","1012.0"
"1964.0","27841.0","76.0","10.0","28.0","20.0","1012.0"
"1965.0","21708.0","70.0","11.0","30.0","21.0","1011.0"
"1966.0","21689.0","77.0","10.0","30.0","20.0","1012.0"
"1967.0","25372.0","76.0","10.0","28.0","20.0","1012.0"
"1968.0","17311.0","70.0","11.0","30.0","21.0","1011.0"
"1969.0","26891.0","70.0","11.0","30.0","21.0","1011.0"
"1970.0","29822.0","77.0","10.0","30.0","20.0","1012.0"
"1971.0","23361.0","76.0","10.0","28.0","20.0","1012.0"
"1972.0","16624.0","70.0","11.0","30.0","21.0","1011.0"
"1973.0","25556.0","77.0","10.0","30.0","20.0","1012.0"
"1974.0","27734.0","76.0","10.0","28.0","20.0","1012.0"
"1975.0","31877.0","70.0","11.0","30.0","21.0","1011.0"
"1976.0","25024.0","70.0","11.0","30.0","21.0","1011.0"
"1977.0","27193.0","77.0","10.0","30.0","20.0","1012.0"
"1978.0","27960.0","70.0","11.0","30.0","21.0","1011.0"
"1979.0","23294.0","77.0","10.0","30.0","20.0","1012.0"
"1980.0","23338.0","76.0","10.0","28.0","20.0","1012.0"
"1981.0","26519.0","70.0","11.0","30.0","21.0","1011.0"
"1982.0","25118.0","70.0","11.0","30.0","21.0","1011.0"
"1983.0","36639.0","77.0","10.0","30.0","20.0","1012.0"
"1984.0","24546.0","76.0","10.0","28.0","20.0","1012.0"
"1985.0","26653.0","70.0","11.0","30.0","21.0","1011.0"
"1986.0","15904.0","77.0","10.0","30.0","20.0","1012.0"
"1987.0","27005.0","76.0","10.0","28.0","20.0","1012.0"
"1988.0","29527.0","70.0","11.0","30.0","21.0","1011.0"
