"Year","Rise (Depth of Water)","Fall(Depth of Water)","Rise(Fluctuation)","Fall(Fluctuation)","pH","EC(micro/cm)"
"1920.0","0.1","15.34","2.23","3.16","7.1","990.0"
"1921.0","0.1","16.34","3.23","4.16","7.5","991.0"
"1922.0","0.1","17.34","4.23","5.16","8.0","992.0"
"1923.0","0.1","18.34","5.23","6.16","7.1","993.0"
"1924.0","0.1","19.34","6.23","7.16","7.5","994.0"
"1925.0","0.1","20.34","7.23","8.16","7.5","995.0"
"1926.0","0.1","21.34","8.23","9.16","8.0","996.0"
"1927.0","0.1","22.34","9.23","10.16","7.1","997.0"
"1928.0","0.1","23.34","10.23","11.16","7.5","998.0"
"1929.0","0.1","24.34","11.23","12.16","7.5","999.0"
"1930.0","0.1","25.34","12.23","13.16","8.0","1000.0"
"1931.0","0.1","26.34","13.23","14.16","7.1","1001.0"
"1932.0","0.1","27.34","14.23","15.16","7.5","1002.0"
"1933.0","0.1","28.34","15.23","16.16","7.5","1003.0"
"1934.0","0.1","29.34","16.23","17.16","8.0","1004.0"
"1935.0","0.1","30.34","17.23","18.16","7.1","1005.0"
"1936.0","0.1","31.34","18.23","19.16","7.5","1006.0"
"1937.0","0.1","32.34","19.23","20.16","8.0","1007.0"
"1938.0","0.1","33.34","20.23","21.16","7.1","1008.0"
"1939.0","0.1","34.34","21.23","22.16","7.5","1009.0"
"1940.0","0.1","35.34","22.23","23.16","7.5","1010.0"
"1941.0","0.1","36.34","23.23","24.16","8.0","1011.0"
"1942.0","0.1","37.34","24.23","25.16","7.1","1012.0"
"1943.0","0.1","38.34","25.23","26.16","7.5","1013.0"
"1944.0","0.1","39.34","26.23","27.16","7.5","1014.0"
"1945.0","0.1","40.34","27.23","28.16","8.0","1015.0"
"1946.0","0.1","41.34","28.23","29.16","7.1","1016.0"
"1947.0","0.1","42.34","29.23","30.16","7.5","1017.0"
"1948.0","0.1","43.34","30.23","31.16","7.5","1018.0"
"1949.0","0.1","44.34","31.23","32.16","8.0","1019.0"
"1950.0","0.1","45.34","32.23","33.16","8.0","1020.0"
"1951.0","0.1","46.34","33.23","34.16","7.1","1021.0"
"1952.0","0.1","47.34","34.23","35.16","7.5","1022.0"
"1953.0","0.1","48.34","35.23","36.16","7.5","1023.0"
"1954.0","0.1","49.34","36.23","37.16","8.0","1024.0"
"1955.0","0.1","50.34","37.23","38.16","7.1","1025.0"
"1956.0","0.1","51.34","38.23","39.16","7.5","1026.0"
"1957.0","0.1","52.34","39.23","40.16","7.5","1027.0"
"1958.0","0.1","53.34","40.23","41.16","8.0","1028.0"
"1959.0","0.1","54.34","41.23","42.16","7.1","1029.0"
"1960.0","0.1","55.34","42.23","43.16","7.5","1030.0"
"1961.0","0.1","56.34","43.23","44.16","7.5","1031.0"
"1962.0","0.1","57.34","44.23","45.16","8.0","1032.0"
"1963.0","0.1","58.34","45.23","46.16","7.1","1033.0"
"1964.0","0.1","59.34","46.23","47.16","7.5","1034.0"
"1965.0","0.1","60.34","47.23","48.16","8.0","1035.0"
"1966.0","0.1","61.34","48.23","49.16","7.1","1036.0"
"1967.0","0.1","62.34","49.23","50.16","7.5","1037.0"
"1968.0","0.1","63.34","50.23","51.16","7.5","1038.0"
"1969.0","0.1","64.34","51.23","52.16","8.0","1039.0"
"1970.0","0.1","65.34","52.23","53.16","7.1","1040.0"
"1971.0","0.1","66.34","53.23","54.16","7.5","1041.0"
"1972.0","0.1","67.34","54.23","55.16","7.5","1042.0"
"1973.0","0.1","68.34","55.23","56.16","8.0","1043.0"
"1974.0","0.1","69.34","56.23","57.16","7.1","1044.0"
"1975.0","0.1","70.34","57.23","58.16","7.5","1045.0"
"1976.0","0.1","71.34","58.23","59.16","7.5","1046.0"
"1977.0","0.1","72.34","59.23","60.16","8.0","1047.0"
"1978.0","0.1","73.34","60.23","61.16","7.1","1048.0"
"1979.0","0.1","74.34","61.23","62.16","7.5","1049.0"
"1980.0","0.1","75.34","62.23","63.16","7.5","1050.0"
"1981.0","0.1","76.34","63.23","64.16","8.0","1051.0"
"1982.0","0.1","77.34","64.23","65.16","7.1","1052.0"
"1983.0","0.1","78.34","65.23","66.16","7.5","1053.0"
"1984.0","0.1","79.34","66.23","67.16","7.5","1054.0"
"1985.0","0.1","80.34","67.23","68.16","8.0","1055.0"
"1986.0","0.1","81.34","68.23","69.16","7.1","1056.0"
"1987.0","0.1","82.34","69.23","70.16","7.5","1057.0"
"1988.0","0.1","83.34","70.23","71.16","8.0","1058.0"
"1989.0","0.1","84.34","71.23","72.16","7.1","1059.0"
"1990.0","0.1","85.34","72.23","73.16","7.5","1060.0"
"1991.0","0.1","86.34","73.23","74.16","7.5","1061.0"
"1992.0","0.1","87.34","74.23","75.16","8.0","1062.0"
"1993.0","0.1","88.34","75.23","76.16","7.1","1063.0"
"1994.0","0.1","89.34","76.23","77.16","7.5","1064.0"
"1995.0","0.1","90.34","77.23","78.16","7.5","1065.0"
"1996.0","0.1","91.34","78.23","79.16","8.0","1066.0"
"1997.0","0.1","92.34","79.23","80.16","7.1","1067.0"
"1998.0","0.1","93.34","80.23","81.16","7.5","1068.0"
"1999.0","0.1","94.34","81.23","82.16","7.5","1069.0"
"2000.0","0.1","95.34","82.23","83.16","8.0","1070.0"
"2001.0","0.1","96.34","83.23","84.16","8.0","1071.0"
"2002.0","0.1","97.34","84.23","85.16","7.1","1072.0"
"2003.0","0.1","98.34","85.23","86.16","7.5","1073.0"
"2004.0","0.1","99.34","86.23","87.16","7.5","1074.0"
"2005.0","0.1","100.34","87.23","88.16","8.0","1075.0"
"2006.0","0.1","101.34","88.23","89.16","7.1","1076.0"
"2007.0","0.1","102.34","89.23","90.16","7.5","1077.0"
"2008.0","0.1","103.34","90.23","91.16","7.5","1078.0"
"2009.0","0.1","104.34","91.23","92.16","8.0","1079.0"
"2010.0","0.1","105.34","92.23","93.16","7.1","1080.0"
"2011.0","0.1","106.34","93.23","94.16","7.5","1081.0"
"2012.0","0.1","107.34","94.23","95.16","7.5","1082.0"
"2013.0","0.1","108.34","95.23","96.16","8.0","1083.0"
"2014.0","0.1","109.34","96.23","97.16","7.1","1084.0"
"2015.0","0.1","110.34","97.23","98.16","7.5","1085.0"
"2016.0","0.1","111.34","98.23","99.16","8.0","1086.0"
"2017.0","0.1","112.34","99.23","100.16","8.0","1087.0"
"2018.0","0.1","113.34","100.23","101.16","7.1","1088.0"
"2019.0","0.1","114.34","101.23","102.16","7.5","1089.0"
"2020.0","0.1","115.34","102.23","103.16","7.5","1090.0"
