"Year","Rice(kg/hectare)","Ragi","Groundnuts","Sugarcane","Other Pulses","Banana","Coconut","Pepper"
"1920.0","2045.0","990.0","2256.0","55568.0","1088.0","140.0","34.0","2.0"
"1921.0","2000.0","1000.0","2906.0","70456.0","1081.0","150.0","34.0","2.0"
"1922.0","2001.0","1001.0","2907.0","70457.0","1082.0","151.0","34.0","2.0"
"1923.0","2002.0","1002.0","2908.0","70458.0","1083.0","152.0","34.0","2.0"
"1924.0","2003.0","1003.0","2909.0","70459.0","1084.0","153.0","34.0","2.0"
"1925.0","2004.0","1004.0","2910.0","70460.0","1085.0","154.0","34.0","2.0"
"1926.0","2005.0","1005.0","2911.0","70461.0","1086.0","155.0","34.0","2.0"
"1927.0","2006.0","1006.0","2912.0","70462.0","1087.0","156.0","34.0","2.0"
"1928.0","2007.0","1007.0","2913.0","70463.0","1088.0","157.0","34.0","2.0"
"1929.0","2008.0","1008.0","2914.0","70464.0","1089.0","158.0","34.0","2.0"
"1930.0","2009.0","1009.0","2915.0","70465.0","1090.0","159.0","34.0","2.0"
"1931.0","2010.0","1010.0","2916.0","70466.0","1091.0","160.0","34.0","2.0"
"1932.0","2011.0","1011.0","2917.0","70467.0","1092.0","161.0","34.0","2.0"
"1933.0","2012.0","1012.0","2918.0","70468.0","1093.0","162.0","34.0","2.0"
"1934.0","2013.0","1013.0","2919.0","70469.0","1094.0","163.0","34.0","2.0"
"1935.0","2014.0","1014.0","2920.0","70470.0","1095.0","164.0","34.0","2.0"
"1936.0","2015.0","1015.0","2921.0","70471.0","1096.0","165.0","34.0","2.0"
"1937.0","2016.0","1016.0","2922.0","70472.0","1097.0","166.0","34.0","2.0"
"1938.0","2017.0","1017.0","2923.0","70473.0","1098.0","167.0","34.0","2.0"
"1939.0","2018.0","1018.0","2924.0","70474.0","1099.0","168.0","34.0","2.0"
"1940.0","2019.0","1019.0","2925.0","70475.0","1100.0","169.0","34.0","2.0"
"1941.0","2020.0","1020.0","2926.0","70476.0","1101.0","170.0","34.0","2.0"
"1942.0","2021.0","1021.0","2927.0","70477.0","1102.0","171.0","34.0","2.0"
"1943.0","2022.0","1022.0","2928.0","70478.0","1103.0","172.0","34.0","2.0"
"1944.0","2023.0","1023.0","2929.0","70479.0","1104.0","173.0","34.0","2.0"
"1945.0","2024.0","1024.0","2930.0","70480.0","1105.0","174.0","34.0","2.0"
"1946.0","2025.0","1025.0","2931.0","70481.0","1106.0","175.0","34.0","2.0"
"1947.0","2026.0","1026.0","2932.0","70482.0","1107.0","176.0","34.0","2.0"
"1948.0","2027.0","1027.0","2933.0","70483.0","1108.0","177.0","34.0","2.0"
"1949.0","2028.0","1028.0","2934.0","70484.0","1109.0","178.0","34.0","2.0"
"1950.0","2029.0","1029.0","2935.0","70485.0","1110.0","179.0","34.0","2.0"
"1951.0","2030.0","1030.0","2936.0","70486.0","1111.0","180.0","34.0","2.0"
"1952.0","2031.0","1031.0","2937.0","70487.0","1112.0","181.0","34.0","2.0"
"1953.0","2032.0","1032.0","2938.0","70488.0","1113.0","182.0","34.0","2.0"
"1954.0","2033.0","1033.0","2939.0","70489.0","1114.0","183.0","34.0","2.0"
"1955.0","2034.0","1034.0","2940.0","70490.0","1115.0","184.0","34.0","2.0"
"1956.0","2035.0","1035.0","2941.0","70491.0","1116.0","185.0","34.0","2.0"
"1957.0","2036.0","1036.0","2942.0","70492.0","1117.0","186.0","34.0","2.0"
"1958.0","2037.0","1037.0","2943.0","70493.0","1118.0","187.0","34.0","2.0"
"1959.0","2038.0","1038.0","2944.0","70494.0","1119.0","188.0","34.0","2.0"
"1960.0","2039.0","1039.0","2945.0","70495.0","1120.0","189.0","34.0","2.0"
"1961.0","2040.0","1040.0","2946.0","70496.0","1121.0","190.0","34.0","2.0"
"1962.0","2041.0","1041.0","2947.0","70497.0","1122.0","191.0","34.0","2.0"
"1963.0","2042.0","1042.0","2948.0","70498.0","1123.0","192.0","34.0","2.0"
"1964.0","2043.0","1043.0","2949.0","70499.0","1124.0","193.0","34.0","2.0"
"1965.0","2044.0","1044.0","2950.0","70500.0","1125.0","194.0","34.0","2.0"
"1966.0","2045.0","1045.0","2951.0","70501.0","1126.0","195.0","34.0","2.0"
"1967.0","2046.0","1046.0","2952.0","70502.0","1127.0","196.0","34.0","2.0"
"1968.0","2047.0","1047.0","2953.0","70503.0","1128.0","197.0","34.0","2.0"
"1969.0","2048.0","1048.0","2954.0","70504.0","1129.0","198.0","34.0","2.0"
"1970.0","2049.0","1049.0","2955.0","70505.0","1130.0","199.0","34.0","2.0"
"1971.0","2050.0","1050.0","2956.0","70506.0","1131.0","200.0","34.0","2.0"
"1972.0","2051.0","1051.0","2957.0","70507.0","1132.0","201.0","34.0","2.0"
"1973.0","2052.0","1052.0","2958.0","70508.0","1133.0","202.0","34.0","2.0"
"1974.0","2053.0","1053.0","2959.0","70509.0","1134.0","203.0","34.0","2.0"
"1975.0","2054.0","1054.0","2960.0","70510.0","1135.0","204.0","34.0","2.0"
"1976.0","2055.0","1055.0","2961.0","70511.0","1136.0","205.0","34.0","2.0"
"1977.0","2056.0","1056.0","2962.0","70512.0","1137.0","206.0","34.0","2.0"
"1978.0","2057.0","1057.0","2963.0","70513.0","1138.0","207.0","34.0","2.0"
"1979.0","2058.0","1058.0","2964.0","70514.0","1139.0","208.0","34.0","2.0"
"1980.0","2059.0","1059.0","2965.0","70515.0","1140.0","209.0","34.0","2.0"
"1981.0","2060.0","1060.0","2966.0","70516.0","1141.0","210.0","34.0","2.0"
"1982.0","2061.0","1061.0","2967.0","70517.0","1142.0","211.0","34.0","2.0"
"1983.0","2062.0","1062.0","2968.0","70518.0","1143.0","212.0","34.0","2.0"
"1984.0","2063.0","1063.0","2969.0","70519.0","1144.0","213.0","34.0","2.0"
"1985.0","2064.0","1064.0","2970.0","70520.0","1145.0","214.0","34.0","2.0"
"1986.0","2065.0","1065.0","2971.0","70521.0","1146.0","215.0","34.0","2.0"
"1987.0","2066.0","1066.0","2972.0","70522.0","1147.0","216.0","34.0","2.0"
"1988.0","2067.0","1067.0","2973.0","70523.0","1148.0","217.0","34.0","2.0"
"1989.0","2068.0","1068.0","2974.0","70524.0","1149.0","218.0","34.0","2.0"
"1990.0","2069.0","1069.0","2975.0","70525.0","1150.0","219.0","34.0","2.0"
"1991.0","2070.0","1070.0","2976.0","70526.0","1151.0","220.0","34.0","2.0"
"1992.0","2071.0","1071.0","2977.0","70527.0","1152.0","221.0","34.0","2.0"
"1993.0","2072.0","1072.0","2978.0","70528.0","1153.0","222.0","34.0","2.0"
"1994.0","2073.0","1073.0","2979.0","70529.0","1154.0","223.0","34.0","2.0"
"1995.0","2074.0","1074.0","2980.0","70530.0","1155.0","224.0","34.0","2.0"
"1996.0","2075.0","1075.0","2981.0","70531.0","1156.0","225.0","34.0","2.0"
"1997.0","2076.0","1076.0","2982.0","70532.0","1157.0","226.0","34.0","2.0"
"1998.0","2077.0","1077.0","2983.0","70533.0","1158.0","227.0","34.0","2.0"
"1999.0","2078.0","1078.0","2984.0","70534.0","1159.0","228.0","34.0","2.0"
"2000.0","2079.0","1079.0","2985.0","70535.0","1160.0","229.0","34.0","2.0"
"2001.0","2080.0","1080.0","2986.0","70536.0","1161.0","230.0","34.0","2.0"
"2002.0","2081.0","1081.0","2987.0","70537.0","1162.0","231.0","34.0","2.0"
"2003.0","2082.0","1082.0","2988.0","70538.0","1163.0","232.0","34.0","2.0"
"2004.0","2083.0","1083.0","2989.0","70539.0","1164.0","233.0","34.0","2.0"
"2005.0","2084.0","1084.0","2990.0","70540.0","1165.0","234.0","34.0","2.0"
"2006.0","2085.0","1085.0","2991.0","70541.0","1166.0","235.0","34.0","2.0"
"2007.0","2086.0","1086.0","2992.0","70542.0","1167.0","236.0","34.0","2.0"
"2008.0","2087.0","1087.0","2993.0","70543.0","1168.0","237.0","34.0","2.0"
"2009.0","2867.0","1000.0","2409.0","58787.0","1089.0","113.0","34.0","2.0"
"2010.0","2987.0","900.0","2278.0","67892.0","1189.0","121.0","34.0","3.0"
"2011.0","2167.0","500.0","2167.0","71567.0","1056.0","120.0","34.0","2.0"
"2012.0","2045.0","990.0","2256.0","55568.0","1088.0","140.0","34.0","3.0"
"2013.0","2000.0","1000.0","2906.0","70456.0","1081.0","150.0","34.0","3.0"
"2014.0","2001.0","1001.0","2907.0","70457.0","1082.0","151.0","34.0","3.0"
"2015.0","2002.0","1002.0","2908.0","70458.0","1083.0","152.0","34.0","3.0"
"2016.0","2003.0","1003.0","2909.0","70459.0","1084.0","153.0","34.0","3.0"
"2017.0","2004.0","1004.0","2910.0","70460.0","1085.0","154.0","34.0","3.0"
"2018.0","2005.0","1005.0","2911.0","70461.0","1086.0","155.0","34.0","3.0"
"2019.0","2006.0","1006.0","2912.0","70462.0","1087.0","156.0","34.0","3.0"
"2020.0","2007.0","1007.0","2913.0","70463.0","1088.0","157.0","34.0","3.0"
