"Year","Ph","OC(g kg)","EC(dS/m)","N(kg/ha)","P(kg/ha)","K(kg/ha)"
"1920","8.5","0.1","0.1","100","50","280"
"1921","6.5","0.2","0.2","240","56","210"
"1922","6.6","0.4","0.5","120","51","220"
"1923","6.7","0.3","0.1","121","52","211"
"1924","6.8","0.5","0.2","122","53","212"
"1925","6.9","0.6","0.5","123","54","213"
"1926","7","0.1","0.3","124","55","214"
"1927","7.1","0.2","0.4","125","51","215"
"1928","7.2","0.4","0.2","126","50","216"
"1929","7.3","0.3","0.1","127","56","217"
"1930","7.4","0.5","0.2","128","50","218"
"1931","7.8","0.6","0.3","129","56","219"
"1932","8","0.2","0.4","130","51","220"
"1933","8.1","0.4","0.2","131","52","221"
"1934","8.2","0.3","0.5","132","53","222"
"1935","8.3","0.5","0.1","133","54","223"
"1936","8.5","0.6","0.2","134","55","224"
"1937","6.5","0.1","0.5","135","51","225"
"1938","6.6","0.2","0.3","136","51","226"
"1939","6.7","0.4","0.4","137","52","227"
"1940","6.8","0.3","0.2","138","53","228"
"1941","6.9","0.5","0.1","139","54","229"
"1942","7","0.4","0.2","140","55","230"
"1943","7.1","0.3","0.3","141","51","231"
"1944","7.2","0.5","0.1","142","50","232"
"1945","7.3","0.6","0.2","143","56","233"
"1946","7.4","0.1","0.5","144","50","234"
"1947","7.8","0.2","0.3","145","56","235"
"1948","8","0.4","0.4","146","51","236"
"1949","8.1","0.3","0.2","240","52","237"
"1950","8.2","0.5","0.1","200","53","238"
"1951","6.6","0.6","0.2","201","54","239"
"1952","6.7","0.2","0.3","202","55","240"
"1953","6.8","0.4","0.4","203","52","241"
"1954","6.9","0.3","0.2","204","53","242"
"1955","7","0.5","0.5","205","54","243"
"1956","7.1","0.6","0.1","206","55","244"
"1957","7.2","0.1","0.2","207","51","245"
"1958","7.3","0.2","0.5","208","50","246"
"1959","7.4","0.4","0.3","209","56","247"
"1960","7.8","0.3","0.4","210","50","248"
"1961","8","0.4","0.2","211","56","249"
"1962","8.1","0.3","0.1","212","51","250"
"1963","8.2","0.5","0.5","213","52","251"
"1964","8.3","0.6","0.1","214","53","252"
"1965","8.5","0.1","0.2","215","54","253"
"1966","6.5","0.2","0.5","216","55","254"
"1967","6.6","0.4","0.3","217","51","255"
"1968","6.7","0.3","0.4","218","51","256"
"1969","6.8","0.5","0.2","219","52","257"
"1970","6.9","0.6","0.1","220","53","258"
"1971","7","0.2","0.2","221","54","259"
"1972","7.1","0.4","0.3","222","55","260"
"1973","7.2","0.3","0.4","223","51","261"
"1974","7.3","0.5","0.2","224","50","262"
"1975","7.4","0.6","0.5","225","56","263"
"1976","7.8","0.1","0.1","226","51","264"
"1977","8.5","0.2","0.2","227","52","265"
"1978","6.5","0.4","0.5","228","53","266"
"1979","6.6","0.3","0.3","229","54","267"
"1980","6.7","0.5","0.4","230","55","268"
"1981","6.8","0.4","0.2","231","51","269"
"1982","6.9","0.3","0.1","232","50","270"
"1983","7","0.5","0.2","233","56","271"
"1984","7.1","0.6","0.3","234","50","272"
"1985","7.2","0.1","0.1","235","56","273"
"1986","7.3","0.2","0.2","236","51","274"
"1987","7.4","0.4","0.5","237","52","275"
"1988","7.8","0.3","0.3","238","53","276"
"1989","8","0.5","0.4","239","54","277"
"1990","8.1","0.6","0.2","240","55","278"
"1991","8.2","0.2","0.1","208","51","279"
"1992","8.3","0.4","0.2","209","51","280"
"1993","8.5","0.3","0.3","210","52","253"
"1994","6.5","0.5","0.4","211","53","254"
"1995","6.6","0.6","0.2","212","54","255"
"1996","6.7","0.2","0.2","213","55","256"
"1997","6.8","0.4","0.1","214","51","257"
"1998","6.9","0.3","0.2","215","50","258"
"1999","7","0.5","0.3","216","56","259"
"2000","7.1","0.6","0.4","217","50","260"
"2001","7.2","0.1","0.2","218","56","261"
"2002","7.3","0.2","0.5","219","51","262"
"2003","7.4","0.4","0.1","220","52","263"
"2004","7.8","0.3","0.2","221","53","264"
"2005","8","0.5","0.5","222","54","265"
"2006","8.1","0.6","0.3","223","55","266"
"2007","8.2","0.2","0.4","224","52","267"
"2008","6.6","0.4","0.2","225","53","268"
"2009","6.7","0.3","0.3","226","52","269"
"2010","6.8","0.5","0.4","227","53","270"
"2011","6.9","0.6","0.2","228","54","271"
"2012","7","0.1","0.1","229","55","272"
"2013","7.1","0.2","0.2","230","51","273"
"2014","7.2","0.4","0.3","231","50","274"
"2015","7.3","0.3","0.4","232","56","275"
"2016","7.4","0.5","0.2","233","50","269"
"2017","7.8","0.4","0.5","234","56","270"
"2018","8","0.3","0.1","235","51","271"
"2019","8.1","0.5","0.2","236","52","272"
"2020","8.2","0.6","0.5","210","53","270"
