"Year","Rise (Depth of Water)","Fall(Depth of Water)","Rise(Fluctuation)","Fall(Fluctuation)","pH","EC(micro/cm)"
"1920","0.1","48.63","17","17.65","8.2","2100"
"1921","0.1","47.45","16.02","16.65","8.3","2200"
"1922","0.1","32.34","15.03","15.65","8.4","3000"
"1923","0.1","40.12","17","17.43","8.5","2100"
"1924","0.1","41.2","16","16.65","8","1000"
"1925","0.1","31.23","17","15.65","8.2","980"
"1926","0.1","32.34","16","17.43","8.3","1100"
"1927","0.1","40.12","17","16.65","8.4","1101"
"1928","0.1","41.23","16","15.65","8.5","1102"
"1929","0.1","31.23","17","17.43","8","1103"
"1930","0.1","32.34","17","16.65","8.4","1104"
"1931","0.1","40.12","16.02","15.65","8.5","1105"
"1932","0.1","32.34","16","17.43","8.3","1100"
"1933","0.1","40.12","17","16.65","8.4","1101"
"1934","0.1","41.23","16","15.65","8.5","1102"
"1935","0.1","31.23","17","17.43","8","1103"
"1936","0.1","32.34","17","16.65","8.4","1104"
"1937","0.1","32.1","16.02","15.65","8.5","1105"
"1938","0.1","31.23","16.02","16.65","8.3","2200"
"1939","0.1","32.34","15.03","15.65","8.4","3000"
"1940","0.1","40.12","17","17.43","8.5","2100"
"1941","0.1","41.2","16","16.65","8","1000"
"1942","0.1","31.23","17","15.65","8.2","980"
"1943","0.1","32.34","16","17.43","8.3","1100"
"1944","0.1","40.12","17","16.65","8.4","1101"
"1945","0.1","41.23","16","15.65","8.5","1102"
"1946","0.1","31.23","17","17.43","8","1103"
"1947","0.1","32.34","17","16.65","8.4","1104"
"1948","0.1","40.12","16.02","15.65","8.5","1105"
"1949","0.1","32.34","16","17.43","8.3","1100"
"1950","0.1","40.12","17","16.65","8.4","1101"
"1951","0.1","41.23","16","15.65","8.5","1102"
"1952","0.1","31.23","17","17.43","8","1103"
"1953","0.1","32.34","17","16.65","8.4","1104"
"1954","0.1","47.45","16.02","16.65","8.3","2200"
"1955","0.1","32.34","15.03","15.65","8.4","3000"
"1956","0.1","40.12","17","17.43","8.5","2100"
"1957","0.1","41.2","16","16.65","8","1000"
"1958","0.1","31.23","17","15.65","8.2","980"
"1959","0.1","32.34","16","17.43","8.3","1100"
"1960","0.1","40.12","17","16.65","8.4","1101"
"1961","0.1","41.23","16","15.65","8.5","1102"
"1962","0.1","31.23","17","17.43","8","1103"
"1963","0.1","32.34","17","16.65","8.4","1104"
"1964","0.1","40.12","16.02","15.65","8.5","1105"
"1965","0.1","32.34","16","17.43","8.3","1100"
"1966","0.1","40.12","17","16.65","8.4","1101"
"1967","0.1","41.23","16","15.65","8.5","1102"
"1968","0.1","31.23","17","17.43","8","1103"
"1969","0.1","32.34","17","16.65","8.4","1104"
"1970","0.1","32.1","16.02","15.65","8.5","1105"
"1971","0.1","31.23","16.02","16.65","8.3","2200"
"1972","0.1","32.34","15.03","15.65","8.4","3000"
"1973","0.1","40.12","17","17.43","8.5","2100"
"1974","0.1","41.2","16","16.65","8","1000"
"1975","0.1","31.23","17","15.65","8.2","980"
"1976","0.1","32.34","16","17.43","8.3","1100"
"1977","0.1","40.12","17","16.65","8.4","1101"
"1978","0.1","41.23","16","15.65","8.5","1102"
"1979","0.1","31.23","17","17.43","8","1103"
"1980","0.1","32.34","17","16.65","8.4","1104"
"1981","0.1","40.12","16.02","15.65","8.5","1105"
"1982","0.1","32.34","16","17.43","8.3","1100"
"1983","0.1","40.12","17","16.65","8.4","1101"
"1984","0.1","41.23","16","15.65","8.5","1102"
"1985","0.1","31.23","17","17.43","8","1103"
"1986","0.1","41.2","16","16.65","8","1000"
"1987","0.1","31.23","17","15.65","8.2","980"
"1988","0.1","32.34","16","17.43","8.3","1100"
"1989","0.1","40.12","17","16.65","8.4","1101"
"1990","0.1","41.23","16","15.65","8.5","1102"
"1991","0.1","31.23","17","17.43","8","1103"
"1992","0.1","32.34","17","16.65","8.4","1104"
"1993","0.1","40.12","16.02","15.65","8.5","1105"
"1994","0.1","32.34","16","17.43","8.3","1100"
"1995","0.1","40.12","17","16.65","8.4","1101"
"1996","0.1","41.23","16","15.65","8.5","1102"
"1997","0.1","31.23","17","17.43","8","1103"
"1998","0.1","32.34","17","16.65","8.4","1104"
"1999","0.1","32.1","16.02","15.65","8.5","1105"
"2000","0.1","31.23","16.02","16.65","8.3","2200"
"2001","0.1","32.34","15.03","15.65","8.4","3000"
"2002","0.1","40.12","17","17.43","8.5","2100"
"2003","0.1","41.2","16","16.65","8","1000"
"2004","0.1","31.23","17","15.65","8.2","980"
"2005","0.1","32.34","16","17.43","8.3","1100"
"2006","0.1","40.12","17","16.65","8.4","1101"
"2007","0.1","41.23","16","15.65","8.5","1102"
"2008","0.1","31.23","17","17.43","8","1103"
"2009","0.1","32.34","17","16.65","8.4","1104"
"2010","0.1","40.12","16.02","15.65","8.5","1105"
"2011","0.1","32.34","16","17.43","8.3","1100"
"2012","0.1","40.12","17","16.65","8.4","1101"
"2013","0.1","41.23","16","15.65","8.5","1102"
"2014","0.1","31.23","17","17.43","8","1103"
"2015","0.1","32.34","17","16.65","8.4","1104"
"2016","0.1","47.45","16.02","16.65","8.3","2200"
"2017","0.1","32.34","15.03","15.65","8.4","3000"
"2018","0.1","40.12","17","17.43","8.5","2100"
"2019","0.1","41.2","16","16.65","8","1000"
"2020","0.1","31.23","17","15.65","8.2","980"
