"Year","NPK(tonnes)","MAP(tonnes)","MOP(tonnes)","TSP(tonnes)","UREA(tonnes)","DAP(tonnes)"
"1920","2421","188","490","98","246","320"
"1921","2300","110","190","70","210","780"
"1922","2365","90","220","71","212","900"
"1923","2400","91","200","90","213","910"
"1924","2401","92","210","91","240","322"
"1925","2300","110","190","70","210","780"
"1926","2365","90","220","71","212","900"
"1927","2400","91","200","90","213","910"
"1928","2401","92","210","91","240","322"
"1929","2300","110","190","70","210","780"
"1930","2365","90","220","71","212","900"
"1931","2400","91","200","90","213","910"
"1932","2401","92","210","91","240","322"
"1933","2300","110","190","70","210","780"
"1934","2365","90","220","71","212","900"
"1935","2400","91","200","90","213","910"
"1936","2401","92","210","91","240","322"
"1937","2300","110","190","70","210","780"
"1938","2365","90","220","71","212","900"
"1939","2400","91","200","90","213","910"
"1940","2401","92","210","91","240","322"
"1941","2300","110","190","70","210","780"
"1942","2365","90","220","71","212","900"
"1943","2400","91","200","90","213","910"
"1944","2401","92","210","91","240","322"
"1945","2300","110","190","70","210","780"
"1946","2365","90","220","71","212","900"
"1947","2401","92","210","91","240","322"
"1948","2300","110","190","70","210","780"
"1949","2365","90","220","71","212","900"
"1950","2400","91","200","90","213","910"
"1951","2401","92","210","91","240","322"
"1952","2300","110","190","70","210","780"
"1953","2365","90","220","71","212","900"
"1954","2400","91","200","90","213","910"
"1955","2401","92","210","91","240","322"
"1956","2300","110","190","70","210","780"
"1957","2365","90","220","71","212","900"
"1958","2400","91","200","90","213","910"
"1959","2401","92","210","91","240","322"
"1960","2300","110","190","70","210","780"
"1961","2365","90","220","71","212","900"
"1962","2400","91","200","90","213","910"
"1963","2401","92","210","91","240","322"
"1964","2300","110","190","70","210","780"
"1965","2365","90","220","71","212","900"
"1966","2400","91","200","90","213","910"
"1967","2300","110","190","70","210","780"
"1968","2365","90","220","71","212","900"
"1969","2400","91","200","90","213","910"
"1970","2401","92","210","91","240","322"
"1971","2300","110","190","70","210","780"
"1972","2365","90","220","71","212","900"
"1973","2400","91","200","90","213","910"
"1974","2401","92","210","91","240","322"
"1975","2300","110","190","70","210","780"
"1976","2365","90","220","71","212","900"
"1977","2400","91","200","90","213","910"
"1978","2401","92","210","91","240","322"
"1979","2300","110","190","70","210","780"
"1980","2365","90","220","71","212","900"
"1981","2400","91","200","90","213","910"
"1982","2401","92","210","91","240","322"
"1983","2300","110","190","70","210","780"
"1984","2365","90","220","71","212","900"
"1985","2400","91","200","90","213","910"
"1986","2401","92","210","91","240","322"
"1987","2300","110","190","70","210","780"
"1988","2365","90","220","71","212","900"
"1989","2400","91","200","90","213","910"
"1990","2401","92","210","91","240","322"
"1991","2300","110","190","70","210","780"
"1992","2365","90","220","71","212","900"
"1993","2401","92","210","91","240","322"
"1994","2300","110","190","70","210","780"
"1995","2400","91","200","90","213","910"
"1996","2401","92","210","91","240","322"
"1997","2300","110","190","70","210","780"
"1998","2365","90","220","71","212","900"
"1999","2400","91","200","90","213","910"
"2000","2401","92","210","91","240","322"
"2001","2300","110","190","70","210","780"
"2002","2365","90","220","71","212","900"
"2003","2400","91","200","90","213","910"
"2004","2401","92","210","91","240","322"
"2005","2300","110","190","70","210","780"
"2006","2365","90","220","71","212","900"
"2007","2400","91","200","90","213","910"
"2008","2401","92","210","91","240","322"
"2009","2300","110","190","70","210","780"
"2010","2365","90","220","71","212","900"
"2011","2400","91","200","90","213","910"
"2012","2401","92","210","91","240","322"
"2013","2300","110","190","70","210","780"
"2014","2365","90","220","71","212","900"
"2015","2400","91","200","90","213","910"
"2016","2401","92","210","91","240","322"
"2017","2300","110","190","70","210","780"
"2018","2365","90","220","71","212","900"
"2019","2401","92","210","91","240","322"
"2020","2300","110","190","70","210","780"
