"Year","Rainfall","Humidity","Wind","Max Temp","Min Temp","Air Pressure"
"1920","6840","77","19","30","17","1016"
"1921","11765","71","18","32","16","1014"
"1922","8542","72","16","31","18","1012"
"1923","4610","73","17","28","19","1011"
"1924","8227","74","19","25","16","1010"
"1925","5813","75","18","33","20","1017"
"1926","12961","76","17","32","21","1018"
"1927","13625","76","16","30","16","1019"
"1928","8122","77","17","32","18","1017"
"1929","7700","71","18","31","19","1016"
"1930","8784","72","19","28","16","1015"
"1931","10310","73","18","25","20","1014"
"1932","8886","74","16","33","16","1012"
"1933","11948","75","17","32","18","1011"
"1934","10023","76","19","31","19","1010"
"1935","7580","76","18","28","16","1017"
"1936","6200","77","17","25","20","1018"
"1937","11998","71","16","33","21","1019"
"1938","7869","72","17","32","16","1017"
"1939","6094","73","18","30","18","1016"
"1940","8021","74","16","32","19","1014"
"1941","10247","75","17","31","16","1012"
"1942","10972","76","19","28","16","1011"
"1943","8908","76","18","25","18","1010"
"1944","13372","77","17","32","19","1017"
"1945","12754","71","16","31","16","1018"
"1946","11337","72","17","28","20","1019"
"1947","8970","73","18","25","21","1017"
"1948","4518","74","19","33","16","1016"
"1949","7991","75","18","32","18","1015"
"1950","11093","76","16","30","19","1014"
"1951","4891","76","17","32","16","1012"
"1952","8299","72","19","31","20","1011"
"1953","10250","73","18","28","16","1010"
"1954","14001","74","17","25","18","1017"
"1955","9271","75","16","33","19","1018"
"1956","14002","76","17","32","16","1019"
"1957","6350","76","17","31","20","1012"
"1958","11702","77","19","28","21","1011"
"1959","14983","71","18","25","16","1010"
"1960","6725","72","17","33","18","1017"
"1961","9875","73","16","32","19","1018"
"1962","6543","74","17","30","16","1019"
"1963","10931","75","18","32","18","1017"
"1964","10109","76","19","32","19","1016"
"1965","6406","76","18","31","16","1015"
"1966","6898","77","16","28","20","1014"
"1967","9719","71","17","25","21","1012"
"1968","5637","72","19","33","16","1011"
"1969","6351","73","18","32","18","1010"
"1970","12011","74","17","30","19","1017"
"1971","7738","75","16","32","16","1018"
"1972","4387","76","17","31","20","1019"
"1973","11012","76","18","28","16","1017"
"1974","3934","77","16","25","18","1016"
"1975","12011","71","17","33","19","1014"
"1976","12457","72","19","32","16","1012"
"1977","11046","73","18","31","20","1011"
"1978","8475","71","17","28","21","1010"
"1979","8323","72","16","25","16","1017"
"1980","8003","73","17","33","18","1018"
"1981","10241","74","18","32","19","1017"
"1982","7651","75","16","30","16","1018"
"1983","11967","76","17","32","16","1019"
"1984","10365","76","19","31","18","1017"
"1985","5968","77","18","28","19","1016"
"1986","4688","71","17","25","16","1015"
"1987","4043","72","16","32","20","1014"
"1988","11061","73","17","31","21","1012"
"1989","7914","74","18","28","16","1011"
"1990","10201","75","19","25","18","1010"
"1991","6275","76","18","33","19","1017"
"1992","8205","76","16","32","16","1018"
"1993","8718","77","17","30","20","1019"
"1994","13598","71","19","32","16","1017"
"1995","6696","72","18","31","18","1016"
"1996","8168","73","17","28","19","1014"
"1997","11398","74","16","25","16","1012"
"1998","10267","75","17","25","20","1011"
"1999","6388","76","18","33","21","1010"
"2000","6005","76","16","32","16","1017"
"2001","8543","77","17","30","18","1018"
"2002","6705","71","19","32","19","1019"
"2003","11374","72","18","31","16","1017"
"2004","9650","73","17","28","20","1016"
"2005","10237","74","16","25","16","1015"
"2006","12452","75","17","32","18","1014"
"2007","12050","76","18","31","19","1012"
"2008","9504","76","19","28","16","1011"
"2009","6319","72","18","25","20","1010"
"2010","12471","73","16","33","21","1017"
"2011","9648","74","17","33","16","1018"
"2012","7582","75","19","32","18","1019"
"2013","14303","76","18","31","19","1012"
"2014","9192","76","17","28","16","1011"
"2015","6748","77","16","25","16","1010"
"2016","7087","71","17","33","18","1017"
"2017","7582","72","18","32","19","1018"
"2018","14303","73","16","30","16","1019"
"2019","9192","74","17","32","20","1017"
"2020","12050","75","18","30","18","1016"
