Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(micro/cm)
1920,0.59,68.49,5.52,13.67,8,750
1921,0.59,69.49,6.52,14.67,8.9,751
1922,0.59,70.49,7.52,15.67,9.1,752
1923,0.59,71.49,8.52,16.67,9.2,753
1924,0.59,72.49,9.52,17.67,8,754
1925,0.59,73.49,10.52,18.67,8.9,755
1926,0.59,74.49,11.52,19.67,9.1,756
1927,0.59,75.49,12.52,20.67,9.2,757
1928,0.59,76.49,13.52,21.67,8.9,758
1929,0.59,77.49,14.52,22.67,9.1,759
1930,0.59,78.49,15.52,23.67,9.2,760
1931,0.59,79.49,16.52,24.67,8,761
1932,0.59,80.49,17.52,25.67,8.9,762
1933,0.59,81.49,18.52,26.67,9.1,763
1934,0.59,82.49,19.52,27.67,9.2,764
1935,0.59,83.49,20.52,28.67,8,765
1936,0.59,84.49,21.52,29.67,8.9,766
1937,0.59,85.49,22.52,30.67,9.1,767
1938,0.59,86.49,23.52,31.67,9.2,768
1939,0.59,87.49,24.52,32.67,8,769
1940,0.59,88.49,25.52,33.67,8.9,770
1941,0.59,89.49,26.52,34.67,9.1,771
1942,0.59,90.49,27.52,35.67,9.2,772
1943,0.59,91.49,28.52,36.67,8.9,773
1944,0.59,92.49,29.52,37.67,9.1,774
1945,0.59,93.49,30.52,38.67,9.2,775
1946,0.59,94.49,31.52,39.67,8,776
1947,0.59,95.49,32.52,40.67,8.9,777
1948,0.59,96.49,33.52,41.67,9.1,778
1949,0.59,97.49,34.52,42.67,9.2,779
1950,0.59,98.49,35.52,43.67,8,780
1951,0.59,99.49,36.52,44.67,8.9,781
1952,0.59,100.49,37.52,45.67,9.1,782
1953,0.59,101.49,38.52,46.67,9.2,783
1954,0.59,102.49,39.52,47.67,8.9,784
1955,0.59,103.49,40.52,48.67,9.1,785
1956,0.59,104.49,41.52,49.67,9.2,786
1957,0.59,105.49,42.52,50.67,8,787
1958,0.59,106.49,43.52,51.67,8.9,788
1959,0.59,107.49,44.52,52.67,9.1,789
1960,0.59,108.49,45.52,53.67,9.2,790
1961,0.59,109.49,46.52,54.67,8,791
1962,0.59,110.49,47.52,55.67,8.9,792
1963,0.59,111.49,48.52,56.67,9.1,793
1964,0.59,112.49,49.52,57.67,9.2,794
1965,0.59,113.49,50.52,58.67,8,795
1966,0.59,114.49,51.52,59.67,8.9,796
1967,0.59,115.49,52.52,60.67,9.1,797
1968,0.59,116.49,53.52,61.67,9.2,798
1969,0.59,117.49,54.52,62.67,8.9,799
1970,0.59,118.49,55.52,63.67,9.1,800
1971,0.59,119.49,56.52,64.67,8.9,801
1972,0.59,120.49,57.52,65.67,9.1,802
1973,0.59,121.49,58.52,66.67,9.2,803
1974,0.59,122.49,59.52,67.67,8,804
1975,0.59,123.49,60.52,68.67,8.9,805
1976,0.59,124.49,61.52,69.67,9.1,806
1977,0.59,125.49,62.52,70.67,9.2,807
1978,0.59,126.49,63.52,71.67,8.9,808
1979,0.59,127.49,64.52,72.67,9.1,809
1980,0.59,128.49,65.52,73.67,9.2,810
1981,0.59,129.49,66.52,74.67,8,811
1982,0.59,130.49,67.52,75.67,8.9,812
1983,0.59,131.49,68.52,76.67,9.1,813
1984,0.59,132.49,69.52,77.67,9.2,814
1985,0.59,133.49,70.52,78.67,8,815
1986,0.59,134.49,71.52,79.67,8.9,816
1987,0.59,135.49,72.52,80.67,9.1,817
1988,0.59,136.49,73.52,81.67,9.2,818
1989,0.59,137.49,74.52,82.67,8,819
1990,0.59,138.49,75.52,83.67,8.9,820
1991,0.59,139.49,76.52,84.67,9.1,821
1992,0.59,140.49,77.52,85.67,9.2,822
1993,0.59,141.49,78.52,86.67,8.9,823
1994,0.59,142.49,79.52,87.67,9.1,824
1995,0.59,143.49,80.52,88.67,9.2,825
1996,0.59,144.49,81.52,89.67,8,826
1997,0.59,145.49,82.52,90.67,8.9,827
1998,0.59,146.49,83.52,91.67,9.1,828
1999,0.59,147.49,84.52,92.67,9.2,829
2000,0.59,148.49,85.52,93.67,8,830
2001,0.59,149.49,86.52,94.67,8.9,831
2002,0.59,150.49,87.52,95.67,9.1,832
2003,0.59,151.49,88.52,96.67,9.2,833
2004,0.59,152.49,89.52,97.67,8.9,834
2005,0.59,153.49,90.52,98.67,9.1,835
2006,0.59,154.49,91.52,99.67,9.2,836
2007,0.59,155.49,92.52,100.67,8,837
2008,0.59,156.49,93.52,101.67,8.9,838
2009,0.59,157.49,94.52,102.67,9.1,839
2010,0.59,158.49,95.52,103.67,9.2,840
2011,0.59,159.49,96.52,104.67,8,841
2012,0.59,160.49,97.52,105.67,8.9,842
2013,0.59,161.49,98.52,106.67,9.1,843
2014,0.59,162.49,99.52,107.67,9.2,844
2015,0.59,163.49,100.52,108.67,8,845
2016,0.59,164.49,101.52,109.67,8.9,846
2017,0.59,165.49,102.52,110.67,9.1,847
2018,0.59,166.49,103.52,111.67,9.2,848
2019,0.59,167.49,104.52,112.67,8.9,849
2020,0.59,168.49,105.52,113.67,9.1,850
