Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1920,3439,3278,4367,2360,4270,3330
1921,3440,3279,4368,2361,4271,3331
1922,3441,3280,4369,2362,4272,3332
1923,3442,3281,4370,2363,4273,3333
1924,3443,3282,4371,2364,4274,3334
1925,3444,3283,4372,2365,4275,3335
1926,3445,3284,4373,2366,4276,3336
1927,3446,3285,4374,2367,4277,3337
1928,3447,3286,4375,2368,4278,3338
1929,3448,3287,4376,2369,4279,3339
1930,3449,3288,4377,2370,4280,3340
1931,3450,3289,4378,2371,4281,3341
1932,3451,3290,4379,2372,4282,3342
1933,3452,3291,4380,2373,4283,3343
1934,3453,3292,4381,2374,4284,3344
1935,3454,3293,4382,2375,4285,3345
1936,3455,3294,4383,2376,4286,3346
1937,3456,3295,4384,2377,4287,3347
1938,3457,3296,4385,2378,4288,3348
1939,3458,3297,4386,2379,4289,3349
1940,3459,3298,4387,2380,4290,3350
1941,3460,3299,4388,2381,4291,3351
1942,3461,3300,4389,2382,4292,3352
1943,3462,3301,4390,2383,4293,3353
1944,3463,3302,4391,2384,4294,3354
1945,3464,3303,4392,2385,4295,3355
1946,3465,3304,4393,2386,4296,3356
1947,3466,3305,4394,2387,4297,3357
1948,3467,3306,4395,2388,4298,3358
1949,3468,3307,4396,2389,4299,3359
1950,3469,3308,4397,2390,4300,3360
1951,3470,3309,4398,2391,4301,3361
1952,3471,3310,4399,2392,4302,3362
1953,3472,3311,4400,2393,4303,3363
1954,3473,3312,4401,2394,4304,3364
1955,3474,3313,4402,2395,4305,3365
1956,3475,3314,4403,2396,4306,3366
1957,3476,3315,4404,2397,4307,3367
1958,3477,3316,4405,2398,4308,3368
1959,3478,3317,4406,2399,4309,3369
1960,3479,3318,4407,2400,4310,3370
1961,3480,3319,4408,2401,4311,3371
1962,3481,3320,4409,2402,4312,3372
1963,3482,3321,4410,2403,4313,3373
1964,3483,3322,4411,2404,4314,3374
1965,3484,3323,4412,2405,4315,3375
1966,3485,3324,4413,2406,4316,3376
1967,3486,3325,4414,2407,4317,3377
1968,3487,3326,4415,2408,4318,3378
1969,3488,3327,4416,2409,4319,3379
1970,3489,3328,4417,2410,4320,3380
1971,3490,3329,4418,2411,4321,3381
1972,3491,3330,4419,2412,4322,3382
1973,3492,3331,4420,2413,4323,3383
1974,3493,3332,4421,2414,4324,3384
1975,3494,3333,4422,2415,4325,3385
1976,3495,3334,4423,2416,4326,3386
1977,3496,3335,4424,2417,4327,3387
1978,3497,3336,4425,2418,4328,3388
1979,3498,3337,4426,2419,4329,3389
1980,3499,3338,4427,2420,4330,3390
1981,3500,3339,4428,2421,4331,3391
1982,3501,3340,4429,2422,4332,3392
1983,3502,3341,4430,2423,4333,3393
1984,3503,3342,4431,2424,4334,3394
1985,3504,3343,4432,2425,4335,3395
1986,3505,3344,4433,2426,4336,3396
1987,3506,3345,4434,2427,4337,3397
1988,3507,3346,4435,2428,4338,3398
1989,3508,3347,4436,2429,4339,3399
1990,3509,3348,4437,2430,4340,3400
1991,3510,3349,4438,2431,4341,3401
1992,3511,3350,4439,2432,4342,3402
1993,3512,3351,4440,2433,4343,3403
1994,3513,3352,4441,2434,4344,3404
1995,3514,3353,4442,2435,4345,3405
1996,3515,3354,4443,2436,4346,3406
1997,3516,3355,4444,2437,4347,3407
1998,3517,3356,4445,2438,4348,3408
1999,3518,3357,4446,2439,4349,3409
2000,3519,3358,4447,2440,4350,3410
2001,3520,3359,4448,2441,4351,3411
2002,3521,3360,4449,2442,4352,3412
2003,3522,3361,4450,2443,4353,3413
2004,3523,3362,4451,2444,4354,3414
2005,3524,3363,4452,2445,4355,3415
2006,3525,3364,4453,2446,4356,3416
2007,3526,3365,4454,2447,4357,3417
2008,3527,3366,4455,2448,4358,3418
2009,3528,3367,4456,2449,4359,3419
2010,3529,3368,4457,2450,4360,3420
2011,3530,3369,4458,2451,4361,3421
2012,3531,3370,4459,2452,4362,3422
2013,3532,3371,4460,2453,4363,3423
2014,3533,3372,4461,2454,4364,3424
2015,3534,3373,4462,2455,4365,3425
2016,3535,3374,4463,2456,4366,3426
2017,3536,3375,4464,2457,4367,3427
2018,3537,3376,4465,2458,4368,3428
2019,3538,3377,4466,2459,4369,3429
2020,3539,3378,4467,2460,4370,3430
