Year,Ph,OC(g kg),EC(dS/m),N(kg/ha),P(kg/ha),K(kg/ha)
1920,6.6,0.1,0.1,100,10,104
1921,6.7,0.5,0.1,150,14,111
1922,6.8,0.3,0.3,170,12,150
1923,8,0.4,0.2,189,20,170
1924,8.1,0.7,0.4,210,15,190
1925,8.5,0.8,0.1,250,16,209
1926,6.7,0.5,0.1,150,14,111
1927,6.8,0.3,0.3,170,12,150
1928,8,0.4,0.2,189,20,170
1929,8.1,0.7,0.4,210,15,190
1930,6.8,0.3,0.3,170,12,150
1931,8,0.4,0.2,189,20,170
1932,8.1,0.7,0.4,210,15,190
1933,8.5,0.8,0.1,250,16,209
1934,6.7,0.5,0.1,150,14,111
1935,6.8,0.3,0.3,170,12,150
1936,8,0.4,0.2,189,20,170
1937,6.6,0.1,0.1,100,10,104
1938,6.7,0.5,0.1,150,14,111
1939,6.8,0.3,0.3,170,12,150
1940,8,0.4,0.2,189,20,170
1941,8.1,0.7,0.4,210,15,190
1942,8.5,0.8,0.1,250,16,209
1943,6.7,0.5,0.1,150,14,111
1944,6.8,0.3,0.3,170,12,150
1945,8,0.4,0.2,189,20,170
1946,8.1,0.7,0.4,210,15,190
1947,6.8,0.3,0.3,170,12,150
1948,8,0.4,0.2,189,20,170
1949,8.1,0.7,0.4,210,15,190
1950,8.5,0.8,0.1,250,16,209
1951,6.7,0.5,0.1,150,14,111
1952,6.8,0.3,0.3,170,12,150
1953,8,0.4,0.2,189,20,170
1954,8.1,0.7,0.4,210,15,190
1955,8.5,0.8,0.1,250,16,209
1956,6.7,0.5,0.1,150,14,111
1957,6.8,0.3,0.3,170,12,150
1958,8,0.4,0.2,189,20,170
1959,8.1,0.7,0.4,210,15,190
1960,6.8,0.3,0.3,170,12,150
1961,8,0.4,0.2,189,20,170
1962,8.1,0.7,0.4,210,15,190
1963,8.5,0.8,0.1,250,16,209
1964,6.7,0.5,0.1,150,14,111
1965,6.8,0.3,0.3,170,12,150
1966,8,0.4,0.2,189,20,170
1967,6.6,0.1,0.1,100,10,104
1968,6.7,0.5,0.1,150,14,111
1969,6.8,0.3,0.3,170,12,150
1970,8,0.4,0.2,189,20,170
1971,8.1,0.7,0.4,210,15,190
1972,8.5,0.8,0.1,250,16,209
1973,6.7,0.5,0.1,150,14,111
1974,6.8,0.3,0.3,170,12,150
1975,8,0.4,0.2,189,20,170
1976,8.1,0.7,0.4,210,15,190
1977,6.8,0.3,0.3,170,12,150
1978,8,0.4,0.2,189,20,170
1979,8.1,0.7,0.4,210,15,190
1980,8.5,0.8,0.1,250,16,209
1981,6.8,0.3,0.3,170,12,150
1982,8,0.4,0.2,189,20,170
1983,8.1,0.7,0.4,210,15,190
1984,8.5,0.8,0.1,250,16,209
1985,6.7,0.5,0.1,150,14,111
1986,6.8,0.3,0.3,170,12,150
1987,8,0.4,0.2,189,20,170
1988,8.1,0.7,0.4,210,15,190
1989,6.8,0.3,0.3,170,12,150
1990,8,0.4,0.2,189,20,170
1991,8.1,0.7,0.4,210,15,190
1992,8.5,0.8,0.1,250,16,209
1993,6.7,0.5,0.1,150,14,111
1994,6.8,0.3,0.3,170,12,150
1995,8,0.4,0.2,189,20,170
1996,6.6,0.1,0.1,100,10,104
1997,6.7,0.5,0.1,150,14,111
1998,6.8,0.3,0.3,170,12,150
1999,8,0.4,0.2,189,20,170
2000,8.1,0.7,0.4,210,15,190
2001,8.5,0.8,0.1,250,16,209
2002,6.7,0.5,0.1,150,14,111
2003,6.8,0.3,0.3,170,12,150
2004,8,0.4,0.2,189,20,170
2005,8.1,0.7,0.4,210,15,190
2006,6.8,0.3,0.3,170,12,150
2007,8,0.4,0.2,189,20,170
2008,8.1,0.7,0.4,210,15,190
2009,8.5,0.8,0.1,250,16,209
2010,6.7,0.5,0.1,150,14,111
2011,6.8,0.3,0.3,170,12,150
2012,8,0.4,0.2,189,20,170
2013,8.1,0.7,0.4,210,15,190
2014,8.5,0.8,0.1,250,16,209
2015,6.7,0.5,0.1,150,14,111
2016,6.8,0.3,0.3,170,12,150
2017,8,0.4,0.2,189,20,170
2018,8.1,0.7,0.4,210,15,190
2019,6.8,0.3,0.3,170,12,150
2020,8,0.4,0.2,189,20,170
