Year,Rainfall,Humidity,Wind,Max Temp,Min Temp,Air Pressure
1920,3716,34,3,31,22,1018
1921,4760,45,5,32,20,1017
1922,5512,40,4,30,21,1016
1923,5835,41,3,30,20,1015
1924,6510,45,5,32,20,1017
1925,5698,40,4,30,21,1016
1926,6435,45,5,32,20,1017
1927,5131,40,4,30,21,1016
1928,4100,41,3,30,20,1015
1929,3364,45,5,32,20,1017
1930,5443,45,5,32,20,1017
1931,5115,40,4,30,21,1016
1932,4683,41,3,30,20,1015
1933,9976,45,5,32,20,1017
1934,5196,40,4,30,21,1016
1935,5841,45,5,32,20,1017
1936,5496,40,4,30,21,1016
1937,5244,41,3,30,20,1015
1938,2698,40,4,30,21,1016
1939,3061,41,3,30,20,1015
1940,3780,45,5,32,20,1017
1941,3836,40,4,30,21,1016
1942,7995,45,5,32,20,1017
1943,4278,40,4,30,21,1016
1944,5033,41,3,30,20,1015
1945,7290,45,5,32,20,1017
1946,4263,45,5,32,20,1017
1947,5236,40,4,30,21,1016
1948,6495,41,3,30,20,1015
1949,5505,45,5,32,20,1017
1950,5625,40,4,30,21,1016
1951,3559,45,5,32,20,1017
1952,5294,40,4,30,21,1016
1953,5920,40,4,30,21,1016
1954,5547,41,3,30,20,1015
1955,6505,45,5,32,20,1017
1956,6895,40,4,30,21,1016
1957,6144,45,5,32,20,1017
1958,6976,40,4,30,21,1016
1959,5356,41,3,30,20,1015
1960,7716,45,5,32,20,1017
1961,6367,45,5,32,20,1017
1962,5433,40,4,30,21,1016
1963,5875,41,3,30,20,1015
1964,7618,45,5,32,20,1017
1965,3998,40,4,30,21,1016
1966,6426,45,5,32,20,1017
1967,7102,40,4,30,21,1016
1968,5263,41,3,30,20,1015
1969,5504,40,4,30,21,1016
1970,5753,41,3,30,20,1015
1971,6420,45,5,32,20,1017
1972,4985,40,4,30,21,1016
1973,5593,45,5,32,20,1017
1974,3696,40,4,30,21,1016
1975,8471,41,3,30,20,1015
1976,7463,45,5,32,20,1017
1977,6953,45,5,32,20,1017
1978,7205,40,4,30,21,1016
1979,4358,41,3,30,20,1015
1980,6080,45,5,32,20,1017
1981,5866,40,4,30,21,1016
1982,5275,45,5,32,20,1017
1983,8387,41,3,30,20,1015
1984,5200,45,5,32,20,1017
1985,6009,40,4,30,21,1016
1986,4170,45,5,32,20,1017
1987,2734,40,4,30,21,1016
1988,8571,41,3,30,20,1015
1989,3091,45,5,32,20,1017
1990,7141,45,5,32,20,1017
1991,4125,40,4,30,21,1016
1992,4602,41,3,30,20,1015
1993,5995,45,5,32,20,1017
1994,6182,40,4,30,21,1016
1995,8223,45,5,32,20,1017
1996,7022,40,4,30,21,1016
1997,7273,41,3,30,20,1015
1998,7700,40,4,30,21,1016
1999,3394,41,3,30,20,1015
2000,4410,45,5,32,20,1017
2001,6177,40,4,30,21,1016
2002,4066,45,5,32,20,1017
2003,6219,40,4,30,21,1016
2004,5766,41,3,30,20,1015
2005,6708,45,5,32,20,1017
2006,3927,45,5,32,20,1017
2007,5203,40,4,30,21,1016
2008,7418,41,3,30,20,1015
2009,4159,45,5,32,20,1017
2010,6725,40,4,30,21,1016
2011,5344,45,5,32,20,1017
2012,4690,40,4,30,21,1016
2013,5810,40,4,30,21,1016
2014,3493,41,3,30,20,1015
2015,4371,45,5,32,20,1017
2016,3852,40,4,30,21,1016
2017,6182,45,5,32,20,1017
2018,8223,40,4,30,21,1016
2019,7022,41,3,30,20,1015
2020,7273,45,5,32,20,1017
