"Year","Rise (Depth of Water)","Fall(Depth of Water)","Rise(Fluctuation)","Fall(Fluctuation)","pH","EC(micro/cm)"
1920,0.41,26.78,7.85,8.22,6.9,1413
1921,1.41,27.78,8.85,9.22,7,1401
1922,2.41,28.78,9.85,10.22,7.1,1410
1923,3.41,29.78,10.85,11.22,7.3,1400
1924,4.41,30.78,11.85,12.22,7.5,1387
1925,5.41,31.78,12.85,13.22,6.9,1388
1926,6.41,32.78,13.85,14.22,7,1389
1927,7.41,33.78,14.85,15.22,7.1,1390
1928,8.41,34.78,15.85,16.22,7.3,1391
1929,9.41,35.78,16.85,17.22,7,1392
1930,10.41,36.78,17.85,18.22,7.1,1393
1931,11.41,37.78,18.85,19.22,7.3,1394
1932,12.41,38.78,19.85,20.22,7.5,1395
1933,13.41,39.78,20.85,21.22,6.9,1396
1934,14.41,40.78,21.85,22.22,7,1397
1935,15.41,41.78,22.85,23.22,7.1,1398
1936,16.41,42.78,23.85,24.22,6.9,1399
1937,17.41,43.78,24.85,25.22,7,1400
1938,18.41,44.78,25.85,26.22,7.1,1401
1939,19.41,45.78,26.85,27.22,7.3,1402
1940,20.41,46.78,27.85,28.22,7.5,1403
1941,21.41,47.78,28.85,29.22,6.9,1404
1942,22.41,48.78,29.85,30.22,7,1405
1943,23.41,49.78,30.85,31.22,7.1,1406
1944,24.41,50.78,31.85,32.22,7.3,1407
1945,25.41,51.78,32.85,33.22,7,1408
1946,26.41,52.78,33.85,34.22,7.1,1409
1947,27.41,53.78,34.85,35.22,7.3,1410
1948,28.41,54.78,35.85,36.22,7.5,1411
1949,29.41,55.78,36.85,37.22,7,1412
1950,30.41,56.78,37.85,38.22,7.1,1413
1951,31.41,57.78,38.85,39.22,7.3,1414
1952,32.41,58.78,39.85,40.22,7.5,1415
1953,33.41,59.78,40.85,41.22,6.9,1416
1954,34.41,60.78,41.85,42.22,7,1417
1955,35.41,61.78,42.85,43.22,7.1,1418
1956,36.41,62.78,43.85,44.22,7.3,1419
1957,37.41,63.78,44.85,45.22,7,1420
1958,38.41,64.78,45.85,46.22,7.1,1421
1959,39.41,65.78,46.85,47.22,7.3,1422
1960,40.41,66.78,47.85,48.22,7.5,1423
1961,41.41,67.78,48.85,49.22,6.9,1424
1962,42.41,68.78,49.85,50.22,7,1425
1963,43.41,69.78,50.85,51.22,7.1,1426
1964,44.41,70.78,51.85,52.22,6.9,1427
1965,45.41,71.78,52.85,53.22,7,1428
1966,46.41,72.78,53.85,54.22,7.1,1429
1967,47.41,73.78,54.85,55.22,7.3,1430
1968,48.41,74.78,55.85,56.22,7.5,1431
1969,49.41,75.78,56.85,57.22,6.9,1432
1970,50.41,76.78,57.85,58.22,7.5,1433
1971,51.41,77.78,58.85,59.22,6.9,1434
1972,52.41,78.78,59.85,60.22,7,1435
1973,53.41,79.78,60.85,61.22,7.1,1436
1974,54.41,80.78,61.85,62.22,7.3,1437
1975,55.41,81.78,62.85,63.22,7,1438
1976,56.41,82.78,63.85,64.22,7.1,1439
1977,57.41,83.78,64.85,65.22,7.3,1440
1978,58.41,84.78,65.85,66.22,7.5,1441
1979,59.41,85.78,66.85,67.22,6.9,1442
1980,60.41,86.78,67.85,68.22,7,1443
1981,61.41,87.78,68.85,69.22,7.1,1444
1982,62.41,88.78,69.85,70.22,6.9,1445
1983,63.41,89.78,70.85,71.22,7,1446
1984,64.41,90.78,71.85,72.22,7.1,1447
1985,65.41,91.78,72.85,73.22,7.3,1448
1986,66.41,92.78,73.85,74.22,7.5,1449
1987,67.41,93.78,74.85,75.22,6.9,1450
1988,68.41,94.78,75.85,76.22,7,1451
1989,69.41,95.78,76.85,77.22,7.1,1452
1990,70.41,96.78,77.85,78.22,7.3,1453
1991,71.41,97.78,78.85,79.22,7,1454
1992,72.41,98.78,79.85,80.22,7.1,1455
1993,73.41,99.78,80.85,81.22,7.3,1456
1994,74.41,100.78,81.85,82.22,7.5,1457
1995,75.41,101.78,82.85,83.22,7,1458
1996,76.41,102.78,83.85,84.22,7.1,1459
1997,77.41,103.78,84.85,85.22,7.3,1460
1998,78.41,104.78,85.85,86.22,7.5,1461
1999,79.41,105.78,86.85,87.22,6.9,1462
2000,80.41,106.78,87.85,88.22,7,1463
2001,81.41,107.78,88.85,89.22,7.1,1464
2002,82.41,108.78,89.85,90.22,7.3,1465
2003,83.41,109.78,90.85,91.22,7,1466
2004,84.41,110.78,91.85,92.22,7.1,1467
2005,85.41,111.78,92.85,93.22,7.3,1468
2006,86.41,112.78,93.85,94.22,7.5,1469
2007,87.41,113.78,94.85,95.22,6.9,1470
2008,88.41,114.78,95.85,96.22,7.1,1471
2009,89.41,115.78,96.85,97.22,7.3,1472
2010,90.41,116.78,97.85,98.22,7.5,1473
2011,91.41,117.78,98.85,99.22,6.9,1474
2012,92.41,118.78,99.85,100.22,7,1475
2013,93.41,119.78,100.85,101.22,7.1,1476
2014,94.41,120.78,101.85,102.22,7.3,1477
2015,95.41,121.78,102.85,103.22,7,1478
2016,96.41,122.78,103.85,104.22,7.5,1479
2017,97.41,123.78,104.85,105.22,6.9,1480
2018,98.41,124.78,105.85,106.22,7,1481
2019,99.41,125.78,106.85,107.22,7.1,1482
2020,100.41,126.78,107.85,108.22,7.3,1483
