Year,Rice(kg/hectare),Ragi,Small Millets,Gram,Groundnuts,Sessasum,Sugarcane,Chillies,Ginger,Tumeric,Bajra,Maize,Potato,Wheat,Other Pulses,Barley
1920,1301,791,261,433,561,361,22367,2,60,5,993,1749,311,1661,608,3
1921,1302,792,262,434,562,362,22368,2,60,5,994,1750,312,1662,609,3
1922,1303,793,263,435,563,363,22369,2,60,5,995,1751,313,1663,610,3
1923,1304,794,264,436,564,364,22370,2,60,5,996,1752,314,1664,611,3
1924,1305,795,265,437,565,365,22371,2,60,5,997,1753,315,1665,612,3
1925,1306,796,266,438,566,366,22372,2,60,5,998,1754,316,1666,613,3
1926,1307,797,267,439,567,367,22373,2,60,5,999,1755,317,1667,614,3
1927,1308,798,268,440,568,368,22374,2,60,5,1000,1756,318,1668,615,3
1928,1309,799,269,441,569,369,22375,2,60,5,1001,1757,319,1669,616,3
1929,1310,800,270,442,570,370,22376,2,60,5,1002,1758,320,1670,617,3
1930,1311,801,271,443,571,371,22377,2,60,5,1003,1759,321,1671,618,3
1931,1312,802,272,444,572,372,22378,2,60,5,1004,1760,322,1672,619,3
1932,1313,803,273,445,573,373,22379,2,60,5,1005,1761,323,1673,620,3
1933,1314,804,274,446,574,374,22380,2,60,5,1006,1762,324,1674,621,3
1934,1315,805,275,447,575,375,22381,2,60,5,1007,1763,325,1675,622,3
1935,1316,806,276,448,576,376,22382,2,60,5,1008,1764,326,1676,623,3
1936,1317,807,277,449,577,377,22383,2,60,5,1009,1765,327,1677,624,3
1937,1318,808,278,450,578,378,22384,2,60,5,1010,1766,328,1678,625,3
1938,1319,809,279,451,579,379,22385,2,60,5,1011,1767,329,1679,626,3
1939,1320,810,280,452,580,380,22386,2,60,5,1012,1768,330,1680,627,3
1940,1321,811,281,453,581,381,22387,2,60,5,1013,1769,331,1681,628,3
1941,1322,812,282,454,582,382,22388,2,60,5,1014,1770,332,1682,629,3
1942,1323,813,283,455,583,383,22389,2,60,5,1015,1771,333,1683,630,3
1943,1324,814,284,456,584,384,22390,2,60,5,1016,1772,334,1684,631,3
1944,1325,815,285,457,585,385,22391,2,60,5,1017,1773,335,1685,632,3
1945,1326,816,286,458,586,386,22392,2,60,5,1018,1774,336,1686,633,3
1946,1327,817,287,459,587,387,22393,2,60,5,1019,1775,337,1687,634,3
1947,1328,818,288,460,588,388,22394,2,60,5,1020,1776,338,1688,635,3
1948,1329,819,289,461,589,389,22395,2,60,5,1021,1777,339,1689,636,3
1949,1330,820,290,462,590,390,22396,2,60,5,1022,1778,340,1690,637,3
1950,1331,821,291,463,591,391,22397,2,60,5,1023,1779,341,1691,638,3
1951,1332,822,292,464,592,392,22398,2,60,5,1024,1780,342,1692,639,3
1952,1333,823,293,465,593,393,22399,2,60,5,1025,1781,343,1693,640,3
1953,1334,824,294,466,594,394,22400,2,60,5,1026,1782,344,1694,641,3
1954,1335,825,295,467,595,395,22401,2,60,5,1027,1783,345,1695,642,3
1955,1336,826,296,468,596,396,22402,2,60,5,1028,1784,346,1696,643,3
1956,1337,827,297,469,597,397,22403,2,60,5,1029,1785,347,1697,644,3
1957,1338,828,298,470,598,398,22404,2,60,5,1030,1786,348,1698,645,3
1958,1339,829,299,471,599,399,22405,2,60,5,1031,1787,349,1699,646,3
1959,1340,830,300,472,600,400,22406,2,60,5,1032,1788,350,1700,647,3
1960,1341,831,301,473,601,401,22407,2,60,5,1033,1789,351,1701,648,3
1961,1342,832,302,474,602,402,22408,2,60,5,1034,1790,352,1702,649,3
1962,1343,833,303,475,603,403,22409,2,60,5,1035,1791,353,1703,650,3
1963,1344,834,304,476,604,404,22410,2,60,5,1036,1792,354,1704,651,3
1964,1345,835,305,477,605,405,22411,2,60,5,1037,1793,355,1705,652,3
1965,1346,836,306,478,606,406,22412,2,60,5,1038,1794,356,1706,653,3
1966,1347,837,307,479,607,407,22413,2,60,5,1039,1795,357,1707,654,3
1967,1348,838,308,480,608,408,22414,2,60,5,1040,1796,358,1708,655,3
1968,1349,839,309,481,609,409,22415,2,60,5,1041,1797,359,1709,656,3
1969,1350,840,310,482,610,410,22416,2,60,5,1042,1798,360,1710,657,3
1970,1351,841,311,483,611,411,22417,2,60,5,1043,1799,361,1711,658,3
1971,1352,842,312,484,612,412,22418,2,60,5,1044,1800,362,1712,659,3
1972,1353,843,313,485,613,413,22419,2,60,5,1045,1801,363,1713,660,3
1973,1354,844,314,486,614,414,22420,2,60,5,1046,1802,364,1714,661,3
1974,1355,845,315,487,615,415,22421,2,60,5,1047,1803,365,1715,662,3
1975,1356,846,316,488,616,416,22422,2,60,5,1048,1804,366,1716,663,3
1976,1357,847,317,489,617,417,22423,2,60,5,1049,1805,367,1717,664,3
1977,1358,848,318,490,618,418,22424,2,60,5,1050,1806,368,1718,665,3
1978,1359,849,319,491,619,419,22425,2,60,5,1051,1807,369,1719,666,3
1979,1360,850,320,492,620,420,22426,2,60,5,1052,1808,370,1720,667,3
1980,1361,851,321,493,621,421,22427,2,60,5,1053,1809,371,1721,668,3
1981,1362,852,322,494,622,422,22428,2,60,5,1054,1810,372,1722,669,3
1982,1363,853,323,495,623,423,22429,2,60,5,1055,1811,373,1723,670,3
1983,1364,854,324,496,624,424,22430,2,60,5,1056,1812,374,1724,671,3
1984,1365,855,325,497,625,425,22431,2,60,5,1057,1813,375,1725,672,3
1985,1366,856,326,498,626,426,22432,2,60,5,1058,1814,376,1726,673,3
1986,1367,857,327,499,627,427,22433,2,60,5,1059,1815,377,1727,674,3
1987,1368,858,328,500,628,428,22434,2,60,5,1060,1816,378,1728,675,3
1988,1369,859,329,501,629,429,22435,2,60,5,1061,1817,379,1729,676,3
1989,1370,860,330,502,630,430,22436,2,60,5,1062,1818,380,1730,677,3
1990,1371,861,331,503,631,431,22437,2,60,5,1063,1819,381,1731,678,3
1991,1372,862,332,504,632,432,22438,2,60,5,1064,1820,382,1732,679,3
1992,1373,863,333,505,633,433,22439,2,60,5,1065,1821,383,1733,680,3
1993,1374,864,334,506,634,434,22440,2,60,5,1066,1822,384,1734,681,3
1994,1375,865,335,507,635,435,22441,2,60,5,1067,1823,385,1735,682,3
1995,1376,866,336,508,636,436,22442,2,60,5,1068,1824,386,1736,683,3
1996,1377,867,337,509,637,437,22443,2,60,5,1069,1825,387,1737,684,3
1997,1378,868,338,510,638,438,22444,2,60,5,1070,1826,388,1738,685,3
1998,1379,869,339,511,639,439,22445,2,60,5,1071,1827,389,1739,686,3
1999,1380,870,340,512,640,440,22446,2,60,5,1072,1828,390,1740,687,3
2000,1381,871,341,513,641,441,22447,2,60,5,1073,1829,391,1741,688,3
2001,1382,872,342,514,642,442,22448,2,60,5,1074,1830,392,1742,689,3
2002,1383,873,343,515,643,443,22449,2,60,5,1075,1831,393,1743,690,3
2003,1384,874,344,516,644,444,22450,2,60,5,1076,1832,394,1744,691,3
2004,1385,875,345,517,645,445,22451,2,60,5,1077,1833,395,1745,692,3
2005,1386,876,346,518,646,446,22452,2,60,5,1078,1834,396,1746,693,3
2006,1387,877,347,519,647,447,22453,2,60,5,1079,1835,397,1747,694,3
2007,1388,878,348,520,648,448,22454,2,60,5,1080,1836,398,1748,695,3
2008,1389,879,349,521,649,449,22455,2,60,5,1081,1837,399,1749,696,3
2009,1390,880,350,522,650,450,22456,2,60,5,1082,1838,400,1750,697,3
2010,1678,910,550,990,900,350,24457,3,87,6,550,2100,190,1470,1100,3
2011,1476,920,610,991,901,120,23458,4,78,9,500,2034,50,1567,1230,3
2012,1550,921,620,992,902,90,23459,14,67,10,487,1978,60,927,1231,3
2013,1780,922,650,997,903,99,23460,12,80,9,481,1867,40,980,1232,3
2014,1781,923,651,998,904,100,23461,13,81,10,482,1868,41,981,1233,3
2015,1782,924,652,999,905,101,23462,14,82,11,483,1869,42,982,1234,3
2016,1783,925,653,1000,906,102,23463,15,83,12,484,1870,43,983,1235,3
2017,1784,926,654,1001,907,103,23464,16,84,13,485,1871,44,984,1236,3
2018,1785,927,655,1002,908,104,23465,17,85,14,486,1872,45,985,1237,3
2019,1786,928,656,1003,909,105,23466,18,86,15,487,1873,46,986,1238,3
2020,1787,929,657,1004,910,106,23467,19,87,16,488,1874,47,987,1239,3
