"Year","MALATHION(QTY)(kg)","DIMETHOATE(QTY)(kg)","D.D.V.P.(QTY)(kg)","COPPER OXYCHLORIDE(QTY)(kg)","CARBARYL(QTY)(kg)","CARBOSULPHAN(QTY)(kg)"
1920,1456,492,296,1196,166,271
1921,1457,493,297,1197,167,272
1922,1458,494,298,1198,168,273
1923,1459,495,299,1199,169,274
1924,1460,496,300,1200,170,275
1925,1461,497,301,1201,171,276
1926,1462,498,302,1202,172,277
1927,1463,499,303,1203,173,278
1928,1464,500,304,1204,174,279
1929,1465,501,305,1205,175,280
1930,1466,502,306,1206,176,281
1931,1467,503,307,1207,177,282
1932,1468,504,308,1208,178,283
1933,1469,505,309,1209,179,284
1934,1470,506,310,1210,180,285
1935,1471,507,311,1211,181,286
1936,1472,508,312,1212,182,287
1937,1473,509,313,1213,183,288
1938,1474,510,314,1214,184,289
1939,1475,511,315,1215,185,290
1940,1476,512,316,1216,186,291
1941,1477,513,317,1217,187,292
1942,1478,514,318,1218,188,293
1943,1479,515,319,1219,189,294
1944,1480,516,320,1220,190,295
1945,1481,517,321,1221,191,296
1946,1482,518,322,1222,192,297
1947,1483,519,323,1223,193,298
1948,1484,520,324,1224,194,299
1949,1485,521,325,1225,195,300
1950,1486,522,326,1226,196,301
1951,1487,523,327,1227,197,302
1952,1488,524,328,1228,198,303
1953,1489,525,329,1229,199,304
1954,1490,526,330,1230,200,305
1955,1491,527,331,1231,201,306
1956,1492,528,332,1232,202,307
1957,1493,529,333,1233,203,308
1958,1494,530,334,1234,204,309
1959,1495,531,335,1235,205,310
1960,1496,532,336,1236,206,311
1961,1497,533,337,1237,207,312
1962,1498,534,338,1238,208,313
1963,1499,535,339,1239,209,314
1964,1500,536,340,1240,210,315
1965,1501,537,341,1241,211,316
1966,1502,538,342,1242,212,317
1967,1503,539,343,1243,213,318
1968,1504,540,344,1244,214,319
1969,1505,541,345,1245,215,320
1970,1506,542,346,1246,216,321
1971,1507,543,347,1247,217,322
1972,1508,544,348,1248,218,323
1973,1509,545,349,1249,219,324
1974,1510,546,350,1250,220,325
1975,1511,547,351,1251,221,326
1976,1512,548,352,1252,222,327
1977,1513,549,353,1253,223,328
1978,1514,550,354,1254,224,329
1979,1515,551,355,1255,225,330
1980,1516,552,356,1256,226,331
1981,1517,553,357,1257,227,332
1982,1518,554,358,1258,228,333
1983,1519,555,359,1259,229,334
1984,1520,556,360,1260,230,335
1985,1521,557,361,1261,231,336
1986,1522,558,362,1262,232,337
1987,1523,559,363,1263,233,338
1988,1524,560,364,1264,234,339
1989,1525,561,365,1265,235,340
1990,1526,562,366,1266,236,341
1991,1527,563,367,1267,237,342
1992,1528,564,368,1268,238,343
1993,1529,565,369,1269,239,344
1994,1530,566,370,1270,240,345
1995,1531,567,371,1271,241,346
1996,1532,568,372,1272,242,347
1997,1533,569,373,1273,243,348
1998,1534,570,374,1274,244,349
1999,1535,571,375,1275,245,350
2000,1536,572,376,1276,246,351
2001,1537,573,377,1277,247,352
2002,1538,574,378,1278,248,353
2003,1539,575,379,1279,249,354
2004,1540,576,380,1280,250,355
2005,1541,577,381,1281,251,356
2006,1542,578,382,1282,252,357
2007,1543,579,383,1283,253,358
2008,1544,580,384,1284,254,359
2009,1545,581,385,1285,255,360
2010,1546,582,386,1286,256,361
2011,1547,583,387,1287,257,362
2012,1548,584,388,1288,258,363
2013,1549,585,389,1289,259,364
2014,1550,586,390,1290,260,365
2015,1551,587,391,1291,261,366
2016,1552,588,392,1292,262,367
2017,1553,589,393,1293,263,368
2018,1554,590,394,1294,264,369
2019,1555,591,395,1295,265,370
2020,1556,592,396,1296,266,371
