"Year","Ph","OC(g kg)","EC(dS/m)","N(kg/ha)","P(kg/ha)","K(kg/ha)"
1920,6.1,5,0.1,200,25,118
1921,6.2,6,0.4,220,40,120
1922,6.3,5,0.6,180,60,125
1923,6.1,8,0.7,250,90,260
1924,6.5,10,0.8,280,78,280
1925,6.2,6,0.4,220,40,120
1926,6.3,5,0.6,180,60,125
1927,6.1,8,0.7,250,90,260
1928,6.5,10,0.8,280,78,280
1929,6.3,5,0.6,180,60,125
1930,6.1,8,0.7,250,90,260
1931,6.5,10,0.8,280,78,280
1932,6.2,6,0.4,220,40,120
1933,6.3,5,0.6,180,60,125
1934,6.1,8,0.7,250,90,260
1935,6.2,6,0.4,220,40,120
1936,6.3,5,0.6,180,60,125
1937,6.1,8,0.7,250,90,260
1938,6.5,10,0.8,280,78,280
1939,6.2,6,0.4,220,40,120
1940,6.3,5,0.6,180,60,125
1941,6.1,8,0.7,250,90,260
1942,6.5,10,0.8,280,78,280
1943,6.3,5,0.6,180,60,125
1944,6.1,8,0.7,250,90,260
1945,6.5,10,0.8,280,78,280
1946,6.2,6,0.4,220,40,120
1947,6.3,5,0.6,180,60,125
1948,6.3,5,0.6,180,60,125
1949,6.1,8,0.7,250,90,260
1950,6.5,10,0.8,280,78,280
1951,6.2,6,0.4,220,40,120
1952,6.3,5,0.6,180,60,125
1953,6.1,8,0.7,250,90,260
1954,6.5,10,0.8,280,78,280
1955,6.3,5,0.6,180,60,125
1956,6.1,8,0.7,250,90,260
1957,6.5,10,0.8,280,78,280
1958,6.2,6,0.4,220,40,120
1959,6.3,5,0.6,180,60,125
1960,6.1,8,0.7,250,90,260
1961,6.2,6,0.4,220,40,120
1962,6.3,5,0.6,180,60,125
1963,6.1,8,0.7,250,90,260
1964,6.5,10,0.8,280,78,280
1965,6.2,6,0.4,220,40,120
1966,6.3,5,0.6,180,60,125
1967,6.1,8,0.7,250,90,260
1968,6.3,5,0.6,180,60,125
1969,6.1,8,0.7,250,90,260
1970,6.5,10,0.8,280,78,280
1971,6.2,6,0.4,220,40,120
1972,6.3,5,0.6,180,60,125
1973,6.1,8,0.7,250,90,260
1974,6.5,10,0.8,280,78,280
1975,6.3,5,0.6,180,60,125
1976,6.1,8,0.7,250,90,260
1977,6.5,10,0.8,280,78,280
1978,6.2,6,0.4,220,40,120
1979,6.3,5,0.6,180,60,125
1980,6.1,8,0.7,250,90,260
1981,6.2,6,0.4,220,40,120
1982,6.3,5,0.6,180,60,125
1983,6.1,8,0.7,250,90,260
1984,6.5,10,0.8,280,78,280
1985,6.2,6,0.4,220,40,120
1986,6.3,5,0.6,180,60,125
1987,6.1,8,0.7,250,90,260
1988,6.5,10,0.8,280,78,280
1989,6.3,5,0.6,180,60,125
1990,6.1,8,0.7,250,90,260
1991,6.5,10,0.8,280,78,280
1992,6.2,6,0.4,220,40,120
1993,6.3,5,0.6,180,60,125
1994,6.3,5,0.6,180,60,125
1995,6.1,5,0.1,200,25,118
1996,6.2,6,0.4,220,40,120
1997,6.3,5,0.6,180,60,125
1998,6.1,8,0.7,250,90,260
1999,6.5,10,0.8,280,78,280
2000,6.2,6,0.4,220,40,120
2001,6.3,5,0.6,180,60,125
2002,6.1,8,0.7,250,90,260
2003,6.5,10,0.8,280,78,280
2004,6.3,5,0.6,180,60,125
2005,6.1,8,0.7,250,90,260
2006,6.5,10,0.8,280,78,280
2007,6.2,6,0.4,220,40,120
2008,6.3,5,0.6,180,60,125
2009,6.1,8,0.7,250,90,260
2010,6.5,10,0.8,280,78,280
2011,6.2,6,0.4,220,40,120
2012,6.3,5,0.6,180,60,125
2013,6.1,8,0.7,250,90,260
2014,6.5,10,0.8,280,78,280
2015,6.3,5,0.6,180,60,125
2016,6.1,8,0.7,250,90,260
2017,6.5,10,0.8,280,78,280
2018,6.2,6,0.4,220,40,120
2019,6.3,5,0.6,180,60,125
2020,6.1,8,0.7,250,90,260
