"Year","Rainfall","Humidity","Wind","Max Temp","Min Temp","Air Pressure"
1920,6510,90,4,-8,-17,1020
1921,6511,91,5,-6,-16,1021
1922,6512,92,6,-4,-15,1022
1923,6513,93,7,-6,-16,1023
1924,6514,94,8,-4,-15,1024
1925,6515,95,9,-6,-16,1020
1926,6516,96,9,-4,-15,1021
1927,6517,91,5,-6,-16,1021
1928,6518,92,6,-4,-15,1022
1929,6519,93,7,-6,-16,1023
1930,6520,94,8,-4,-15,1024
1931,6521,95,9,-6,-16,1020
1932,6522,92,6,-4,-15,1022
1933,6523,93,7,-6,-16,1023
1934,6524,94,8,-4,-15,1024
1935,6525,95,9,-6,-16,1020
1936,6526,96,9,-4,-15,1021
1937,6527,91,5,-6,-16,1021
1938,6528,92,6,-4,-15,1022
1939,6529,93,7,-6,-16,1023
1940,6530,93,7,-6,-16,1023
1941,6531,94,8,-4,-15,1024
1942,6532,95,9,-6,-16,1020
1943,6533,96,9,-4,-15,1021
1944,6534,91,5,-6,-16,1021
1945,6535,92,6,-4,-15,1022
1946,6536,93,7,-6,-16,1023
1947,6537,94,8,-4,-15,1024
1948,6538,95,9,-6,-16,1020
1949,6539,92,6,-4,-15,1022
1950,6540,93,7,-6,-16,1023
1951,6541,94,8,-4,-15,1024
1952,6542,93,7,-6,-16,1023
1953,6543,94,8,-4,-15,1024
1954,6544,95,9,-6,-16,1020
1955,6545,96,9,-4,-15,1021
1956,6546,91,5,-6,-16,1021
1957,6547,92,6,-4,-15,1022
1958,6548,93,7,-6,-16,1023
1959,6549,94,8,-4,-15,1024
1960,6550,95,9,-6,-16,1020
1961,6551,92,6,-4,-15,1022
1962,6552,93,7,-6,-16,1023
1963,6553,94,8,-4,-15,1024
1964,6554,95,9,-6,-16,1020
1965,6555,96,9,-4,-15,1021
1966,6556,91,5,-6,-16,1021
1967,6557,92,6,-4,-15,1022
1968,6558,93,7,-6,-16,1023
1969,6559,93,7,-6,-16,1023
1970,6560,94,8,-4,-15,1024
1971,6561,95,9,-6,-16,1020
1972,6562,96,9,-4,-15,1021
1973,6563,91,5,-6,-16,1021
1974,6564,92,6,-4,-15,1022
1975,6565,93,7,-6,-16,1023
1976,6566,94,8,-4,-15,1024
1977,6567,95,9,-6,-16,1020
1978,6568,92,6,-4,-15,1022
1979,6569,93,7,-6,-16,1023
1980,6570,91,5,-6,-16,1021
1981,6571,92,6,-4,-15,1022
1982,6572,93,7,-6,-16,1023
1983,6573,94,8,-4,-15,1024
1984,6574,95,9,-6,-16,1020
1985,6575,96,9,-4,-15,1021
1986,6576,91,5,-6,-16,1021
1987,6577,92,6,-4,-15,1022
1988,6578,93,7,-6,-16,1023
1989,6579,94,8,-4,-15,1024
1990,6580,95,9,-6,-16,1020
1991,6581,92,6,-4,-15,1022
1992,6582,93,7,-6,-16,1023
1993,6583,94,8,-4,-15,1024
1994,6584,95,9,-6,-16,1020
1995,6585,96,9,-4,-15,1021
1996,6586,91,5,-6,-16,1021
1997,6587,92,6,-4,-15,1022
1998,6588,93,7,-6,-16,1023
1999,6589,93,7,-6,-16,1023
2000,6590,94,8,-4,-15,1024
2001,6591,95,9,-6,-16,1020
2002,6592,96,9,-4,-15,1021
2003,6593,91,5,-6,-16,1021
2004,6594,92,6,-4,-15,1022
2005,6595,93,7,-6,-16,1023
2006,6596,94,8,-4,-15,1024
2007,6597,95,9,-6,-16,1020
2008,6598,92,6,-4,-15,1022
2009,6599,93,7,-6,-16,1023
2010,6600,94,8,-4,-15,1024
2011,6601,93,7,-6,-16,1023
2012,6602,94,8,-4,-15,1024
2013,6603,95,9,-6,-16,1020
2014,6604,96,9,-4,-15,1021
2015,6605,91,5,-6,-16,1021
2016,6606,92,6,-4,-15,1022
2017,6607,93,7,-6,-16,1023
2018,6608,94,8,-4,-15,1024
2019,6609,95,9,-6,-16,1020
2020,6610,92,6,-4,-15,1022
