"Year","NPK(tonnes)","MAP(tonnes)","MOP(tonnes)","TSP(tonnes)","UREA(tonnes)","DAP(tonnes)"
1920,77,180,310,78,515,390
1921,80,181,311,79,516,391
1922,67,182,312,80,517,392
1923,57,183,313,81,518,393
1924,80,184,314,82,519,394
1925,99,185,315,83,520,395
1926,77,186,316,84,521,396
1927,80,187,317,85,522,397
1928,67,188,318,86,523,398
1929,57,189,319,87,524,399
1930,80,190,320,88,525,400
1931,80,191,321,89,526,401
1932,67,192,322,90,527,402
1933,57,193,323,91,528,403
1934,80,194,324,92,529,404
1935,99,195,325,93,530,405
1936,77,196,326,94,531,406
1937,80,197,327,95,532,407
1938,67,198,328,96,533,408
1939,57,199,329,97,534,409
1940,77,200,330,98,535,410
1941,80,201,331,99,536,411
1942,67,202,332,100,537,412
1943,57,203,333,101,538,413
1944,80,204,334,102,539,414
1945,99,205,335,103,540,415
1946,77,206,336,104,541,416
1947,80,207,337,105,542,417
1948,67,208,338,106,543,418
1949,57,209,339,107,544,419
1950,80,210,340,108,545,420
1951,80,211,341,109,546,421
1952,67,212,342,110,547,422
1953,57,213,343,111,548,423
1954,80,214,344,112,549,424
1955,99,215,345,113,550,425
1956,77,216,346,114,551,426
1957,80,217,347,115,552,427
1958,67,218,348,116,553,428
1959,80,219,349,117,554,429
1960,67,220,350,118,555,430
1961,57,221,351,119,556,431
1962,80,222,352,120,557,432
1963,99,223,353,121,558,433
1964,77,224,354,122,559,434
1965,80,225,355,123,560,435
1966,67,226,356,124,561,436
1967,57,227,357,125,562,437
1968,80,228,358,126,563,438
1969,80,229,359,127,564,439
1970,67,230,360,128,565,440
1971,57,231,361,129,566,441
1972,80,232,362,130,567,442
1973,99,233,363,131,568,443
1974,77,234,364,132,569,444
1975,80,235,365,133,570,445
1976,67,236,366,134,571,446
1977,57,237,367,135,572,447
1978,77,238,368,136,573,448
1979,80,239,369,137,574,449
1980,67,240,370,138,575,450
1981,57,241,371,139,576,451
1982,80,242,372,140,577,452
1983,99,243,373,141,578,453
1984,77,244,374,142,579,454
1985,80,245,375,143,580,455
1986,67,246,376,144,581,456
1987,57,247,377,145,582,457
1988,80,248,378,146,583,458
1989,80,249,379,147,584,459
1990,67,250,380,148,585,460
1991,57,251,381,149,586,461
1992,80,252,382,150,587,462
1993,99,253,383,151,588,463
1994,77,254,384,152,589,464
1995,80,255,385,153,590,465
1996,99,256,386,154,591,466
1997,77,257,387,155,592,467
1998,80,258,388,156,593,468
1999,67,259,389,157,594,469
2000,57,260,390,158,595,470
2001,80,261,391,159,596,471
2002,80,262,392,160,597,472
2003,67,263,393,161,598,473
2004,57,264,394,162,599,474
2005,80,265,395,163,600,475
2006,99,266,396,164,601,476
2007,77,267,397,165,602,477
2008,80,268,398,166,603,478
2009,67,269,399,167,604,479
2010,57,270,400,168,605,480
2011,77,271,401,169,606,481
2012,80,272,402,170,607,482
2013,67,273,403,171,608,483
2014,57,274,404,172,609,484
2015,80,275,405,173,610,485
2016,99,276,406,174,611,486
2017,77,277,407,175,612,487
2018,80,278,408,176,613,488
2019,67,279,409,177,614,489
2020,57,280,410,178,615,490
