"Year","MALATHION(QTY)(kg)","DIMETHOATE(QTY)(kg)","D.D.V.P.(QTY)(kg)","COPPER OXYCHLORIDE(QTY)(kg)","CARBARYL(QTY)(kg)","CARBOSULPHAN(QTY)(kg)"
1920,54,998,1786,294,1656,1764
1921,55,999,1787,295,1657,1765
1922,56,1000,1788,296,1658,1766
1923,57,1001,1789,297,1659,1767
1924,58,1002,1790,298,1660,1768
1925,59,1003,1791,299,1661,1769
1926,60,1004,1792,300,1662,1770
1927,61,1005,1793,301,1663,1771
1928,62,1006,1794,302,1664,1772
1929,63,1007,1795,303,1665,1773
1930,64,1008,1796,304,1666,1774
1931,65,1009,1797,305,1667,1775
1932,66,1010,1798,306,1668,1776
1933,67,1011,1799,307,1669,1777
1934,68,1012,1800,308,1670,1778
1935,69,1013,1801,309,1671,1779
1936,70,1014,1802,310,1672,1780
1937,71,1015,1803,311,1673,1781
1938,72,1016,1804,312,1674,1782
1939,73,1017,1805,313,1675,1783
1940,74,1018,1806,314,1676,1784
1941,75,1019,1807,315,1677,1785
1942,76,1020,1808,316,1678,1786
1943,77,1021,1809,317,1679,1787
1944,78,1022,1810,318,1680,1788
1945,79,1023,1811,319,1681,1789
1946,80,1024,1812,320,1682,1790
1947,81,1025,1813,321,1683,1791
1948,82,1026,1814,322,1684,1792
1949,83,1027,1815,323,1685,1793
1950,84,1028,1816,324,1686,1794
1951,85,1029,1817,325,1687,1795
1952,86,1030,1818,326,1688,1796
1953,87,1031,1819,327,1689,1797
1954,88,1032,1820,328,1690,1798
1955,89,1033,1821,329,1691,1799
1956,90,1034,1822,330,1692,1800
1957,91,1035,1823,331,1693,1801
1958,92,1036,1824,332,1694,1802
1959,93,1037,1825,333,1695,1803
1960,94,1038,1826,334,1696,1804
1961,95,1039,1827,335,1697,1805
1962,96,1040,1828,336,1698,1806
1963,97,1041,1829,337,1699,1807
1964,98,1042,1830,338,1700,1808
1965,99,1043,1831,339,1701,1809
1966,100,1044,1832,340,1702,1810
1967,101,1045,1833,341,1703,1811
1968,102,1046,1834,342,1704,1812
1969,103,1047,1835,343,1705,1813
1970,104,1048,1836,344,1706,1814
1971,105,1049,1837,345,1707,1815
1972,106,1050,1838,346,1708,1816
1973,107,1051,1839,347,1709,1817
1974,108,1052,1840,348,1710,1818
1975,109,1053,1841,349,1711,1819
1976,110,1054,1842,350,1712,1820
1977,111,1055,1843,351,1713,1821
1978,112,1056,1844,352,1714,1822
1979,113,1057,1845,353,1715,1823
1980,114,1058,1846,354,1716,1824
1981,115,1059,1847,355,1717,1825
1982,116,1060,1848,356,1718,1826
1983,117,1061,1849,357,1719,1827
1984,118,1062,1850,358,1720,1828
1985,119,1063,1851,359,1721,1829
1986,120,1064,1852,360,1722,1830
1987,121,1065,1853,361,1723,1831
1988,122,1066,1854,362,1724,1832
1989,123,1067,1855,363,1725,1833
1990,124,1068,1856,364,1726,1834
1991,125,1069,1857,365,1727,1835
1992,126,1070,1858,366,1728,1836
1993,127,1071,1859,367,1729,1837
1994,128,1072,1860,368,1730,1838
1995,129,1073,1861,369,1731,1839
1996,130,1074,1862,370,1732,1840
1997,131,1075,1863,371,1733,1841
1998,132,1076,1864,372,1734,1842
1999,133,1077,1865,373,1735,1843
2000,134,1078,1866,374,1736,1844
2001,135,1079,1867,375,1737,1845
2002,136,1080,1868,376,1738,1846
2003,137,1081,1869,377,1739,1847
2004,138,1082,1870,378,1740,1848
2005,139,1083,1871,379,1741,1849
2006,140,1084,1872,380,1742,1850
2007,141,1085,1873,381,1743,1851
2008,142,1086,1874,382,1744,1852
2009,143,1087,1875,383,1745,1853
2010,144,1088,1876,384,1746,1854
2011,145,1089,1877,385,1747,1855
2012,146,1090,1878,386,1748,1856
2013,147,1091,1879,387,1749,1857
2014,148,1092,1880,388,1750,1858
2015,149,1093,1881,389,1751,1859
2016,150,1094,1882,390,1752,1860
2017,151,1095,1883,391,1753,1861
2018,152,1096,1884,392,1754,1862
2019,153,1097,1885,393,1755,1863
2020,154,1098,1886,394,1756,1864
