"Year","Rainfall","Humidity","Wind","Max Temp","Min Temp","Air Pressure"
1920,1238,82,5,19,7,1021
1921,1239,83,9,20,6,1020
1922,1240,84,10,18,5,1022
1923,1241,85,11,15,4,1021
1924,1242,83,9,20,6,1020
1925,1243,84,10,18,5,1022
1926,1244,83,9,20,6,1020
1927,1245,84,10,18,5,1022
1928,1246,85,11,15,4,1021
1929,1247,83,9,20,6,1020
1930,1248,84,10,18,5,1022
1931,1249,85,11,15,4,1021
1932,1250,83,9,20,6,1020
1933,1251,84,10,18,5,1022
1934,1252,83,9,20,6,1020
1935,1253,84,10,18,5,1022
1936,1254,85,11,15,4,1021
1937,1255,84,10,18,5,1022
1938,1256,85,11,15,4,1021
1939,1257,83,9,20,6,1020
1940,1258,84,10,18,5,1022
1941,1259,83,9,20,6,1020
1942,1260,84,10,18,5,1022
1943,1261,85,11,15,4,1021
1944,1262,83,9,20,6,1020
1945,1263,84,10,18,5,1022
1946,1264,85,11,15,4,1021
1947,1265,83,9,20,6,1020
1948,1266,84,10,18,5,1022
1949,1267,84,10,18,5,1022
1950,1268,85,11,15,4,1021
1951,1269,83,9,20,6,1020
1952,1270,84,10,18,5,1022
1953,1271,83,9,20,6,1020
1954,1272,84,10,18,5,1022
1955,1273,85,11,15,4,1021
1956,1274,83,9,20,6,1020
1957,1275,84,10,18,5,1022
1958,1276,85,11,15,4,1021
1959,1277,83,9,20,6,1020
1960,1278,84,10,18,5,1022
1961,1279,83,9,20,6,1020
1962,1280,84,10,18,5,1022
1963,1281,85,11,15,4,1021
1964,1282,84,10,18,5,1022
1965,1283,85,11,15,4,1021
1966,1284,83,9,20,6,1020
1967,1285,84,10,18,5,1022
1968,1286,83,9,20,6,1020
1969,1287,84,10,18,5,1022
1970,1288,85,11,15,4,1021
1971,1289,83,9,20,6,1020
1972,1290,84,10,18,5,1022
1973,1291,83,9,20,6,1020
1974,1292,84,10,18,5,1022
1975,1293,85,11,15,4,1021
1976,1294,83,9,20,6,1020
1977,1295,84,10,18,5,1022
1978,1296,85,11,15,4,1021
1979,1297,83,9,20,6,1020
1980,1298,84,10,18,5,1022
1981,1299,83,9,20,6,1020
1982,1300,84,10,18,5,1022
1983,1301,85,11,15,4,1021
1984,1302,84,10,18,5,1022
1985,1303,85,11,15,4,1021
1986,1304,83,9,20,6,1020
1987,1305,84,10,18,5,1022
1988,1306,83,9,20,6,1020
1989,1307,84,10,18,5,1022
1990,1308,85,11,15,4,1021
1991,1309,83,9,20,6,1020
1992,1310,84,10,18,5,1022
1993,1311,85,11,15,4,1021
1994,1312,83,9,20,6,1020
1995,1313,83,9,20,6,1020
1996,1314,84,10,18,5,1022
1997,1315,83,9,20,6,1020
1998,1316,84,10,18,5,1022
1999,1317,85,11,15,4,1021
2000,1318,83,9,20,6,1020
2001,1319,84,10,18,5,1022
2002,1320,85,11,15,4,1021
2003,1321,83,9,20,6,1020
2004,1322,84,10,18,5,1022
2005,1323,84,10,18,5,1022
2006,1324,85,11,15,4,1021
2007,1325,83,9,20,6,1020
2008,1326,84,10,18,5,1022
2009,1327,83,9,20,6,1020
2010,1328,84,10,18,5,1022
2011,1329,85,11,15,4,1021
2012,1330,83,9,20,6,1020
2013,1331,84,10,18,5,1022
2014,1332,85,11,15,4,1021
2015,1333,83,9,20,6,1020
2016,1334,84,10,18,5,1022
2017,1335,85,11,15,4,1021
2018,1336,83,9,20,6,1020
2019,1337,84,10,18,5,1022
2020,1338,85,11,15,4,1021
