"Year","Rise (Depth of Water)","Fall(Depth of Water)","Rise(Fluctuation)","Fall(Fluctuation)","pH","EC(micro/cm)"
1920,0.15,33.12,5.24,5.43,7.4,780
1921,1.15,34.12,6.24,6.43,7.9,2000
1922,2.15,35.12,7.24,7.43,7.5,2250
1923,3.15,36.12,8.24,8.43,7.6,1000
1924,4.15,37.12,9.24,9.43,7.3,1800
1925,5.15,38.12,10.24,10.43,7.4,1801
1926,6.15,39.12,11.24,11.43,7.9,1802
1927,7.15,40.12,12.24,12.43,7.5,1803
1928,8.15,41.12,13.24,13.43,7.6,1804
1929,9.15,42.12,14.24,14.43,7.9,1805
1930,10.15,43.12,15.24,15.43,7.5,1806
1931,11.15,44.12,16.24,16.43,7.6,1807
1932,12.15,45.12,17.24,17.43,7.3,1808
1933,13.15,46.12,18.24,18.43,7.4,1809
1934,14.15,47.12,19.24,19.43,7.9,1810
1935,15.15,48.12,20.24,20.43,7.5,1811
1936,16.15,49.12,21.24,21.43,7.9,1812
1937,17.15,50.12,22.24,22.43,7.5,1813
1938,18.15,51.12,23.24,23.43,7.6,1814
1939,19.15,52.12,24.24,24.43,7.3,1815
1940,20.15,53.12,25.24,25.43,7.4,1816
1941,21.15,54.12,26.24,26.43,7.9,1817
1942,22.15,55.12,27.24,27.43,7.5,1818
1943,23.15,56.12,28.24,28.43,7.6,1819
1944,24.15,57.12,29.24,29.43,7.9,1820
1945,25.15,58.12,30.24,30.43,7.5,1821
1946,26.15,59.12,31.24,31.43,7.6,1822
1947,27.15,60.12,32.24,32.43,7.3,1823
1948,28.15,61.12,33.24,33.43,7.4,1824
1949,29.15,62.12,34.24,34.43,7.9,1825
1950,30.15,63.12,35.24,35.43,7.4,1826
1951,31.15,64.12,36.24,36.43,7.9,1827
1952,32.15,65.12,37.24,37.43,7.5,1828
1953,33.15,66.12,38.24,38.43,7.6,1829
1954,34.15,67.12,39.24,39.43,7.3,1830
1955,35.15,68.12,40.24,40.43,7.4,1831
1956,36.15,69.12,41.24,41.43,7.9,1832
1957,37.15,70.12,42.24,42.43,7.5,1833
1958,38.15,71.12,43.24,43.43,7.6,1834
1959,39.15,72.12,44.24,44.43,7.9,1835
1960,40.15,73.12,45.24,45.43,7.5,1836
1961,41.15,74.12,46.24,46.43,7.6,1837
1962,42.15,75.12,47.24,47.43,7.3,1838
1963,43.15,76.12,48.24,48.43,7.4,1839
1964,44.15,77.12,49.24,49.43,7.9,1840
1965,45.15,78.12,50.24,50.43,7.5,1841
1966,46.15,79.12,51.24,51.43,7.9,1842
1967,47.15,80.12,52.24,52.43,7.5,1843
1968,48.15,81.12,53.24,53.43,7.6,1844
1969,49.15,82.12,54.24,54.43,7.3,1845
1970,50.15,83.12,55.24,55.43,7.4,1846
1971,51.15,84.12,56.24,56.43,7.9,1847
1972,52.15,85.12,57.24,57.43,7.3,1848
1973,53.15,86.12,58.24,58.43,7.4,1849
1974,54.15,87.12,59.24,59.43,7.9,1850
1975,55.15,88.12,60.24,60.43,7.5,1851
1976,56.15,89.12,61.24,61.43,7.6,1852
1977,57.15,90.12,62.24,62.43,7.9,1853
1978,58.15,91.12,63.24,63.43,7.5,1854
1979,59.15,92.12,64.24,64.43,7.6,1855
1980,60.15,93.12,65.24,65.43,7.3,1856
1981,61.15,94.12,66.24,66.43,7.4,1857
1982,62.15,95.12,67.24,67.43,7.9,1858
1983,63.15,96.12,68.24,68.43,7.5,1859
1984,64.15,97.12,69.24,69.43,7.9,1860
1985,65.15,98.12,70.24,70.43,7.5,1861
1986,66.15,99.12,71.24,71.43,7.6,1862
1987,67.15,100.12,72.24,72.43,7.3,1863
1988,68.15,101.12,73.24,73.43,7.4,1864
1989,69.15,102.12,74.24,74.43,7.9,1865
1990,70.15,103.12,75.24,75.43,7.5,1866
1991,71.15,104.12,76.24,76.43,7.6,1867
1992,72.15,105.12,77.24,77.43,7.9,1868
1993,73.15,106.12,78.24,78.43,7.5,1869
1994,74.15,107.12,79.24,79.43,7.6,1870
1995,75.15,108.12,80.24,80.43,7.3,1871
1996,76.15,109.12,81.24,81.43,7.4,1872
1997,77.15,110.12,82.24,82.43,7.9,1873
1998,78.15,111.12,83.24,83.43,7.4,1874
1999,79.15,112.12,84.24,84.43,7.9,1875
2000,80.15,113.12,85.24,85.43,7.5,1876
2001,81.15,114.12,86.24,86.43,7.6,1877
2002,82.15,115.12,87.24,87.43,7.3,1878
2003,83.15,116.12,88.24,88.43,7.4,1879
2004,84.15,117.12,89.24,89.43,7.9,1880
2005,85.15,118.12,90.24,90.43,7.5,1881
2006,86.15,119.12,91.24,91.43,7.6,1882
2007,87.15,120.12,92.24,92.43,7.9,1883
2008,88.15,121.12,93.24,93.43,7.5,1884
2009,89.15,122.12,94.24,94.43,7.6,1885
2010,90.15,123.12,95.24,95.43,7.3,1886
2011,91.15,124.12,96.24,96.43,7.4,1887
2012,92.15,125.12,97.24,97.43,7.9,1888
2013,93.15,126.12,98.24,98.43,7.5,1889
2014,94.15,127.12,99.24,99.43,7.9,1890
2015,95.15,128.12,100.24,100.43,7.5,1891
2016,96.15,129.12,101.24,101.43,7.6,1892
2017,97.15,130.12,102.24,102.43,7.3,1893
2018,98.15,131.12,103.24,103.43,7.4,1894
2019,99.15,132.12,104.24,104.43,7.9,1895
2020,100.15,133.12,105.24,105.43,7.5,1896
