"Year","NPK(tonnes)","MAP(tonnes)","MOP(tonnes)","TSP(tonnes)","UREA(tonnes)","DAP(tonnes)"
1920,140,181,340,80,520,900
1921,141,182,341,81,521,901
1922,142,183,342,82,522,902
1923,143,184,343,83,523,903
1924,144,185,344,84,524,904
1925,145,186,345,85,525,905
1926,146,187,346,86,526,906
1927,147,188,347,87,527,907
1928,148,189,348,88,528,908
1929,149,190,349,89,529,909
1930,150,191,350,90,530,910
1931,151,192,351,91,531,911
1932,152,193,352,92,532,912
1933,153,194,353,93,533,913
1934,154,195,354,94,534,914
1935,155,196,355,95,535,915
1936,156,197,356,96,536,916
1937,157,198,357,97,537,917
1938,158,199,358,98,538,918
1939,159,200,359,99,539,919
1940,160,201,360,100,540,920
1941,161,202,361,101,541,921
1942,162,203,362,102,542,922
1943,163,204,363,103,543,923
1944,164,205,364,104,544,924
1945,165,206,365,105,545,925
1946,166,207,366,106,546,926
1947,167,208,367,107,547,927
1948,168,209,368,108,548,928
1949,169,210,369,109,549,929
1950,170,211,370,110,550,930
1951,171,212,371,111,551,931
1952,172,213,372,112,552,932
1953,173,214,373,113,553,933
1954,174,215,374,114,554,934
1955,175,216,375,115,555,935
1956,176,217,376,116,556,936
1957,177,218,377,117,557,937
1958,178,219,378,118,558,938
1959,179,220,379,119,559,939
1960,180,221,380,120,560,940
1961,181,222,381,121,561,941
1962,182,223,382,122,562,942
1963,183,224,383,123,563,943
1964,184,225,384,124,564,944
1965,185,226,385,125,565,945
1966,186,227,386,126,566,946
1967,187,228,387,127,567,947
1968,188,229,388,128,568,948
1969,189,230,389,129,569,949
1970,190,231,390,130,570,950
1971,191,232,391,131,571,951
1972,192,233,392,132,572,952
1973,193,234,393,133,573,953
1974,194,235,394,134,574,954
1975,195,236,395,135,575,955
1976,196,237,396,136,576,956
1977,197,238,397,137,577,957
1978,198,239,398,138,578,958
1979,199,240,399,139,579,959
1980,200,241,400,140,580,960
1981,201,242,401,141,581,961
1982,202,243,402,142,582,962
1983,203,244,403,143,583,963
1984,204,245,404,144,584,964
1985,205,246,405,145,585,965
1986,206,247,406,146,586,966
1987,207,248,407,147,587,967
1988,208,249,408,148,588,968
1989,209,250,409,149,589,969
1990,210,251,410,150,590,970
1991,211,252,411,151,591,971
1992,212,253,412,152,592,972
1993,213,254,413,153,593,973
1994,214,255,414,154,594,974
1995,215,256,415,155,595,975
1996,216,257,416,156,596,976
1997,217,258,417,157,597,977
1998,218,259,418,158,598,978
1999,219,260,419,159,599,979
2000,220,261,420,160,600,980
2001,221,262,421,161,601,981
2002,222,263,422,162,602,982
2003,223,264,423,163,603,983
2004,224,265,424,164,604,984
2005,225,266,425,165,605,985
2006,226,267,426,166,606,986
2007,227,268,427,167,607,987
2008,228,269,428,168,608,988
2009,229,270,429,169,609,989
2010,230,271,430,170,610,990
2011,231,272,431,171,611,991
2012,232,273,432,172,612,992
2013,233,274,433,173,613,993
2014,234,275,434,174,614,994
2015,235,276,435,175,615,995
2016,236,277,436,176,616,996
2017,237,278,437,177,617,997
2018,238,279,438,178,618,998
2019,239,280,439,179,619,999
2020,240,281,440,180,620,1000
