Year,Ph,OC(g kg),EC(dS/m),N(kg/ha),P(kg/ha),K(kg/ha)
1920,4,0.5,1,280,10,108
1921,5.1,0.75,1.1,560,9,280
1922,5.2,0.52,2.1,281,7,110
1923,4.5,0.61,3.1,301,5,150
1924,5.1,0.75,1.1,560,9,280
1925,5.5,0.52,2.1,281,7,110
1926,4.5,0.61,3.1,301,5,150
1927,5.1,0.75,1.1,560,9,280
1928,5.5,0.52,2.1,281,7,110
1929,4.5,0.61,3.1,301,5,150
1930,5.1,0.75,1.1,560,9,280
1931,5.5,0.52,2.1,281,7,110
1932,5.1,0.75,1.1,560,9,280
1933,5.2,0.52,2.1,281,7,110
1934,4.5,0.61,3.1,301,5,150
1935,5.1,0.75,1.1,560,9,280
1936,5.5,0.52,2.1,281,7,110
1937,4.5,0.61,3.1,301,5,150
1938,5.1,0.75,1.1,560,9,280
1939,5.5,0.52,2.1,281,7,110
1940,4.5,0.61,3.1,301,5,150
1941,5.5,0.52,2.1,281,7,110
1942,4.5,0.61,3.1,301,5,150
1943,5.1,0.75,1.1,560,9,280
1944,5.5,0.52,2.1,281,7,110
1945,4.5,0.61,3.1,301,5,150
1946,5.1,0.75,1.1,560,9,280
1947,5.5,0.52,2.1,281,7,110
1948,5.1,0.75,1.1,560,9,280
1949,5.2,0.52,2.1,281,7,110
1950,4.5,0.61,3.1,301,5,150
1951,5.1,0.75,1.1,560,9,280
1952,5.5,0.52,2.1,281,7,110
1953,4.5,0.61,3.1,301,5,150
1954,5.1,0.75,1.1,560,9,280
1955,5.5,0.52,2.1,281,7,110
1956,4.5,0.61,3.1,301,5,150
1957,5.1,0.75,1.1,560,9,280
1958,5.5,0.52,2.1,281,7,110
1959,4.5,0.61,3.1,301,5,150
1960,5.1,0.75,1.1,560,9,280
1961,5.5,0.52,2.1,281,7,110
1962,5.1,0.75,1.1,560,9,280
1963,5.2,0.52,2.1,281,7,110
1964,4.5,0.61,3.1,301,5,150
1965,5.1,0.75,1.1,560,9,280
1966,5.5,0.52,2.1,281,7,110
1967,4.5,0.61,3.1,301,5,150
1968,5.1,0.75,1.1,560,9,280
1969,5.5,0.52,2.1,281,7,110
1970,4.5,0.61,3.1,301,5,150
1971,5.5,0.52,2.1,281,7,110
1972,4.5,0.61,3.1,301,5,150
1973,5.1,0.75,1.1,560,9,280
1974,5.5,0.52,2.1,281,7,110
1975,4.5,0.61,3.1,301,5,150
1976,5.1,0.75,1.1,560,9,280
1977,5.5,0.52,2.1,281,7,110
1978,4.5,0.61,3.1,301,5,150
1979,5.1,0.75,1.1,560,9,280
1980,5.5,0.52,2.1,281,7,110
1981,4.5,0.61,3.1,301,5,150
1982,5.1,0.75,1.1,560,9,280
1983,5.5,0.52,2.1,281,7,110
1984,5.1,0.75,1.1,560,9,280
1985,5.2,0.52,2.1,281,7,110
1986,4.5,0.61,3.1,301,5,150
1987,5.1,0.75,1.1,560,9,280
1988,5.5,0.52,2.1,281,7,110
1989,4.5,0.61,3.1,301,5,150
1990,5.1,0.75,1.1,560,9,280
1991,5.5,0.52,2.1,281,7,110
1992,4.5,0.61,3.1,301,5,150
1993,5.5,0.52,2.1,281,7,110
1994,4.5,0.61,3.1,301,5,150
1995,5.1,0.75,1.1,560,9,280
1996,5.5,0.52,2.1,281,7,110
1997,4.5,0.61,3.1,301,5,150
1998,5.1,0.75,1.1,560,9,280
1999,5.5,0.52,2.1,281,7,110
2000,5.1,0.75,1.1,560,9,280
2001,5.2,0.52,2.1,281,7,110
2002,4.5,0.61,3.1,301,5,150
2003,5.1,0.75,1.1,560,9,280
2004,5.5,0.52,2.1,281,7,110
2005,4.5,0.61,3.1,301,5,150
2006,5.1,0.75,1.1,560,9,280
2007,5.5,0.52,2.1,281,7,110
2008,4.5,0.61,3.1,301,5,150
2009,5.1,0.75,1.1,560,9,280
2010,5.5,0.52,2.1,281,7,110
2011,4.5,0.61,3.1,301,5,150
2012,5.1,0.75,1.1,560,9,280
2013,5.5,0.52,2.1,281,7,110
2014,5.1,0.75,1.1,560,9,280
2015,5.2,0.52,2.1,281,7,110
2016,4.5,0.61,3.1,301,5,150
2017,5.1,0.75,1.1,560,9,280
2018,5.5,0.52,2.1,281,7,110
2019,4.5,0.61,3.1,301,5,150
2020,5.1,0.75,1.1,560,9,280
