Year,Rainfall,Humidity,Wind,Max Temp,Min Temp,Air Pressure
1920,12977,45,8,22,13,1020
1921,13527,42,5,23,11,1020
1922,14670,40,7,22,13,1019
1923,13855,42,5,23,11,1020
1924,14075,40,7,22,13,1019
1925,11712,41,6,25,12,1017
1926,14731,44,7,21,10,1016
1927,12077,42,5,23,11,1020
1928,12270,40,7,22,13,1019
1929,16047,42,5,23,11,1020
1930,14297,40,7,22,13,1019
1931,10844,41,6,25,12,1017
1932,15342,39,6,26,9,1010
1933,12906,40,7,22,13,1019
1934,16503,42,5,23,11,1020
1935,16805,40,7,22,13,1019
1936,16507,41,6,25,12,1017
1937,14747,44,7,21,10,1016
1938,12882,42,5,23,11,1020
1939,15296,40,7,22,13,1019
1940,12797,42,5,23,11,1020
1941,14268,40,7,22,13,1019
1942,14262,41,6,25,12,1017
1943,13967,39,6,26,9,1010
1944,12740,40,7,22,13,1019
1945,13732,42,5,23,11,1020
1946,14803,40,7,22,13,1019
1947,10291,41,6,25,12,1017
1948,10608,44,7,21,10,1016
1949,15506,42,5,23,11,1020
1950,10667,40,7,22,13,1019
1951,12803,42,5,23,11,1020
1952,16111,40,7,22,13,1019
1953,11557,41,6,25,12,1017
1954,16174,39,6,26,9,1010
1955,10796,40,7,22,13,1019
1956,14751,42,5,23,11,1020
1957,12669,40,7,22,13,1019
1958,10919,41,6,25,12,1017
1959,8622,44,7,21,10,1016
1960,12225,42,5,23,11,1020
1961,11839,40,7,22,13,1019
1962,12109,42,5,23,11,1020
1963,13329,40,7,22,13,1019
1964,18628,41,6,25,12,1017
1965,10954,45,8,22,13,1020
1966,15205,42,5,23,11,1020
1967,11403,40,7,22,13,1019
1968,12892,42,5,23,11,1020
1969,13834,40,7,22,13,1019
1970,17187,41,6,25,12,1017
1971,15556,44,7,21,10,1016
1972,9488,42,5,23,11,1020
1973,12727,40,7,22,13,1019
1974,11899,42,5,23,11,1020
1975,11161,40,7,22,13,1019
1976,12687,41,6,25,12,1017
1977,13853,39,6,26,9,1010
1978,11626,40,7,22,13,1019
1979,12570,42,5,23,11,1020
1980,12296,40,7,22,13,1019
1981,11719,41,6,25,12,1017
1982,12242,44,7,21,10,1016
1983,16717,42,5,23,11,1020
1984,14145,40,7,22,13,1019
1985,9429,42,5,23,11,1020
1986,11987,40,7,22,13,1019
1987,16017,41,6,25,12,1017
1988,16494,39,6,26,9,1010
1989,11200,40,7,22,13,1019
1990,14193,42,5,23,11,1020
1991,13432,40,7,22,13,1019
1992,14524,41,6,25,12,1017
1993,11093,44,7,21,10,1016
1994,14493,42,5,23,11,1020
1995,11697,40,7,22,13,1019
1996,14581,42,5,23,11,1020
1997,15614,40,7,22,13,1019
1998,11967,41,6,25,12,1017
1999,14988,44,7,21,10,1016
2000,14574,42,5,23,11,1020
2001,16724,40,7,22,13,1019
2002,11717,42,5,23,11,1020
2003,8559,40,7,22,13,1019
2004,12630,41,6,25,12,1017
2005,11027,39,6,26,9,1010
2006,13087,40,7,22,13,1019
2007,10910,42,5,23,11,1020
2008,11244,40,7,22,13,1019
2009,12958,41,6,25,12,1017
2010,11403,44,7,21,10,1016
2011,12892,42,5,23,11,1020
2012,13834,40,7,22,13,1019
2013,17187,42,5,23,11,1020
2014,15556,40,7,22,13,1019
2015,9488,41,6,25,12,1017
2016,12727,39,6,26,9,1010
2017,11899,40,7,22,13,1019
2018,11161,42,5,23,11,1020
2019,12687,40,7,22,13,1019
2020,13853,41,6,25,12,1017
