Year,Rice(kg/hectare),Jowar,Ragi,Tur,Gram,Groundnuts,Sessasum,Sugarcane,Bajra,Maize,Potato,Wheat,Other Pulses
1920,1524,478,526,648,893,733,328,68434,551,1146,127,1716,712
1921,1524,479,527,649,894,734,329,68435,552,1147,128,1717,713
1922,1524,480,528,650,895,735,330,68436,553,1148,129,1718,714
1923,1524,481,529,651,896,736,331,68437,554,1149,130,1719,715
1924,1524,482,530,652,897,737,332,68438,555,1150,131,1720,716
1925,1524,483,531,653,898,738,333,68439,556,1151,132,1721,717
1926,1524,484,532,654,899,739,334,68440,557,1152,133,1722,718
1927,1524,485,533,655,900,740,335,68441,558,1153,134,1723,719
1928,1524,486,534,656,901,741,336,68442,559,1154,135,1724,720
1929,1524,487,535,657,902,742,337,68443,560,1155,136,1725,721
1930,1524,488,536,658,903,743,338,68444,561,1156,137,1726,722
1931,1524,489,537,659,904,744,339,68445,562,1157,138,1727,723
1932,1524,490,538,660,905,745,340,68446,563,1158,139,1728,724
1933,1524,491,539,661,906,746,341,68447,564,1159,140,1729,725
1934,1524,492,540,662,907,747,342,68448,565,1160,141,1730,726
1935,1524,493,541,663,908,748,343,68449,566,1161,142,1731,727
1936,1524,494,542,664,909,749,344,68450,567,1162,143,1732,728
1937,1524,495,543,665,910,750,345,68451,568,1163,144,1733,729
1938,1524,496,544,666,911,751,346,68452,569,1164,145,1734,730
1939,1524,497,545,667,912,752,347,68453,570,1165,146,1735,731
1940,1524,498,546,668,913,753,348,68454,571,1166,147,1736,732
1941,1524,499,547,669,914,754,349,68455,572,1167,148,1737,733
1942,1524,500,548,670,915,755,350,68456,573,1168,149,1738,734
1943,1524,342,664,870,1022,1100,360,67345,620,1267,150,1956,780
1944,1524,650,550,781,1014,899,361,66123,856,1867,154,2134,883
1945,1524,400,661,991,1080,780,364,65234,700,2034,155,1722,970
1946,1524,350,748,1034,990,750,365,60345,1289,1578,167,1675,819
1947,1524,485,533,655,900,740,335,68441,558,1153,134,1723,719
1948,1524,486,534,656,901,741,336,68442,559,1154,135,1724,720
1949,1524,487,535,657,902,742,337,68443,560,1155,136,1725,721
1950,1524,488,536,658,903,743,338,68444,561,1156,137,1726,722
1951,1524,489,537,659,904,744,339,68445,562,1157,138,1727,723
1952,1524,490,538,660,905,745,340,68446,563,1158,139,1728,724
1953,1524,491,539,661,906,746,341,68447,564,1159,140,1729,725
1954,1524,492,540,662,907,747,342,68448,565,1160,141,1730,726
1955,1524,493,541,663,908,748,343,68449,566,1161,142,1731,727
1956,1524,494,542,664,909,749,344,68450,567,1162,143,1732,728
1957,1524,495,543,665,910,750,345,68451,568,1163,144,1733,729
1958,1524,496,544,666,911,751,346,68452,569,1164,145,1734,730
1959,1524,497,545,667,912,752,347,68453,570,1165,146,1735,731
1960,1524,498,546,668,913,753,348,68454,571,1166,147,1736,732
1961,1524,499,547,669,914,754,349,68455,572,1167,148,1737,733
1962,1524,500,548,670,915,755,350,68456,573,1168,149,1738,734
1963,1524,342,664,870,1022,1100,360,67345,620,1267,150,1956,780
1964,1524,650,550,781,1014,899,361,66123,856,1867,154,2134,883
1965,1524,480,528,650,895,735,330,68436,553,1148,129,1718,714
1966,1524,481,529,651,896,736,331,68437,554,1149,130,1719,715
1967,1524,482,530,652,897,737,332,68438,555,1150,131,1720,716
1968,1524,483,531,653,898,738,333,68439,556,1151,132,1721,717
1969,1524,484,532,654,899,739,334,68440,557,1152,133,1722,718
1970,1524,485,533,655,900,740,335,68441,558,1153,134,1723,719
1971,1524,486,534,656,901,741,336,68442,559,1154,135,1724,720
1972,1524,487,535,657,902,742,337,68443,560,1155,136,1725,721
1973,1524,488,536,658,903,743,338,68444,561,1156,137,1726,722
1974,1524,489,537,659,904,744,339,68445,562,1157,138,1727,723
1975,1524,490,538,660,905,745,340,68446,563,1158,139,1728,724
1976,1524,491,539,661,906,746,341,68447,564,1159,140,1729,725
1977,1524,492,540,662,907,747,342,68448,565,1160,141,1730,726
1978,1524,493,541,663,908,748,343,68449,566,1161,142,1731,727
1979,1524,494,542,664,909,749,344,68450,567,1162,143,1732,728
1980,1524,495,543,665,910,750,345,68451,568,1163,144,1733,729
1981,1524,496,544,666,911,751,346,68452,569,1164,145,1734,730
1982,1524,497,545,667,912,752,347,68453,570,1165,146,1735,731
1983,1524,498,546,668,913,753,348,68454,571,1166,147,1736,732
1984,1524,499,547,669,914,754,349,68455,572,1167,148,1737,733
1985,1524,500,548,670,915,755,350,68456,573,1168,149,1738,734
1986,1524,342,664,870,1022,1100,360,67345,620,1267,150,1956,780
1987,1524,650,550,781,1014,899,361,66123,856,1867,154,2134,883
1988,1524,400,661,991,1080,780,364,65234,700,2034,155,1722,970
1989,1524,350,748,1034,990,750,365,60345,1289,1578,167,1675,819
1990,1524,485,533,655,900,740,335,68441,558,1153,134,1723,719
1991,1524,486,534,656,901,741,336,68442,559,1154,135,1724,720
1992,1524,487,535,657,902,742,337,68443,560,1155,136,1725,721
1993,1524,488,536,658,903,743,338,68444,561,1156,137,1726,722
1994,1524,489,537,659,904,744,339,68445,562,1157,138,1727,723
1995,1524,490,538,660,905,745,340,68446,563,1158,139,1728,724
1996,1524,491,539,661,906,746,341,68447,564,1159,140,1729,725
1997,1524,492,540,662,907,747,342,68448,565,1160,141,1730,726
1998,1524,493,541,663,908,748,343,68449,566,1161,142,1731,727
1999,1524,494,542,664,909,749,344,68450,567,1162,143,1732,728
2000,1524,495,543,665,910,750,345,68451,568,1163,144,1733,729
2001,1524,496,544,666,911,751,346,68452,569,1164,145,1734,730
2002,1524,497,545,667,912,752,347,68453,570,1165,146,1735,731
2003,1524,494,542,664,909,749,344,68450,567,1162,143,1732,728
2004,1524,495,543,665,910,750,345,68451,568,1163,144,1733,729
2005,1524,496,544,666,911,751,346,68452,569,1164,145,1734,730
2006,1524,497,545,667,912,752,347,68453,570,1165,146,1735,731
2007,1524,498,546,668,913,753,348,68454,571,1166,147,1736,732
2008,1524,499,547,669,914,754,349,68455,572,1167,148,1737,733
2009,1524,500,548,670,915,755,350,68456,573,1168,149,1738,734
2010,1524,342,664,870,1022,1100,360,67345,620,1267,150,1956,780
2011,1524,650,550,781,1014,899,361,66123,856,1867,154,2134,883
2012,1524,400,661,991,1080,780,364,65234,700,2034,155,1722,970
2013,1524,350,748,1034,990,750,365,60345,1289,1578,167,1675,819
2014,1524,650,550,781,1014,899,361,66123,856,1867,154,2134,883
2015,1524,400,661,991,1080,780,364,65234,700,2034,155,1722,970
2016,1524,350,748,1034,990,750,365,60345,1289,1578,167,1675,819
2017,1524,342,664,870,1022,1100,360,67345,620,1267,150,1956,780
2018,1524,650,550,781,1014,899,361,66123,856,1867,154,2134,883
2019,1524,400,661,991,1080,780,364,65234,700,2034,155,1722,970
2020,1524,350,748,1034,990,750,365,60345,1289,1578,167,1675,819
