Year,NPK(tonnes),MAP(tonnes),MOP(tonnes),TSP(tonnes),UREA(tonnes),DAP(tonnes)
1920,200,170,410,87,480,899
1921,201,171,411,88,481,900
1922,202,172,412,89,482,901
1923,203,173,413,90,483,902
1924,204,174,414,91,484,903
1925,205,175,415,92,485,904
1926,206,176,416,93,486,905
1927,207,177,417,94,487,906
1928,208,178,418,95,488,907
1929,209,179,419,96,489,908
1930,210,180,420,97,490,909
1931,211,181,421,98,491,910
1932,212,182,422,99,492,911
1933,213,183,423,100,493,912
1934,214,184,424,101,494,913
1935,215,185,425,102,495,914
1936,216,186,426,103,496,915
1937,217,187,427,104,497,916
1938,218,188,428,105,498,917
1939,219,189,429,106,499,918
1940,220,190,430,107,500,919
1941,221,191,431,108,501,920
1942,222,192,432,109,502,921
1943,223,193,433,110,503,922
1944,224,194,434,111,504,923
1945,225,195,435,112,505,924
1946,226,196,436,113,506,925
1947,227,197,437,114,507,926
1948,228,198,438,115,508,927
1949,229,199,439,116,509,928
1950,230,200,440,117,510,929
1951,231,201,441,118,511,930
1952,232,202,442,119,512,931
1953,233,203,443,120,513,932
1954,234,204,444,121,514,933
1955,235,205,445,122,515,934
1956,236,206,446,123,516,935
1957,237,207,447,124,517,936
1958,238,208,448,125,518,937
1959,239,209,449,126,519,938
1960,240,210,450,127,520,939
1961,241,211,451,128,521,940
1962,242,212,452,129,522,941
1963,243,213,453,130,523,942
1964,244,214,454,131,524,943
1965,245,215,455,132,525,944
1966,246,216,456,133,526,945
1967,247,217,457,134,527,946
1968,248,218,458,135,528,947
1969,249,219,459,136,529,948
1970,250,220,460,137,530,949
1971,251,221,461,138,531,950
1972,252,222,462,139,532,951
1973,253,223,463,140,533,952
1974,254,224,464,141,534,953
1975,255,225,465,142,535,954
1976,256,226,466,143,536,955
1977,257,227,467,144,537,956
1978,258,228,468,145,538,957
1979,259,229,469,146,539,958
1980,260,230,470,147,540,959
1981,261,231,471,148,541,960
1982,262,232,472,149,542,961
1983,263,233,473,150,543,962
1984,264,234,474,151,544,963
1985,265,235,475,152,545,964
1986,266,236,476,153,546,965
1987,267,237,477,154,547,966
1988,268,238,478,155,548,967
1989,269,239,479,156,549,968
1990,270,240,480,157,550,969
1991,271,241,481,158,551,970
1992,272,242,482,159,552,971
1993,273,243,483,160,553,972
1994,274,244,484,161,554,973
1995,275,245,485,162,555,974
1996,276,246,486,163,556,975
1997,277,247,487,164,557,976
1998,278,248,488,165,558,977
1999,279,249,489,166,559,978
2000,280,250,490,167,560,979
2001,281,251,491,168,561,980
2002,282,252,492,169,562,981
2003,283,253,493,170,563,982
2004,284,254,494,171,564,983
2005,285,255,495,172,565,984
2006,286,256,496,173,566,985
2007,287,257,497,174,567,986
2008,288,258,498,175,568,987
2009,289,259,499,176,569,988
2010,290,260,500,177,570,989
2011,291,261,501,178,571,990
2012,292,262,502,179,572,991
2013,293,263,503,180,573,992
2014,294,264,504,181,574,993
2015,295,265,505,182,575,994
2016,296,266,506,183,576,995
2017,297,267,507,184,577,996
2018,298,268,508,185,578,997
2019,299,269,509,186,579,998
2020,300,270,510,187,580,999
