Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1920,1746,669,140,1424,12,893
1921,1567,300,140,1424,12,893
1922,1568,301,141,1425,13,894
1923,1569,302,142,1426,14,895
1924,1570,303,143,1427,15,896
1925,1571,304,144,1428,16,897
1926,1572,305,145,1429,17,898
1927,1746,306,146,1430,18,899
1928,1747,307,147,1431,19,900
1929,1748,308,148,1432,20,901
1930,1749,309,149,1433,21,902
1931,1750,310,150,1434,22,903
1932,1751,311,151,1435,23,904
1933,1752,312,152,1436,12,905
1934,1753,313,153,1437,13,906
1935,1754,314,154,1438,14,907
1936,1755,315,155,1439,15,908
1937,1756,316,156,1440,16,909
1938,1757,317,157,1441,17,910
1939,1758,318,158,1442,18,911
1940,1759,319,159,1443,9,912
1941,1760,320,160,1444,10,913
1942,1761,321,161,1445,11,914
1943,1762,322,162,1446,12,915
1944,1763,323,163,1447,13,916
1945,1764,324,164,1448,14,917
1946,1765,325,165,1449,15,918
1947,1766,326,166,1450,16,919
1948,1767,327,167,1451,17,920
1949,1768,328,168,1452,18,921
1950,1769,329,169,1453,5,922
1951,1770,330,170,1454,6,923
1952,1771,331,171,1455,7,924
1953,1772,332,172,1456,8,925
1954,1773,333,173,1457,9,926
1955,1774,334,174,1458,12,927
1956,1775,335,175,1459,13,928
1957,1776,336,176,1460,14,929
1958,1777,337,177,1461,15,930
1959,1778,338,178,1462,16,931
1960,1779,339,179,1463,17,932
1961,1780,340,180,1464,18,933
1962,1781,341,181,1465,19,934
1963,1782,342,182,1466,20,935
1964,1783,343,183,1467,21,936
1965,1784,344,184,1468,22,937
1966,1785,345,185,1469,23,938
1967,1786,346,186,1470,12,939
1968,1787,347,187,1471,13,940
1969,1788,348,188,1472,14,941
1970,1789,349,189,1473,15,942
1971,1790,350,190,1474,16,943
1972,1791,351,191,1475,17,944
1973,1792,352,192,1476,18,945
1974,1793,353,193,1477,9,946
1975,1794,354,194,1478,10,947
1976,1795,355,195,1479,11,948
1977,1796,356,196,1480,12,949
1978,1797,357,197,1481,13,950
1979,1798,358,198,1482,14,951
1980,1799,359,199,1483,15,952
1981,1800,360,200,1484,16,953
1982,1801,361,201,1485,17,954
1983,1802,362,202,1486,18,955
1984,1803,363,203,1487,5,956
1985,1804,364,204,1488,13,957
1986,1805,365,205,1489,14,958
1987,1806,366,206,1490,15,959
1988,1807,367,207,1491,16,960
1989,1808,368,208,1492,17,961
1990,1809,369,209,1493,18,962
1991,1810,370,210,1494,19,963
1992,1811,371,211,1495,20,964
1993,1812,372,212,1496,21,965
1994,1813,373,213,1497,22,966
1995,1814,374,214,1498,23,967
1996,1815,375,215,1499,12,968
1997,1816,376,216,1500,13,969
1998,1817,377,217,1501,14,970
1999,1818,378,218,1502,15,971
2000,1819,379,219,1503,16,972
2001,1820,380,220,1504,17,973
2002,1821,381,221,1505,18,974
2003,1822,382,222,1506,9,975
2004,1823,383,223,1507,10,976
2005,1824,384,224,1508,11,977
2006,1825,385,225,1509,12,978
2007,1826,386,226,1510,13,979
2008,1827,387,227,1511,14,980
2009,1828,388,228,1512,15,981
2010,1829,389,229,1513,16,982
2011,1830,390,230,1514,17,983
2012,1831,391,231,1515,18,984
2013,1832,392,232,1516,5,985
2014,1833,393,233,1517,6,986
2015,1834,394,234,1518,7,987
2016,1835,395,235,1519,8,988
2017,1836,396,236,1520,9,989
2018,1837,397,237,1521,12,990
2019,1838,398,238,1522,13,991
2020,1839,399,239,1523,14,992
