"Year","Rainfall","Humidity","Wind","Max Temp","Min Temp","Air Pressure"
1920,25622,72,7.3,27,20,913
1921,28902,73,8.7,26,21,930
1922,31353,70,10.2,29,18,912
1923,33642,70,9.2,29,18,940
1924,31529,70,10.2,29,18,941
1925,32892,70,11.2,29,18,942
1926,27117,70,12.2,29,18,943
1927,31827,70,13.2,29,18,944
1928,35738,70,14.2,29,18,945
1929,39574,70,15.2,29,18,946
1930,29003,70,16.2,29,18,947
1931,36980,70,7.3,29,18,948
1932,31584,70,8.3,26,21,949
1933,44664,70,9.3,29,18,950
1934,29177,70,10.3,29,18,951
1935,27633,70,11.3,29,18,930
1936,35009,78,12.3,29,18,912
1937,31986,77,13.3,29,18,940
1938,32233,73,14.3,24,15,941
1939,27999,73,15.3,22,16,942
1940,37542,73,16.3,20,15,943
1941,22348,73,17.3,27,20,944
1942,31099,73,8.3,25,16,945
1943,37456,73,9.3,29,20,946
1944,30981,73,10.3,29,18,947
1945,35746,73,11.3,29,18,948
1946,40961,73,12.3,29,18,949
1947,31405,73,13.3,29,18,950
1948,34471,73,14.3,29,18,912
1949,36617,73,15.3,24,15,940
1950,37032,73,16.3,22,16,941
1951,32689,73,11.2,20,15,942
1952,27230,73,3.4,27,20,943
1953,32410,73,6.4,25,16,944
1954,31400,73,7.4,29,20,945
1955,40299,73,8.4,26,21,946
1956,35317,73,9.4,29,18,947
1957,29901,73,10.4,29,18,948
1958,33366,73,11.4,29,18,949
1959,37498,73,12.4,29,18,950
1960,32662,73,13.4,29,18,951
1961,55526,73,14.4,24,15,930
1962,37723,73,15.4,22,16,912
1963,30577,73,16.4,20,15,940
1964,31259,73,17.4,27,20,941
1965,26132,73,2.4,25,16,942
1966,27940,73,3.4,29,20,943
1967,30681,73,4.4,29,18,944
1968,32038,73,5.4,29,18,945
1969,28141,73,6.4,29,18,946
1970,43613,73,7.4,29,18,947
1971,34014,73,8.4,29,18,912
1972,25219,73,9.4,24,15,940
1973,32082,73,10.4,22,16,941
1974,37713,73,11.4,20,15,942
1975,50565,73,12.4,27,20,943
1976,28034,73,13.4,25,16,944
1977,34554,73,14.4,29,20,945
1978,41017,73,2.4,26,21,946
1979,27913,73,3.4,29,18,947
1980,34772,73,4.4,29,18,948
1981,34947,73,5.4,29,18,949
1982,37430,73,6.4,29,18,950
1983,38599,73,7.4,29,18,951
1984,28581,73,8.4,29,18,930
1985,29151,73,9.4,29,18,912
1986,27667,73,10.4,29,18,940
1987,32284,73,11.4,29,18,941
1988,37921,73,12.4,29,18,942
1989,32064,73,13.4,26,21,943
1990,35861,73,14.4,29,18,944
1991,35556,73,5.4,29,18,945
1992,35039,73,6.4,29,18,946
1993,32476,73,7.4,29,18,947
1994,38436,73,8.4,29,18,948
1995,35116,73,9.4,24,15,949
1996,32890,73,10.4,22,16,950
1997,36520,73,11.4,20,15,912
1998,37577,75,12.4,27,20,940
1999,38896,77,13.4,25,16,941
2000,33726,70,14.4,29,20,942
2001,32137,70,15.4,29,18,943
2002,30282,70,16.4,29,18,913
2003,33957,70,3.4,29,18,930
2004,28782,70,6.4,29,18,912
2005,31565,70,7.4,29,18,940
2006,37308,70,8.4,24,15,941
2007,41214,70,9.4,22,16,942
2008,28928,70,10.4,20,15,943
2009,36064,70,11.4,27,20,944
2010,45063,70,12.4,25,16,945
2011,37207,70,13.4,29,20,946
2012,31787,70,14.4,26,21,947
2013,34684,70,15.4,29,18,948
2014,34288,70,16.4,27,20,949
2015,25804,70,17.4,25,16,950
2016,24984,70,2.4,29,20,951
2017,28928,70,3.4,26,21,930
2018,36064,70,4.4,29,18,912
2019,45063,70,5.4,29,18,940
2020,31787,70,6.4,29,18,941
