"Year","Ph","OC(g kg)","EC(dS/m)","N(kg/ha)","P(kg/ha)","K(kg/ha)"
1920,6.5,0.5,0.8,280,9.8,104
1921,7.5,0.51,0.7,560,22.5,50
1922,6.5,0.54,0.6,281,9.7,51
1923,7,0.56,0.5,282,10.7,52
1924,6.8,0.57,0.4,283,11.7,53
1925,6.9,0.58,0.3,284,12.7,54
1926,7.1,0.59,0.2,285,13.7,55
1927,7.2,0.65,0.1,286,14.7,56
1928,7.3,0.67,0.7,287,15.7,57
1929,7.4,0.7,0.6,288,16.7,58
1930,6.6,0.74,0.5,289,17.7,59
1931,7.5,0.75,0.4,290,18.7,60
1932,6.5,0.7,0.3,291,19.7,61
1933,7,0.71,0.2,292,20.7,62
1934,6.8,0.51,0.1,293,21.7,63
1935,6.9,0.54,0.7,294,9.8,64
1936,7.1,0.56,0.6,295,10.8,65
1937,7.2,0.57,0.5,296,11.8,66
1938,7.3,0.58,0.4,297,12.8,67
1939,7.4,0.59,0.3,298,13.8,68
1940,6.6,0.65,0.2,299,14.8,69
1941,7.5,0.67,0.1,300,15.8,70
1942,6.5,0.7,0.7,301,16.8,71
1943,7,0.74,0.6,302,17.8,72
1944,6.8,0.75,0.5,303,18.8,73
1945,6.9,0.7,0.4,304,19.8,74
1946,7.1,0.56,0.3,305,20.8,75
1947,7.2,0.57,0.7,306,21.8,76
1948,7.3,0.58,0.6,307,22.5,77
1949,7.4,0.59,0.5,308,9.7,78
1950,6.6,0.65,0.4,309,10.7,79
1951,7.5,0.67,0.3,310,11.7,80
1952,6.5,0.7,0.2,311,12.7,81
1953,7,0.74,0.1,312,13.7,82
1954,6.8,0.75,0.7,313,14.7,83
1955,6.9,0.7,0.6,314,15.7,84
1956,7.1,0.71,0.5,315,16.7,85
1957,7.2,0.51,0.4,316,17.7,86
1958,7.3,0.54,0.3,317,18.7,87
1959,7.4,0.56,0.2,318,19.7,88
1960,7.5,0.57,0.1,319,20.7,89
1961,6.5,0.58,0.7,320,21.7,90
1962,7,0.59,0.6,321,9.8,91
1963,6.8,0.65,0.5,322,10.8,92
1964,6.9,0.67,0.4,323,11.8,93
1965,7.1,0.51,0.3,324,12.8,94
1966,7.2,0.54,0.2,325,13.8,95
1967,7.3,0.56,0.1,326,14.8,96
1968,7.4,0.57,0.7,327,15.8,97
1969,6.6,0.58,0.6,328,16.8,98
1970,7.5,0.59,0.5,329,17.8,99
1971,6.5,0.65,0.6,330,18.8,100
1972,7,0.67,0.5,260,19.8,101
1973,6.8,0.7,0.4,261,9.7,102
1974,6.9,0.74,0.3,262,10.7,103
1975,7.1,0.75,0.2,263,11.7,104
1976,7.2,0.7,0.1,264,12.7,85
1977,7.3,0.71,0.7,265,13.7,86
1978,7.4,0.51,0.6,266,14.7,87
1979,6.6,0.54,0.5,267,15.7,88
1980,7.5,0.56,0.4,268,16.7,89
1981,6.5,0.57,0.3,269,17.7,90
1982,7,0.58,0.2,270,18.7,91
1983,6.8,0.59,0.1,271,19.7,92
1984,6.9,0.65,0.7,272,20.7,93
1985,7.1,0.67,0.6,273,21.7,94
1986,7.2,0.7,0.5,274,9.8,95
1987,7.3,0.74,0.4,275,10.8,96
1988,7.4,0.75,0.3,276,11.8,97
1989,6.6,0.7,0.2,277,12.8,98
1990,7.5,0.56,0.1,278,13.8,99
1991,6.5,0.57,0.7,279,14.8,100
1992,7,0.58,0.6,280,15.8,88
1993,6.8,0.59,0.5,281,16.8,89
1994,6.9,0.65,0.4,282,17.8,90
1995,7.1,0.67,0.3,283,18.8,91
1996,7.2,0.7,0.7,284,19.8,92
1997,6.9,0.74,0.6,285,20.8,93
1998,7.1,0.75,0.5,286,21.8,94
1999,7.2,0.7,0.4,287,22.5,95
2000,7.3,0.71,0.3,288,9.7,96
2001,7.4,0.51,0.2,289,10.7,97
2002,6.6,0.54,0.1,290,11.7,98
2003,7.5,0.56,0.7,291,12.7,99
2004,6.5,0.57,0.6,292,13.7,100
2005,7,0.58,0.5,293,16.7,101
2006,6.8,0.59,0.4,294,17.7,102
2007,6.9,0.67,0.3,295,18.7,103
2008,7.1,0.7,0.2,296,19.7,104
2009,7.2,0.74,0.1,297,20.7,85
2010,7.3,0.75,0.7,298,21.7,86
2011,7.4,0.7,0.6,299,9.8,87
2012,6.6,0.71,0.5,300,10.8,88
2013,7.5,0.51,0.4,501,11.8,89
2014,6.5,0.54,0.3,502,12.8,90
2015,7,0.56,0.4,503,13.8,91
2016,6.8,0.57,0.3,504,18.7,92
2017,6.9,0.58,0.2,505,19.7,85
2018,7.1,0.59,0.1,506,20.7,86
2019,7.2,0.65,0.7,507,21.7,87
2020,7.3,0.67,0.6,508,20.4,91
