"Year","NPK(tonnes)","MAP(tonnes)","MOP(tonnes)","TSP(tonnes)","UREA(tonnes)","DAP(tonnes)"
1920,2510,62.49,220,80.45,106.93,209
1921,1912,235.3,625,50.45,62.49,970
1922,1913,122.7,221,452.34,40.55,210
1923,1914,208.3,222,215.56,89.4,211
1924,1915,260.91,223,121.34,100.34,212
1925,1916,264.89,224,300.3,135.6,213
1926,1917,283.54,225,270.4,62.49,214
1927,1918,113.2,226,112.4,40.55,215
1928,1919,106.93,227,80.45,40.71,216
1929,1920,62.49,228,50.45,62.49,217
1930,1921,40.55,229,200.4,40.55,218
1931,1922,40.89,230,120.4,123.4,219
1932,1923,123.4,231,200.12,300.4,220
1933,1924,300.4,232,130.45,235.3,221
1934,1925,235.3,233,341.75,122.7,222
1935,1926,122.7,234,236.56,208.3,223
1936,1927,208.3,235,105.2,260.91,224
1937,1928,260.91,236,89.32,264.89,225
1938,1919,106.93,227,34.56,283.54,226
1939,1920,62.49,228,23.8,113.2,227
1940,1921,40.55,229,200.12,300.4,228
1941,1922,40.89,230,130.45,235.3,229
1942,1923,123.4,231,341.75,122.7,230
1943,1923,123.4,231,236.56,208.3,231
1944,1916,264.89,224,300.3,135.6,213
1945,1917,283.54,225,270.4,62.49,214
1946,1918,113.2,226,112.4,40.55,215
1947,1919,106.93,227,80.45,40.71,216
1948,1920,62.49,228,50.45,62.49,217
1949,1921,40.55,229,200.4,40.55,218
1950,1922,40.89,230,120.4,123.4,219
1951,1923,123.4,231,200.12,300.4,220
1952,1924,300.4,232,130.45,235.3,221
1953,1925,235.3,233,341.75,122.7,222
1954,1926,122.7,234,236.56,208.3,223
1955,1927,208.3,235,105.2,260.91,224
1956,1928,260.91,236,89.32,264.89,225
1957,1919,106.93,227,34.56,283.54,226
1958,1920,62.49,228,23.8,113.2,227
1959,1921,40.55,229,200.12,300.4,228
1960,1915,260.91,223,121.34,100.34,212
1961,1916,264.89,224,300.3,135.6,213
1962,1917,283.54,225,270.4,62.49,214
1963,1918,113.2,226,112.4,40.55,215
1964,1919,106.93,227,80.45,40.71,216
1965,1920,62.49,228,50.45,62.49,217
1966,1921,40.55,229,200.4,40.55,218
1967,1922,40.89,230,120.4,123.4,219
1968,1923,123.4,231,200.12,300.4,220
1969,1924,300.4,232,130.45,235.3,221
1970,1925,235.3,233,341.75,122.7,222
1971,1926,122.7,234,236.56,208.3,223
1972,1927,208.3,235,105.2,260.91,224
1973,1928,260.91,236,89.32,264.89,225
1974,1919,106.93,227,34.56,283.54,226
1975,1920,62.49,228,23.8,113.2,227
1976,1921,40.55,229,200.12,300.4,228
1977,1922,40.89,230,130.45,235.3,229
1978,1923,123.4,231,341.75,122.7,230
1979,1923,123.4,231,236.56,208.3,231
1980,1916,264.89,224,300.3,135.6,213
1981,1917,283.54,225,270.4,62.49,214
1982,1918,113.2,226,112.4,40.55,215
1983,1919,106.93,227,80.45,40.71,216
1984,1913,122.7,221,452.34,40.55,210
1985,1914,208.3,222,215.56,89.4,211
1986,1915,260.91,223,121.34,100.34,212
1987,1916,264.89,224,300.3,135.6,213
1988,1917,283.54,225,270.4,62.49,214
1989,1918,113.2,226,112.4,40.55,215
1990,1919,106.93,227,80.45,40.71,216
1991,1920,62.49,228,50.45,62.49,217
1992,1921,40.55,229,200.4,40.55,218
1993,1922,40.89,230,120.4,123.4,219
1994,1923,123.4,231,200.12,300.4,220
1995,1924,300.4,232,130.45,235.3,221
1996,1925,235.3,233,341.75,122.7,222
1997,1926,122.7,234,236.56,208.3,223
1998,1927,208.3,235,105.2,260.91,224
1999,1928,260.91,236,89.32,264.89,225
2000,1919,106.93,227,34.56,283.54,226
2001,1920,62.49,228,23.8,113.2,227
2002,1921,40.55,229,200.12,300.4,228
2003,1922,40.89,230,130.45,235.3,229
2004,1923,123.4,231,341.75,122.7,230
2005,1923,123.4,231,236.56,208.3,231
2006,1916,264.89,224,300.3,135.6,213
2007,1917,283.54,225,270.4,62.49,214
2008,1918,113.2,226,112.4,40.55,215
2009,1919,106.93,227,80.45,40.71,216
2010,1920,62.49,228,50.45,62.49,217
2011,1921,40.55,229,200.4,40.55,218
2012,1922,40.89,230,120.4,123.4,219
2013,1923,123.4,231,200.12,300.4,220
2014,1924,300.4,232,130.45,235.3,221
2015,1925,235.3,233,341.75,122.7,222
2016,1926,122.7,234,236.56,208.3,223
2017,1927,208.3,235,105.2,260.91,224
2018,1928,260.91,236,89.32,264.89,225
2019,1919,106.93,227,34.56,283.54,226
2020,1920,62.49,228,23.8,113.2,227
