Year,Rice(kg/hectare),Jowar,Ragi,Small Millets,Tur ,Other Pulses,Groundnuts,Sessasum,Tea,Banana,Sugarcane,Tobacco,Pepper,Chillies,Ginger,Coconut,Tumeric,Coffee,Rubber
1920,2345,451,561,910,957,980,1343,703,18,100,89045,1778,9,9,40,53,33,756,910
1921,2345,691,567,879,990,958,1245,957,19,106,89064,1762,7,8,38,52,31,770,950
1922,3001,561,540,856,980,991,1496,808,15,99,70678,2000,8,10,70,50,30,756,970
1923,2875,764,512,900,870,981,1490,978,17,98,78057,1908,4,10,56,57,28,769,990
1924,2297,746,341,876,1495,871,1693,990,19,89,67009,2201,2,9,70,57,28,790,967
1925,2347,500,451,998,1489,1496,1588,880,17,95,78000,2301,2,8,51,54,27,880,896
1926,2129,786,691,666,1693,1490,1406,891,18,109,89000,1906,3,10,79,59,27,785,834
1927,2556,550,561,700,1588,1693,1343,900,19,110,95000,2207,2,16,76,50,27,671,967
1928,2452,666,764,680,898,1588,1245,957,19,124,95517,2290,1,9,69,60,26,690,963
1929,2733,700,746,550,1343,899,1309,808,17,89,101165,2180,3,11,64,57,26,700,989
1930,2576,680,500,500,1245,1343,1500,980,17,91,95241,1304,4,10,58,59,24,711,879
1931,2551,550,786,785,990,1245,1206,958,18,109,100253,1608,2,7,46,53,26,748,889
1932,2531,679,550,550,1100,990,1510,991,18,104,98765,2200,3,8,59,55,21,746,900
1933,1693,656,667,666,956,999,1391,981,11,121,99856,1621,5,8,44,51,24,782,912
1934,1588,700,700,340,808,988,1702,871,11,130,88935,1778,7,9,40,51,26,757,956
1935,2345,682,680,450,979,919,1410,999,20,100,120157,1762,8,10,31,52,25,767,945
1936,3001,667,550,690,957,990,1310,988,21,89,98765,2000,8,10,44,53,25,789,935
1937,2875,1080,679,560,990,999,1205,919,21,99,99856,1908,9,8,41,52,26,691,956
1938,2297,1100,1000,567,980,1002,1501,990,23,120,88935,2201,10,10,41,51,24,660,967
1939,2347,1219,738,540,870,997,1401,999,24,91,120157,2301,10,9,44,54,27,680,897
1940,2129,798,909,1080,1495,995,1346,1002,29,79,134568,1906,8,3,53,59,26,745,899
1941,2556,567,1000,1100,1489,896,1313,997,30,82,110046,2207,10,5,41,51,25,779,945
1942,2452,540,875,900,1693,985,1318,995,15,79,1500459,1760,9,8,44,79,24,829,960
1943,2733,512,880,876,1588,981,1272,896,17,80,78053,1580,3,5,53,76,23,851,967
1944,2576,341,682,998,898,951,1225,985,19,153,89045,1470,5,9,49,69,22,864,959
1945,2551,451,667,666,1343,930,1220,981,21,110,89064,1360,8,4,50,64,23,878,913
1946,2530,691,1080,700,1245,1206,1100,951,15,121,70678,1890,5,5,48,58,24,667,983
1947,2512,561,1100,680,896,980,1290,691,17,90,78057,2100,9,7,46,46,22,689,923
1948,2345,764,1219,550,985,958,1588,561,19,100,67009,2108,4,6,56,59,23,745,919
1949,2290,512,798,500,980,991,1406,764,17,103,78000,2700,5,6,58,44,24,800,923
1950,3001,341,798,785,950,981,1343,746,18,109,89000,2900,7,8,66,40,26,807,953
1951,2875,451,567,550,930,871,1245,500,19,110,95000,2345,6,8,60,31,25,810,992
1952,2297,691,540,666,1206,1496,1309,550,19,124,95517,2207,6,5,51,44,33,834,989
1953,2347,561,512,340,979,1490,1500,667,17,89,101165,2290,8,9,40,41,31,856,879
1954,2129,764,340,450,957,1693,1206,700,17,91,95241,2180,4,4,40,41,30,814,889
1955,2556,746,450,690,990,1588,1510,680,18,109,100253,1304,2,5,38,44,28,824,900
1956,2452,500,690,560,980,899,1391,550,18,104,98765,1608,2,7,70,53,28,835,912
1957,2733,785,560,567,870,896,1702,746,11,121,99856,2200,3,6,56,41,27,856,956
1958,2576,550,764,540,1495,985,1410,500,11,130,88935,1621,2,6,70,44,27,878,945
1959,2551,666,512,1080,1489,981,1310,786,20,100,98785,1778,1,10,51,53,27,910,935
1960,2531,700,340,856,1693,951,1205,896,21,89,89457,1762,3,9,79,49,26,934,956
1961,2512,680,450,900,1588,930,1501,985,15,99,67091,2000,4,3,76,50,26,770,967
1962,2345,550,690,876,898,1206,1401,981,17,120,78055,1908,2,5,69,48,24,756,897
1963,2290,500,560,998,1343,980,1346,951,19,91,67892,2201,3,8,64,46,26,769,899
1964,2660,786,764,666,1245,958,1313,930,21,79,97005,2301,5,5,58,56,21,790,945
1965,2334,550,746,700,1495,991,1318,818,15,82,89000,1906,7,4,46,58,24,880,896
1966,2297,667,500,680,1489,981,1272,896,17,91,95000,2207,8,5,59,66,26,785,834
1967,2347,700,666,550,1693,1496,1225,985,19,79,95517,1760,8,9,44,58,25,671,967
1968,2129,680,700,500,1588,1490,1220,981,17,82,101165,1580,9,10,40,46,25,690,963
1969,2556,550,680,785,898,1693,1702,951,18,79,95241,1470,10,9,31,59,28,700,989
1970,2452,679,550,550,1343,1588,1410,970,19,80,100253,1360,10,7,44,44,27,711,879
1971,2733,656,679,666,1245,899,1310,990,19,153,98765,1890,8,8,41,40,27,748,889
1972,2576,700,656,340,896,1003,1205,860,17,110,99856,2100,10,9,41,31,27,746,900
1973,2551,682,700,450,985,1200,1501,790,17,121,88935,1778,9,11,59,44,26,782,912
1974,2531,667,682,690,980,1000,1401,812,18,130,120157,1762,3,10,44,41,26,757,956
1975,1693,1080,667,560,950,981,1346,976,18,150,98765,2000,4,7,40,41,24,767,945
1976,1588,1100,1080,567,930,781,1313,1000,11,98,99856,1908,2,8,31,44,26,789,935
1977,2345,1220,1100,540,1206,679,1318,738,11,129,88935,2201,2,8,44,53,21,691,956
1978,3001,798,1219,1080,979,891,1272,909,20,123,120157,2301,3,9,41,49,24,660,967
1979,2875,567,798,1000,957,896,1225,1000,15,121,134568,1906,2,10,41,50,26,680,897
1980,2297,340,567,738,990,985,1220,875,17,130,110046,2207,1,10,44,48,25,851,981
1981,2347,450,340,909,980,981,1100,880,19,100,89000,2290,3,8,53,46,25,864,979
1982,2129,690,450,1000,1495,951,1290,967,17,89,95000,2180,4,10,49,56,26,878,890
1983,2556,560,690,875,1489,930,1290,985,18,99,95517,1304,2,9,50,58,24,667,870
1984,2452,764,560,989,1693,818,1235,981,19,120,101165,1608,3,3,48,66,27,689,834
1985,2733,746,764,890,1588,896,1406,951,19,91,95241,2200,5,5,46,60,26,745,967
1986,2129,500,746,876,898,985,1343,930,17,79,100253,1621,7,8,56,76,25,800,963
1987,2556,785,500,834,1343,981,1245,1206,17,82,98765,1778,8,5,58,69,24,807,989
1988,2452,550,550,880,1245,951,1309,980,18,79,99856,1304,8,9,42,64,23,810,879
1989,2733,666,666,1200,990,930,1500,958,18,80,88935,1608,9,4,40,58,22,834,889
1990,2576,700,700,970,1100,1206,1206,991,19,95,120157,2200,10,7,40,46,23,856,900
1991,2551,680,680,990,1302,980,1510,981,17,98,98765,1621,10,8,38,59,24,814,912
1992,2530,550,550,860,1100,958,1391,871,18,99,99856,1778,8,8,70,44,22,824,956
1993,2512,500,746,790,1003,991,1702,896,19,103,88935,1762,10,9,56,40,23,835,945
1994,2345,785,500,812,1009,981,1410,985,19,102,120157,2000,9,10,70,31,20,856,935
1995,2290,550,785,976,998,979,1310,981,17,108,98765,1908,3,10,51,44,24,878,956
1996,3001,666,550,875,1001,1004,1205,951,17,107,99856,1778,5,8,79,41,27,910,967
1997,2875,340,666,989,1500,1003,1501,930,18,100,88935,1762,8,10,76,41,26,934,990
1998,2297,451,700,890,896,1200,1401,679,18,100,120157,2000,5,9,69,44,25,770,967
1999,2347,691,680,876,985,1000,1346,891,11,98,134568,1908,4,8,64,53,33,756,896
2000,2129,561,550,834,980,981,1313,896,11,129,110046,2201,5,9,58,41,31,624,834
2001,2557,567,500,880,950,781,1318,985,20,123,1500459,2301,9,9,46,44,30,756,967
2002,2452,540,785,1200,930,679,1272,981,20,121,78053,1906,10,8,59,53,28,770,963
2003,2345,512,550,970,1206,891,1225,951,19,130,89045,2207,9,9,44,49,28,756,989
2004,3001,341,666,990,979,896,1220,930,15,100,89064,2290,7,8,40,50,27,769,879
2005,2875,451,340,860,957,985,1702,818,17,89,70678,2180,8,10,31,48,27,790,889
2006,2297,691,450,790,990,981,1205,581,19,99,78057,1304,4,10,44,46,27,880,900
2007,2347,561,690,812,980,951,1501,290,17,120,67009,1608,2,9,41,56,26,785,912
2008,2129,764,560,976,870,930,1401,190,18,91,78000,2200,2,8,41,55,26,671,956
2009,2556,746,567,1000,1495,818,1346,329,19,79,89000,1621,3,10,44,51,24,690,945
2010,2452,500,540,738,1489,0,1313,400,19,82,95517,1778,2,16,53,54,26,700,935
2011,2733,786,1080,909,1693,0,1318,450,17,79,101165,1762,1,9,49,52,21,711,956
2012,2576,550,1100,1000,1588,703,1272,377,17,80,95241,2000,3,11,50,53,24,748,967
2013,2551,667,1219,875,898,957,1225,333,18,153,100253,1908,4,10,48,52,26,746,897
2014,2531,700,798,880,1343,808,1220,380,18,110,98765,2201,2,21,46,51,25,782,981
2015,2512,680,678,967,1245,978,1100,660,11,121,99856,2301,3,28,56,54,25,757,979
2016,2345,550,568,1034,990,990,1290,551,11,90,88935,1906,5,11,58,59,26,767,890
2017,2290,679,989,980,1100,880,1290,480,20,100,120157,2207,7,10,66,59,24,789,870
2018,2660,656,1200,874,1302,891,1235,780,20,103,134568,2290,10,11,60,60,27,691,860
2019,2334,700,998,990,1404,900,1315,881,26,110,110046,2180,11,14,51,57,28,700,880
2020,2687,689,974,986,1305,897,1301,900,25,100,99234,2070,11,15,40,55,26,693,840
