Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1920,200,113,350,118,200,113
1921,350,355,466,117,113,220
1922,466,233,985,439,355,100
1923,985,100,113,276,233,200
1924,113,200,500,275,113,350
1925,355,350,236,213,355,466
1926,233,466,100,270,233,985
1927,100,985,200,118,100,113
1928,200,113,350,98,200,500
1929,350,500,466,340,350,236
1930,466,236,985,315,466,100
1931,985,100,113,222,985,200
1932,113,140,355,214,113,350
1933,500,350,233,117,239,466
1934,236,466,113,439,233,985
1935,100,985,355,276,100,113
1936,200,113,233,275,200,355
1937,350,355,100,213,350,233
1938,466,233,200,233,466,113
1939,985,113,350,118,250,355
1940,113,355,466,680,113,233
1941,355,233,985,780,500,100
1942,233,100,113,273,236,200
1943,113,200,239,631,100,350
1944,355,350,233,625,200,466
1945,233,213,100,617,233,985
1946,100,233,200,355,113,113
1947,200,118,350,233,355,239
1948,350,98,466,100,233,233
1949,466,340,250,205,100,101
1950,985,315,113,350,200,206
1951,113,222,500,117,350,350
1952,239,214,236,100,213,466
1953,233,800,100,100,233,250
1954,100,500,200,200,118,113
1955,200,236,350,350,98,236
1956,350,100,466,466,340,100
1957,466,200,985,985,315,200
1958,250,350,113,113,222,350
1959,113,466,355,355,214,466
1960,500,985,233,466,800,985
1961,236,113,113,985,500,113
1962,100,355,355,113,236,355
1963,200,466,233,113,100,233
1964,350,985,100,355,200,113
1965,466,113,200,233,350,355
1966,985,500,350,100,466,233
1967,113,236,117,200,985,100
1968,355,100,439,350,113,200
1969,233,200,276,117,355,350
1970,113,350,275,439,466,117
1971,355,466,213,276,985,439
1972,233,985,312,275,113,276
1973,100,113,330,213,500,275
1974,200,355,356,312,236,213
1975,350,233,355,330,213,113
1976,117,113,233,356,312,355
1977,439,355,100,355,330,466
1978,276,233,200,233,356,985
1979,275,100,350,100,355,113
1980,213,200,117,200,233,500
1981,312,350,439,350,100,236
1982,330,117,276,113,200,213
1983,356,100,275,355,350,312
1984,355,200,213,233,117,330
1985,233,350,233,113,439,356
1986,100,117,118,355,276,355
1987,200,439,117,233,275,233
1988,350,276,439,100,213,100
1989,117,275,276,200,233,200
1990,439,213,275,350,118,350
1991,276,233,213,117,117,117
1992,275,118,233,439,439,439
1993,213,98,118,276,276,276
1994,233,340,98,275,275,275
1995,118,315,340,213,213,213
1996,98,222,315,312,233,233
1997,340,214,222,330,118,118
1998,315,800,214,356,98,117
1999,222,500,117,355,117,117
2000,214,236,439,233,439,439
2001,800,100,276,100,276,276
2002,500,200,275,200,275,275
2003,236,350,213,204,213,213
2004,100,111,233,197,233,233
2005,200,217,118,38,118,118
2006,350,353,680,109,120,120
2007,466,250,780,784,495,749
2008,985,547,273,523,49,107
2009,113,70,631,488,424,500
2010,355,235,625,55,484,648
2011,233,242,807,49,608,793
2012,100,800,355,117,547,233
2013,200,500,233,439,70,100
2014,350,236,100,276,235,200
2015,466,100,200,275,242,204
2016,985,200,350,213,800,197
2017,113,350,117,233,100,38
2018,239,111,100,90,111,109
2019,210,107,97,115,103,110
2020,220,112,101,170,115,104
