Year,NPK(tonnes),MAP(tonnes),MOP(tonnes),TSP(tonnes),UREA(tonnes),DAP(tonnes)
1920,235.3,106.93,200.4,122.7,70.1,40.55
1921,122.7,62.49,150.3,208.3,50.3,123.4
1922,208.3,235.3,110.4,260.91,110.34,121.34
1923,260.91,122.7,70.1,264.89,111.3,300.3
1924,264.89,208.3,50.3,283.54,200.34,270.4
1925,283.54,260.91,110.34,113.2,210.45,112.4
1926,113.2,264.89,111.3,106.93,122.7,80.45
1927,106.93,283.54,200.34,62.49,208.3,50.45
1928,62.49,113.2,210.45,40.55,260.91,452.34
1929,235.3,106.93,122.7,40.91,264.89,215.56
1930,122.7,62.49,208.3,123.4,283.54,121.34
1931,208.3,40.55,260.91,250.5,113.2,300.3
1932,241,40.89,264.89,280.5,106.93,270.4
1933,264.89,123.4,283.54,200.4,62.49,112.4
1934,283.54,300.4,113.2,150.3,40.55,80.45
1935,113.2,235.3,106.93,110.4,89.4,50.45
1936,106.93,122.7,62.49,70.1,100.34,39.1
1937,62.49,208.3,40.56,50.3,135.6,225
1938,40.55,260.91,40.55,110.34,62.49,212.3
1939,123.4,264.89,62.49,40.55,40.55,265.4
1940,300.4,283.54,40.55,123.4,40.71,210.4
1941,235.3,113.2,123.4,121.34,62.49,100.34
1942,122.7,235.3,300.4,300.3,40.55,90.4
1943,208.3,122.7,235.3,270.4,123.4,50.3
1944,260.91,208.3,122.7,112.4,300.4,30.5
1945,264.89,260.91,208.3,80.45,235.3,201.5
1946,283.54,235.3,260.91,50.45,122.7,123.4
1947,113.2,122.7,264.89,452.34,208.3,300.4
1948,106.93,208.3,283.54,215.56,260.91,235.3
1949,235.3,260.91,113.2,121.34,264.89,122.7
1950,122.7,122.7,106.93,300.3,283.54,40.55
1951,208.3,208.3,235.3,270.4,113.2,40.54
1952,260.91,260.91,122.7,112.4,106.93,123.4
1953,264.89,264.89,208.3,80.45,235.3,300.4
1954,283.54,283.54,260.91,50.45,122.7,235.3
1955,113.2,113.2,122.7,200.4,208.3,122.7
1956,106.93,106.93,208.3,120.4,160.23,200.4
1957,62.49,62.49,260.91,200.12,210.4,120.4
1958,40.55,40.57,264.89,130.45,230.1,200.12
1959,123.4,40.55,283.54,341.75,230.4,130.45
1960,300.4,123.4,113.2,236.56,160.3,341.75
1961,250.34,300.4,106.93,105.2,130.4,236.56
1962,235.3,235.3,62.49,89.32,80.2,105.2
1963,122.7,122.7,40.57,34.56,50.2,62.49
1964,208.3,208.3,40.55,23.8,200.34,235.3
1965,260.91,260.91,123.4,200.12,225,122.7
1966,264.89,264.89,113.2,130.45,212.3,113.2
1967,283.54,283.54,208.3,341.75,265.4,106.93
1968,113.2,113.2,260.91,236.56,210.4,62.49
1969,106.93,208.3,264.89,105.2,100.34,235.3
1970,62.49,260.91,283.54,89.32,90.4,106.93
1971,235.3,264.89,113.2,34.56,50.3,62.49
1972,122.7,283.54,106.93,23.8,30.5,235.3
1973,208.3,113.2,62.49,62.49,201.5,122.7
1974,260.91,106.93,235.3,40.55,120.9,208.3
1975,264.89,62.49,122.7,40.5,122.7,260.91
1976,283.54,235.3,113.2,123.4,208.3,264.89
1977,113.2,122.7,106.93,300.4,260.91,283.54
1978,106.93,208.3,62.49,235.3,264.89,113.2
1979,62.49,260.91,235.3,122.7,283.54,106.93
1980,235.3,264.89,106.93,40.55,113.2,62.49
1981,122.7,283.54,62.49,40.55,106.93,40.55
1982,208.3,113.2,235.3,123.4,62.49,40.53
1983,260.91,106.93,122.7,121.34,40.55,113.2
1984,264.89,62.49,208.3,300.3,40.55,106.93
1985,283.54,40.55,260.91,270.4,123.4,62.49
1986,113.2,40.59,264.89,112.4,300.4,235.3
1987,106.93,123.4,283.54,80.45,235.3,122.7
1988,62.49,300.4,113.2,50.45,122.7,208.3
1989,40.55,235.3,106.93,208.3,40.55,123.4
1990,40.52,122.7,62.49,260.91,160.23,300.4
1991,123.4,40.55,40.55,264.89,210.4,235.3
1992,300.4,40.54,40.53,283.54,230.1,122.7
1993,235.3,123.4,123.4,113.2,230.4,40.55
1994,122.7,300.4,300.4,106.93,160.3,40.55
1995,208.3,235.3,235.3,235.3,130.4,123.4
1996,260.91,122.7,122.7,122.7,80.2,121.34
1997,264.89,200.4,40.55,208.3,50.2,300.3
1998,283.54,120.4,40.55,260.91,113.2,270.4
1999,113.2,200.12,123.4,235.3,106.93,112.4
2000,106.93,130.45,121.34,122.7,235.3,80.45
2001,235.3,341.75,300.3,208.3,122.7,50.45
2002,122.7,236.56,270.4,260.91,208.3,452.34
2003,208.3,105.2,112.4,264.89,260.91,215.56
2004,260.91,89.32,80.45,78.3,235.3,121.34
2005,235.3,34.56,50.45,72.2,122.7,300.3
2006,122.7,23.8,452.34,90.23,208.3,270.4
2007,208.3,200.12,215.56,207.76,160.23,112.4
2008,260.91,130.45,121.34,250.5,210.4,80.45
2009,264.89,341.75,300.3,280.5,230.1,265.4
2010,283.54,236.56,270.4,200.4,230.4,210.4
2011,113.2,105.2,112.4,150.3,160.3,100.34
2012,106.93,89.32,80.45,110.4,130.4,90.4
2013,62.49,34.56,50.45,70.1,80.2,50.3
2014,40.55,23.8,39.1,50.3,50.2,30.5
2015,123.4,112.4,214.5,110.34,200.34,201.5
2016,300.4,210.4,120.3,111.3,180.34,120.9
2017,250.34,90.4,100.3,200.34,150.2,127.45
2018,210.23,235.6,121.4,210.45,100.23,119.34
2019,205.34,231.2,119.3,203.3,99.3,108.6
2020,201.3,210.4,110.2,209.5,101.2,117.2
