Year,Ph,OC(g kg),EC(dS/m),N(kg/ha),P(kg/ha),K(kg/ha)
1920,5.2,0.6,0.9,561,30,115
1921,6,0.5,0.8,540,24,116
1922,5.5,1.5,0.5,550,50,177
1923,2.5,0.8,0.1,580,34,225
1924,6.6,0.7,0.3,570,27,220
1925,4.5,0.9,0.5,480,29,221
1926,5.2,1,0.4,560,37,118
1927,6,1.1,0.2,510,33,120
1928,6.1,1.3,0.3,520,56,140
1929,3.1,0.4,0.51,540,56,209
1930,4.4,1.3,0.32,520,67,210
1931,3.8,1.5,0.49,505,26,223
1932,6.3,1.3,0.14,509,45,224
1933,6.2,0.8,0.89,550,32,225
1934,5.9,0.9,0.83,589,33,117
1935,5.5,0.5,0.49,570,34,118
1936,2.5,1.5,0.1,585,40,113
1937,6.6,0.8,0.3,550,31,210
1938,4.5,0.7,0.5,580,50,217
1939,5.2,0.9,0.4,570,34,198
1940,6,1,0.2,480,27,116
1941,6.1,1.1,0.3,560,29,177
1942,3.1,1.3,0.51,510,37,225
1943,4.4,0.4,0.32,520,33,220
1944,3.8,1.3,0.49,540,56,221
1945,4.5,1.5,0.9,520,56,118
1946,5.2,1.3,0.8,505,67,120
1947,6,0.8,0.5,509,26,140
1948,6.1,1.5,0.1,550,45,209
1949,3.1,0.8,0.3,589,32,210
1950,4.4,0.7,0.5,570,33,223
1951,3.8,0.9,0.4,585,34,224
1952,6.3,1,0.2,570,40,225
1953,6.2,1.1,0.3,480,34,117
1954,5.9,1.3,0.51,560,27,118
1955,5.5,0.4,0.32,510,29,113
1956,2.5,1.3,0.49,520,37,225
1957,6.6,1.5,0.14,540,33,220
1958,4.5,1.3,0.89,520,56,221
1959,5.2,0.8,0.83,505,56,118
1960,2.5,0.9,0.49,509,67,120
1961,6.6,0.5,0.1,550,26,140
1962,4.5,1.5,0.83,589,45,209
1963,5.2,0.8,0.49,570,32,210
1964,6,0.7,0.1,550,33,223
1965,6.1,0.9,0.3,589,34,224
1966,3.1,1,0.5,570,40,225
1967,4.4,1.1,0.4,585,31,117
1968,3.8,1.3,0.2,570,50,118
1969,6.3,0.4,0.3,480,34,113
1970,6.2,1.3,0.51,560,27,210
1971,5.9,1.5,0.32,510,29,217
1972,5.5,1.3,0.49,520,37,198
1973,2.5,0.8,0.9,540,33,116
1974,6.6,0.8,0.8,520,56,177
1975,4.5,0.7,0.5,505,56,225
1976,5.2,0.9,0.1,570,67,220
1977,6,1,0.3,585,26,221
1978,6.1,1.1,0.5,550,34,118
1979,3.1,1.3,0.4,580,27,120
1980,4.4,0.4,0.2,570,29,140
1981,3.8,1.3,0.8,480,37,209
1982,4.5,1.5,0.5,560,33,140
1983,5.2,1.3,0.1,510,56,209
1984,6,0.8,0.3,520,56,210
1985,6.1,0.9,0.5,540,67,223
1986,3.1,0.5,0.4,520,26,224
1987,6,1.5,0.2,505,45,225
1988,5.5,0.8,0.3,509,32,117
1989,2.5,0.7,0.51,550,33,118
1990,6.6,0.9,0.32,589,34,113
1991,4.5,1,0.49,570,40,210
1992,5.2,1.1,0.14,585,31,217
1993,6,1.3,0.89,570,50,198
1994,6.1,0.6,0.83,480,34,116
1995,3.1,0.5,0.49,560,27,177
1996,4.4,1.5,0.1,510,29,225
1997,3.8,0.8,0.3,520,37,220
1998,6.3,0.7,0.5,540,33,221
1999,6.2,0.9,0.4,520,56,118
2000,5.9,1,0.2,580,56,120
2001,5.5,1.1,0.3,570,67,140
2002,2.5,1.3,0.51,480,26,209
2003,6.6,0.4,0.32,560,45,210
2004,4.5,1.3,0.49,510,32,223
2005,5.2,1.5,0.9,520,33,224
2006,6,1.3,0.8,540,34,225
2007,6.1,0.8,0.5,520,40,117
2008,3.1,0.9,0.1,505,34,118
2009,4.4,0.5,0.3,509,27,113
2010,3.8,1.5,0.5,550,29,225
2011,6.1,0.8,0.4,589,33,220
2012,3.1,0.7,0.2,570,56,221
2013,6,0.9,0.3,585,56,118
2014,5.5,1,0.51,570,67,120
2015,2.5,1.1,0.32,509,26,140
2016,6.6,1.3,0.49,550,45,209
2017,4.5,0.4,0.14,589,32,210
2018,5.2,1.3,0.89,570,33,223
2019,5.1,0.7,0.7,534,29,200
2020,5,0.8,0.83,555,30,210
