Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(microsiemens/cm)
1920,0.34,60.3,1.45,9.4,7,3012.34
1921,0.45,67.4,1.71,10.8,7.3,1909.2
1922,0.1,56.7,1.34,11.2,7,1809.8
1923,0.45,55.2,1.2,9.7,7.7,1704.45
1924,0.78,54.4,1.23,8,7.6,998.45
1925,1.4,55.6,1.45,8.3,7.5,3304.4
1926,2.3,67.6,1.56,11.4,7.4,2330.45
1927,0.34,67.3,1.55,3.85,7.9,1120.34
1928,0.32,78.4,1.08,12.4,8.4,1000.1
1929,0.34,71.3,1.06,10.3,8.3,990.12
1930,0.56,70.45,1.8,7.5,7.9,890.34
1931,0.79,65.45,1.6,8.8,8.1,700.12
1932,0.71,70.6,1.45,8.9,8.5,620.34
1933,0.23,54.83,1.71,10.6,8.4,880.45
1934,0.5,60.12,1.34,10.9,7.5,870.56
1935,0.09,50.34,1.2,9.9,7.6,980.56
1936,0.2,49.45,1.23,7.8,7.7,990.5
1937,0.3,70.23,1.8,9.8,7.3,998.4
1938,0.78,78.34,1.6,12.3,7.4,790.45
1939,0.45,69.34,1.45,11.4,7.9,1809.8
1940,0.56,60.1,1.71,8.3,7.2,1704.45
1941,0.13,66.34,1.34,11.4,7.7,998.45
1942,0.34,70.6,1.2,3.85,7.6,3304.4
1943,0.32,54.83,1.23,12.4,7.5,2330.45
1944,0.34,60.12,1.45,10.3,7.4,1120.34
1945,0.56,70.6,1.56,7.5,7.9,1000.1
1946,0.79,54.83,1.55,8.8,8.4,990.12
1947,0.71,60.12,1.08,8.9,8.3,890.34
1948,0.09,50.34,1.06,10.6,7.9,700.12
1949,0.2,49.45,1.8,10.9,8.1,620.34
1950,0.3,55.2,1.6,9.9,8.5,880.45
1951,0.78,54.4,1.45,7.8,8.4,870.56
1952,0.45,55.6,1.71,9.8,7.5,980.56
1953,0.56,67.6,1.34,12.3,7.6,990.5
1954,0.13,67.3,1.2,7.5,7.7,998.4
1955,0.23,78.4,1.23,8.8,8.4,1000.1
1956,0.5,71.3,1.45,8.9,8.3,990.12
