Year,NPK(tonnes),MAP(tonnes),MOP(tonnes),TSP(tonnes),UREA(tonnes),DAP(tonnes)
1920,1689,188,625,98,521,290
1921,1178,200,500,100,500,270
1922,1578,210,480,80,350,210
1923,1489,178,600,70,500,220
1924,1400,180,590,60,510,209
1925,1178,200,500,100,500,270
1926,1578,210,480,80,350,210
1927,1489,178,600,70,500,220
1928,1178,200,500,100,500,270
1929,1578,210,480,80,350,210
1930,1489,178,600,70,500,220
1931,1400,180,590,60,510,209
1932,1178,200,500,100,500,270
1933,1578,210,480,80,350,210
1934,1178,200,500,100,500,270
1935,1578,210,480,80,350,210
1936,1489,178,600,70,500,220
1937,1400,180,590,60,510,209
1938,1178,200,500,100,500,270
1939,1578,210,480,80,350,210
1940,1489,178,600,70,500,220
1941,1178,200,500,100,500,270
1942,1578,210,480,80,350,210
1943,1489,178,600,70,500,220
1944,1400,180,590,60,510,209
1945,1689,188,625,98,521,290
1946,1178,200,500,100,500,270
1947,1578,210,480,80,350,210
1948,1489,178,600,70,500,220
1949,1400,180,590,60,510,209
1950,1178,200,500,100,500,270
1951,1578,210,480,80,350,210
1952,1489,178,600,70,500,220
1953,1178,200,500,100,500,270
1954,1578,210,480,80,350,210
1955,1489,178,600,70,500,220
1956,1400,180,590,60,510,209
1957,1178,200,500,100,500,270
1958,1578,210,480,80,350,210
1959,1178,200,500,100,500,270
1960,1578,210,480,80,350,210
1961,1489,178,600,70,500,220
1962,1400,180,590,60,510,209
1963,1178,200,500,100,500,270
1964,1578,210,480,80,350,210
1965,1489,178,600,70,500,220
1966,1178,200,500,100,500,270
1967,1400,180,590,60,510,209
1968,1178,200,500,100,500,270
1969,1578,210,480,80,350,210
1970,1178,200,500,100,500,270
1971,1578,210,480,80,350,210
1972,1489,178,600,70,500,220
1973,1400,180,590,60,510,209
1974,1178,200,500,100,500,270
1975,1578,210,480,80,350,210
1976,1489,178,600,70,500,220
1977,1178,200,500,100,500,270
1978,1578,210,480,80,350,210
1979,1489,178,600,70,500,220
1980,1400,180,590,60,510,209
1981,1689,188,625,98,521,290
1982,1178,200,500,100,500,270
1983,1578,210,480,80,350,210
1984,1489,178,600,70,500,220
1985,1400,180,590,60,510,209
1986,1178,200,500,100,500,270
1987,1578,210,480,80,350,210
1988,1489,178,600,70,500,220
1989,1178,200,500,100,500,270
1990,1578,210,480,80,350,210
1991,1489,178,600,70,500,220
1992,1578,210,480,80,350,210
1993,1489,178,600,70,500,220
1994,1400,180,590,60,510,209
1995,1178,200,500,100,500,270
1996,1578,210,480,80,350,210
1997,1489,178,600,70,500,220
1998,1178,200,500,100,500,270
1999,1578,210,480,80,350,210
2000,1489,178,600,70,500,220
2001,1400,180,590,60,510,209
2002,1178,200,500,100,500,270
2003,1578,210,480,80,350,210
2004,1178,200,500,100,500,270
2005,1578,210,480,80,350,210
2006,1489,178,600,70,500,220
2007,1400,180,590,60,510,209
2008,1178,200,500,100,500,270
2009,1578,210,480,80,350,210
2010,1489,178,600,70,500,220
2011,1178,200,500,100,500,270
2012,1578,210,480,80,350,210
2013,1489,178,600,70,500,220
2014,1400,180,590,60,510,209
2015,1689,188,625,98,521,290
2016,1178,200,500,100,500,270
2017,1578,210,480,80,350,210
2018,1489,178,600,70,500,220
2019,1400,180,590,60,510,209
2020,1178,200,500,100,500,270
