Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(micro/cm)
1920,0.5,39.4,15.25,17.34,8.1,2300
1921,0.2,29.4,15,16.34,8.2,1500
1922,0.5,40.5,15.01,17.23,8.5,1780
1923,0.5,35.5,15.35,16.01,8.3,1800
1924,0.5,25.5,15.56,16.32,8.4,1900
1925,0.5,40.5,15.01,17.23,8.5,1780
1926,0.5,35.5,15.35,16.01,8.3,1800
1927,0.5,25.5,15.56,16.32,8.4,1900
1928,0.5,29.4,15,16.34,8.2,1500
1929,0.5,40.5,15.01,17.23,8.5,1780
1930,0.5,35.5,15.35,16.01,8.3,1800
1931,0.5,25.5,15.56,16.32,8.4,1900
1932,0.5,40.5,15.01,17.23,8.5,1780
1933,0.5,35.5,15.35,16.01,8.3,1800
1934,0.5,29.4,15,16.34,8.2,1500
1935,0.5,40.5,15.01,17.23,8.5,1780
1936,0.5,35.5,15.35,16.01,8.3,1800
1937,0.5,25.5,15.56,16.32,8.4,1900
1938,0.5,40.5,15.01,17.23,8.5,1780
1939,0.5,35.5,15.35,16.01,8.3,1800
1940,0.5,25.5,15.56,16.32,8.4,1900
1941,0.5,29.4,15,16.34,8.2,1500
1942,0.5,40.5,15.01,17.23,8.5,1780
1943,0.5,35.5,15.35,16.01,8.3,1800
1944,0.5,25.5,15.56,16.32,8.4,1900
1945,0.5,40.5,15.01,17.23,8.5,1780
1946,0.5,29.4,15,16.34,8.2,1500
1947,0.5,40.5,15.01,17.23,8.5,1780
1948,0.5,35.5,15.35,16.01,8.3,1800
1949,0.5,25.5,15.56,16.32,8.4,1900
1950,0.5,40.5,15.01,17.23,8.5,1780
1951,0.5,35.5,15.35,16.01,8.3,1800
1952,0.5,25.5,15.56,16.32,8.4,1900
1953,0.5,29.4,15,16.34,8.2,1500
1954,0.5,40.5,15.01,17.23,8.5,1780
1955,0.5,35.5,15.35,16.01,8.3,1800
1956,0.5,25.5,15.56,16.32,8.4,1900
1957,0.5,40.5,15.01,17.23,8.5,1780
1958,0.5,35.5,15.35,16.01,8.3,1800
1959,0.5,29.4,15,16.34,8.2,1500
1960,0.5,40.5,15.01,17.23,8.5,1780
1961,0.5,35.5,15.35,16.01,8.3,1800
1962,0.5,25.5,15.56,16.32,8.4,1900
1963,0.5,40.5,15.01,17.23,8.5,1780
1964,0.5,35.5,15.35,16.01,8.3,1800
1965,0.5,25.5,15.56,16.32,8.4,1900
1966,0.5,29.4,15,16.34,8.2,1500
1967,0.5,35.5,15.35,16.01,8.3,1800
1968,0.5,25.5,15.56,16.32,8.4,1900
1969,0.5,40.5,15.01,17.23,8.5,1780
1970,0.5,35.5,15.35,16.01,8.3,1800
1971,0.5,25.5,15.56,16.32,8.4,1900
1972,0.5,29.4,15,16.34,8.2,1500
1973,0.5,40.5,15.01,17.23,8.5,1780
1974,0.5,35.5,15.35,16.01,8.3,1800
1975,0.5,25.5,15.56,16.32,8.4,1900
1976,0.5,40.5,15.01,17.23,8.5,1780
1977,0.5,35.5,15.35,16.01,8.3,1800
1978,0.5,29.4,15,16.34,8.2,1500
1979,0.5,40.5,15.01,17.23,8.5,1780
1980,0.5,35.5,15.35,16.01,8.3,1800
1981,0.5,25.5,15.56,16.32,8.4,1900
1982,0.5,40.5,15.01,17.23,8.5,1780
1983,0.5,35.5,15.35,16.01,8.3,1800
1984,0.5,25.5,15.56,16.32,8.4,1900
1985,0.5,29.4,15,16.34,8.2,1500
1986,0.5,40.5,15.01,17.23,8.5,1780
1987,0.5,35.5,15.35,16.01,8.3,1800
1988,0.5,25.5,15.56,16.32,8.4,1900
1989,0.5,40.5,15.01,17.23,8.5,1780
1990,0.5,29.4,15,16.34,8.2,1500
1991,0.5,40.5,15.01,17.23,8.5,1780
1992,0.5,35.5,15.35,16.01,8.3,1800
1993,0.5,25.5,15.56,16.32,8.4,1900
1994,0.5,40.5,15.01,17.23,8.5,1780
1995,0.5,35.5,15.35,16.01,8.3,1800
1996,0.5,25.5,15.56,16.32,8.4,1900
1997,0.5,29.4,15,16.34,8.2,1500
1998,0.5,40.5,15.01,17.23,8.5,1780
1999,0.5,35.5,15.35,16.01,8.3,1800
2000,0.5,25.5,15.56,16.32,8.4,1900
2001,0.5,40.5,15.01,17.23,8.5,1780
2002,0.5,35.5,15.35,16.01,8.3,1800
2003,0.5,29.4,15,16.34,8.2,1500
2004,0.5,40.5,15.01,17.23,8.5,1780
2005,0.5,35.5,15.35,16.01,8.3,1800
2006,0.5,29.4,15,16.34,8.2,1500
2007,0.5,40.5,15.01,17.23,8.5,1780
2008,0.5,35.5,15.35,16.01,8.3,1800
2009,0.5,25.5,15.56,16.32,8.4,1900
2010,0.5,40.5,15.01,17.23,8.5,1780
2011,0.5,35.5,15.35,16.01,8.3,1800
2012,0.5,25.5,15.56,16.32,8.4,1900
2013,0.5,29.4,15,16.34,8.2,1500
2014,0.5,40.5,15.01,17.23,8.5,1780
2015,0.5,40.5,15.01,17.23,8.5,1780
2016,0.5,35.5,15.35,16.01,8.3,1800
2017,0.5,25.5,15.56,16.32,8.4,1900
2018,0.5,40.5,15.01,17.23,8.5,1780
2019,0.5,29.4,15,16.34,8.2,1500
2020,0.5,40.5,15.01,17.23,8.5,1780
