Year,Rainfall,Humidity,Wind,Max Temp,Min Temp,Air Pressure
1920,7123,63,12,30,20,1019
1921,8086,61,11,28,18,1018
1922,9179,60,10,29,15,1017
1923,10148,62,9,32,22,1016
1924,10125,62,12,30,26,1015
1925,7161,61,10,27,15,1014
1926,9282,63,11,26,18,1012
1927,8651,61,11,28,18,1018
1928,8927,60,10,29,15,1017
1929,7133,62,9,32,22,1016
1930,8834,62,12,30,26,1015
1931,11604,61,10,27,15,1014
1932,9898,63,11,26,18,1012
1933,12444,60,10,29,15,1017
1934,11893,62,9,32,22,1016
1935,8905,62,12,30,26,1015
1936,9233,61,10,27,15,1014
1937,10405,63,11,26,18,1012
1938,10318,61,11,28,18,1018
1939,8598,60,10,29,15,1017
1940,10982,62,9,32,22,1016
1941,7729,62,12,30,26,1015
1942,12106,61,10,27,15,1014
1943,9746,60,10,29,15,1017
1944,13865,62,9,32,22,1016
1945,10393,62,12,30,26,1015
1946,12659,61,10,27,15,1014
1947,10985,63,11,26,18,1012
1948,13033,61,11,28,18,1018
1949,9130,60,10,29,15,1017
1950,8806,62,9,32,22,1016
1951,6358,62,12,30,26,1015
1952,8686,61,10,27,15,1014
1953,8173,63,11,26,18,1012
1954,10754,60,10,29,15,1017
1955,11284,62,9,32,22,1016
1956,10746,62,12,30,26,1015
1957,8766,61,10,27,15,1014
1958,11090,63,11,26,18,1012
1959,11897,61,11,28,18,1018
1960,8954,60,10,29,15,1017
1961,14209,62,9,32,22,1016
1962,8882,62,12,30,26,1015
1963,9227,62,9,32,22,1016
1964,9209,62,12,30,26,1015
1965,6683,61,10,27,15,1014
1966,6507,63,11,26,18,1012
1967,10053,61,11,28,18,1018
1968,8654,60,10,29,15,1017
1969,10792,62,9,32,22,1016
1970,10768,62,12,30,26,1015
1971,11059,61,10,27,15,1014
1972,7516,63,11,26,18,1012
1973,13645,60,10,29,15,1017
1974,8787,62,9,32,22,1016
1975,10208,62,12,30,26,1015
1976,10608,61,10,27,15,1014
1977,10902,63,11,26,18,1012
1978,11026,61,11,28,18,1018
1979,7821,60,10,29,15,1017
1980,8640,62,9,32,22,1016
1981,8802,62,12,30,26,1015
1982,9678,61,10,27,15,1014
1983,11167,60,10,29,15,1017
1984,9118,62,9,32,22,1016
1985,9394,62,12,30,26,1015
1986,9319,61,10,27,15,1014
1987,7691,63,11,26,18,1012
1988,9332,61,11,28,18,1018
1989,7307,60,10,29,15,1017
1990,11673,62,9,32,22,1016
1991,7563,62,12,30,26,1015
1992,7753,61,10,27,15,1014
1993,10045,63,11,26,18,1012
1994,11818,60,10,29,15,1017
1995,9410,62,9,32,22,1016
1996,11249,62,12,30,26,1015
1997,10547,61,10,27,15,1014
1998,9851,63,11,26,18,1012
1999,10931,61,11,28,18,1018
2000,6948,62,9,32,22,1016
2001,7883,62,12,30,26,1015
2002,6980,61,10,27,15,1014
2003,9100,63,11,26,18,1012
2004,8342,61,11,28,18,1018
2005,7292,60,10,29,15,1017
2006,11542,62,9,32,22,1016
2007,9049,62,12,30,26,1015
2008,8015,61,10,27,15,1014
2009,8804,63,11,26,18,1012
2010,8452,60,10,29,15,1017
2011,10747,62,9,32,22,1016
2012,10307,62,12,30,26,1015
2013,14108,61,10,27,15,1014
2014,8694,63,11,26,18,1012
2015,10731,61,11,28,18,1018
2016,10916,60,10,29,15,1017
2017,9049,62,12,30,26,1015
2018,8015,61,10,27,15,1014
2019,8804,63,11,26,18,1012
2020,8452,60,10,29,15,1017
