Year,Ph,OC(g kg),EC(dS/m),N(kg/ha),P(kg/ha),K(kg/ha)
1920,6.5,0.5,1,250,10,190
1921,8,0.75,0.8,400,20,400
1922,6.6,0.6,0.2,270,11,220
1923,6.7,0.71,0.5,280,15,380
1924,6.8,0.72,0.6,290,16,350
1925,7,0.73,0.9,330,17,399
1926,8,0.75,0.8,400,20,400
1927,6.6,0.6,0.2,270,11,220
1928,6.7,0.71,0.5,280,15,380
1929,6.8,0.72,0.6,290,16,350
1930,8,0.75,0.8,400,20,400
1931,6.6,0.6,0.2,270,11,220
1932,6.7,0.71,0.5,280,15,380
1933,6.8,0.72,0.6,290,16,350
1934,7,0.73,0.9,330,17,399
1935,8,0.75,0.8,400,20,400
1936,6.6,0.6,0.2,270,11,220
1937,6.7,0.71,0.5,280,15,380
1938,6.6,0.6,0.2,270,11,220
1939,6.7,0.71,0.5,280,15,380
1940,6.8,0.72,0.6,290,16,350
1941,7,0.73,0.9,330,17,399
1942,8,0.75,0.8,400,20,400
1943,6.6,0.6,0.2,270,11,220
1944,6.7,0.71,0.5,280,15,380
1945,6.8,0.72,0.6,290,16,350
1946,8,0.75,0.8,400,20,400
1947,6.6,0.6,0.2,270,11,220
1948,6.7,0.71,0.5,280,15,380
1949,6.8,0.72,0.6,290,16,350
1950,7,0.73,0.9,330,17,399
1951,8,0.75,0.8,400,20,400
1952,6.6,0.6,0.2,270,11,220
1953,8,0.75,0.8,400,20,400
1954,6.6,0.6,0.2,270,11,220
1955,6.7,0.71,0.5,280,15,380
1956,6.8,0.72,0.6,290,16,350
1957,7,0.73,0.9,330,17,399
1958,8,0.75,0.8,400,20,400
1959,6.6,0.6,0.2,270,11,220
1960,6.7,0.71,0.5,280,15,380
1961,6.8,0.72,0.6,290,16,350
1962,8,0.75,0.8,400,20,400
1963,6.6,0.6,0.2,270,11,220
1964,6.7,0.71,0.5,280,15,380
1965,6.8,0.72,0.6,290,16,350
1966,7,0.73,0.9,330,17,399
1967,8,0.75,0.8,400,20,400
1968,6.6,0.6,0.2,270,11,220
1969,6.7,0.71,0.5,280,15,380
1970,6.6,0.6,0.2,270,11,220
1971,6.7,0.71,0.5,280,15,380
1972,6.8,0.72,0.6,290,16,350
1973,7,0.73,0.9,330,17,399
1974,8,0.75,0.8,400,20,400
1975,6.6,0.6,0.2,270,11,220
1976,6.7,0.71,0.5,280,15,380
1977,6.8,0.72,0.6,290,16,350
1978,8,0.75,0.8,400,20,400
1979,6.6,0.6,0.2,270,11,220
1980,6.7,0.71,0.5,280,15,380
1981,6.8,0.72,0.6,290,16,350
1982,7,0.73,0.9,330,17,399
1983,8,0.75,0.8,400,20,400
1984,6.6,0.6,0.2,270,11,220
1985,6.7,0.71,0.5,280,15,380
1986,6.8,0.72,0.6,290,16,350
1987,8,0.75,0.8,400,20,400
1988,6.6,0.6,0.2,270,11,220
1989,6.7,0.71,0.5,280,15,380
1990,6.8,0.72,0.6,290,16,350
1991,7,0.73,0.9,330,17,399
1992,8,0.75,0.8,400,20,400
1993,6.6,0.6,0.2,270,11,220
1994,6.7,0.71,0.5,280,15,380
1995,6.6,0.6,0.2,270,11,220
1996,6.7,0.71,0.5,280,15,380
1997,6.8,0.72,0.6,290,16,350
1998,7,0.73,0.9,330,17,399
1999,8,0.75,0.8,400,20,400
2000,6.6,0.6,0.2,270,11,220
2001,6.7,0.71,0.5,280,15,380
2002,6.8,0.72,0.6,290,16,350
2003,8,0.75,0.8,400,20,400
2004,6.6,0.6,0.2,270,11,220
2005,6.7,0.71,0.5,280,15,380
2006,6.8,0.72,0.6,290,16,350
2007,7,0.73,0.9,330,17,399
2008,8,0.75,0.8,400,20,400
2009,6.6,0.6,0.2,270,11,220
2010,8,0.75,0.8,400,20,400
2011,6.6,0.6,0.2,270,11,220
2012,6.7,0.71,0.5,280,15,380
2013,6.8,0.72,0.6,290,16,350
2014,7,0.73,0.9,330,17,399
2015,6.6,0.6,0.2,270,11,220
2016,6.7,0.71,0.5,280,15,380
2017,6.6,0.6,0.2,270,11,220
2018,6.7,0.71,0.5,280,15,380
2019,6.8,0.72,0.6,290,16,350
2020,7,0.73,0.9,330,17,399
