Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1920,2271,12113,2271,2271,2271,8108
1921,2400,12000,1789,1200,4567,9000
1922,1980,11789,1567,1000,6774,7890
1923,1890,10678,2045,1001,8992,7567
1924,1760,12078,2109,1005,10000,5672
1925,9000,4567,1200,1789,12000,2100
1926,7890,6774,1000,1567,11789,1980
1927,7567,8992,1001,2045,10678,1890
1928,5672,10000,1005,2109,12078,1760
1929,2100,12000,1789,1200,4567,9000
1930,1980,11789,1567,1000,6774,7890
1931,1890,10678,2045,1001,8992,7567
1932,1760,12078,2109,1005,10000,5672
1933,9000,4567,1200,1789,12000,2100
1934,7890,6774,1000,1567,11789,1980
1935,7567,8992,1001,2045,10678,1890
1936,1980,11789,1567,1000,6774,7890
1937,1890,10678,2045,1001,8992,7567
1938,1760,12078,2109,1005,10000,5672
1939,9000,4567,1200,1789,12000,2100
1940,7890,6774,1000,1567,11789,1980
1941,7567,8992,1001,2045,10678,1890
1942,5672,10000,1005,2109,12078,1760
1943,2100,12000,1789,1200,4567,9000
1944,1980,11789,1567,1000,6774,7890
1945,1890,10678,2045,1001,8992,7567
1946,1760,12078,2109,1005,10000,5672
1947,9000,4567,1200,1789,12000,2100
1948,7890,6774,1000,1567,11789,1980
1949,2400,12000,1789,1200,4567,9000
1950,1980,11789,1567,1000,6774,7890
1951,1890,10678,2045,1001,8992,7567
1952,1760,12078,2109,1005,10000,5672
1953,9000,4567,1200,1789,12000,2100
1954,7890,6774,1000,1567,11789,1980
1955,7567,8992,1001,2045,10678,1890
1956,5672,10000,1005,2109,12078,1760
1957,2100,12000,1789,1200,4567,9000
1958,1980,11789,1567,1000,6774,7890
1959,1890,10678,2045,1001,8992,7567
1960,1760,12078,2109,1005,10000,5672
1961,9000,4567,1200,1789,12000,2100
1962,7890,6774,1000,1567,11789,1980
1963,7567,8992,1001,2045,10678,1890
1964,1980,11789,1567,1000,6774,7890
1965,1890,10678,2045,1001,8992,7567
1966,1760,12078,2109,1005,10000,5672
1967,9000,4567,1200,1789,12000,2100
1968,7890,6774,1000,1567,11789,1980
1969,7567,8992,1001,2045,10678,1890
1970,5672,10000,1005,2109,12078,1760
1971,2100,12000,1789,1200,4567,9000
1972,1980,11789,1567,1000,6774,7890
1973,1890,10678,2045,1001,8992,7567
1974,1760,12078,2109,1005,10000,5672
1975,1760,12078,2109,1005,10000,5672
1976,9000,4567,1200,1789,12000,2100
1977,7890,6774,1000,1567,11789,1980
1978,7567,8992,1001,2045,10678,1890
1979,5672,10000,1005,2109,12078,1760
1980,2100,12000,1789,1200,4567,9000
1981,1980,11789,1567,1000,6774,7890
1982,1890,10678,2045,1001,8992,7567
1983,1760,12078,2109,1005,10000,5672
1984,9000,4567,1200,1789,12000,2100
1985,7890,6774,1000,1567,11789,1980
1986,7567,8992,1001,2045,10678,1890
1987,1980,11789,1567,1000,6774,7890
1988,1890,10678,2045,1001,8992,7567
1989,1760,12078,2109,1005,10000,5672
1990,9000,4567,1200,1789,12000,2100
1991,7890,6774,1000,1567,11789,1980
1992,7567,8992,1001,2045,10678,1890
1993,5672,10000,1005,2109,12078,1760
1994,2100,12000,1789,1200,4567,9000
1995,1980,11789,1567,1000,6774,7890
1996,1890,10678,2045,1001,8992,7567
1997,1760,12078,2109,1005,10000,5672
1998,9000,4567,1200,1789,12000,2100
1999,7890,6774,1000,1567,11789,1980
2000,2400,12000,1789,1200,4567,9000
2001,1980,11789,1567,1000,6774,7890
2002,1890,10678,2045,1001,8992,7567
2003,1760,12078,2109,1005,10000,5672
2004,9000,4567,1200,1789,12000,2100
2005,7890,6774,1000,1567,11789,1980
2006,7567,8992,1001,2045,10678,1890
2007,5672,10000,1005,2109,12078,1760
2008,2100,12000,1789,1200,4567,9000
2009,1980,11789,1567,1000,6774,7890
2010,1890,10678,2045,1001,8992,7567
2011,1760,12078,2109,1005,10000,5672
2012,9000,4567,1200,1789,12000,2100
2013,7890,6774,1000,1567,11789,1980
2014,7567,8992,1001,2045,10678,1890
2015,1980,11789,1567,1000,6774,7890
2016,1890,10678,2045,1001,8992,7567
2017,1760,12078,2109,1005,10000,5672
2018,9000,4567,1200,1789,12000,2100
2019,7890,6774,1000,1567,11789,1980
2020,7567,8992,1001,2045,10678,1890
