"Year","NPK(tonnes)","MAP(tonnes)","MOP(tonnes)","TSP(tonnes)","UREA(tonnes)","DAP(tonnes)"
1920,2134,188,212,98,246,260
1921,2135,189,488,99,505,917
1922,2136,190,213,100,247,261
1923,2137,191,214,101,248,617
1924,2138,192,215,102,249,618
1925,2139,193,216,103,250,619
1926,2140,194,217,104,251,620
1927,2141,195,218,105,252,621
1928,2142,196,219,106,253,622
1929,2143,197,220,107,254,623
1930,2144,198,221,108,255,624
1931,2145,199,222,109,256,625
1932,2146,200,223,110,257,626
1933,2147,201,224,111,258,627
1934,2148,202,225,112,259,628
1935,2149,203,226,113,260,629
1936,2150,204,227,114,261,630
1937,2151,205,228,115,262,631
1938,2152,206,229,116,263,632
1939,2153,207,230,117,264,633
1940,2154,208,231,118,265,634
1941,2155,209,232,119,266,635
1942,2156,210,233,120,267,636
1943,2157,211,234,121,268,637
1944,2158,212,235,122,269,638
1945,2159,213,236,123,270,639
1946,2160,214,237,124,271,640
1947,2161,215,238,125,272,641
1948,2162,216,239,126,273,642
1949,2163,217,240,127,274,643
1950,2164,218,241,128,275,644
1951,2165,219,242,129,276,645
1952,2166,220,243,130,277,646
1953,2167,221,244,131,278,647
1954,2168,222,245,132,279,648
1955,2169,223,246,133,280,649
1956,2170,224,247,134,281,650
1957,2171,225,248,135,282,651
1958,2172,226,249,136,283,652
1959,2173,227,250,137,284,653
1960,2174,228,251,138,285,654
1961,2175,229,252,139,286,655
1962,2176,230,253,140,287,656
1963,2177,231,254,141,288,657
1964,2178,232,255,142,289,658
1965,2179,233,256,143,290,659
1966,2180,234,257,144,291,660
1967,2181,235,258,145,292,661
1968,2182,236,259,146,293,662
1969,2183,237,260,147,294,663
1970,2184,238,261,148,295,664
1971,2185,239,262,149,296,665
1972,3200,240,263,150,297,666
1973,3201,241,264,151,298,667
1974,3202,242,265,152,299,668
1975,3203,243,266,153,300,669
1976,3204,244,267,154,301,670
1977,3205,245,268,155,302,671
1978,3206,246,269,156,303,672
1979,3207,247,270,157,304,780
1980,3208,248,271,158,305,781
1981,3209,249,272,159,306,782
1982,3210,250,273,160,307,783
1983,3211,251,274,161,308,784
1984,3212,252,275,162,309,785
1985,3213,253,276,163,310,786
1986,3214,254,277,164,311,787
1987,3215,255,278,165,312,788
1988,3216,256,279,166,313,789
1989,3217,257,280,167,314,790
1990,3218,258,281,168,315,791
1991,3219,259,282,169,316,792
1992,3220,260,283,170,317,793
1993,3221,261,284,171,318,794
1994,3222,262,285,172,319,795
1995,3223,263,286,173,320,796
1996,3224,264,287,174,321,797
1997,3225,265,288,175,322,798
1998,3226,266,289,176,323,799
1999,3227,267,290,177,324,800
2000,3228,268,291,178,325,801
2001,3229,269,292,179,326,802
2002,3230,270,293,180,327,803
2003,3231,271,294,181,328,804
2004,3232,272,295,182,329,805
2005,3233,273,296,183,330,806
2006,3234,274,297,184,331,807
2007,3235,275,298,185,332,808
2008,3236,276,299,186,333,809
2009,3237,277,300,187,334,810
2010,3238,278,301,188,335,811
2011,3239,279,302,189,336,812
2012,3240,280,303,190,337,813
2013,3241,281,304,191,338,814
2014,3242,282,305,192,339,815
2015,3243,283,306,193,340,816
2016,3244,284,307,194,341,817
2017,3245,285,308,195,342,818
2018,3246,286,309,196,343,819
2019,3247,287,310,197,344,820
2020,3248,288,311,198,345,821
