"Year","Ph","OC(g kg)","EC(dS/m)","N(kg/ha)","P(kg/ha)","K(kg/ha)"
1920,7.5,4,0.2,150,14,150
1921,7.6,5,0.3,160,5,240
1922,7.7,6,0.4,170,6,170
1923,8,7,0.5,180,7,180
1924,8.1,8,0.5,190,8,190
1925,8.2,5,0.3,200,9,210
1926,9,6,0.8,210,10,220
1927,9.3,7,0.9,220,11,250
1928,7.6,8,1,221,12,230
1929,7.7,4,0.3,222,13,231
1930,8.1,5,0.4,223,14,231
1931,8.2,6,0.5,224,7,232
1932,8.3,7,0.5,225,8,240
1933,8.4,8,0.3,226,5,170
1934,8.5,5,0.8,227,6,180
1935,7.7,5,0.9,250,7,190
1936,8,6,0.3,280,8,210
1937,8.1,7,0.4,160,9,220
1938,8.2,8,0.5,170,10,250
1939,9,5,0.5,180,11,230
1940,9.3,6,0.3,190,12,231
1941,7.6,7,0.8,200,13,231
1942,7.7,8,0.9,210,14,232
1943,8.1,4,1,220,7,240
1944,8.2,5,0.3,221,10,240
1945,8.3,6,0.4,222,11,170
1946,8.4,7,0.5,223,12,180
1947,7.6,8,0.5,224,13,190
1948,7.7,6,0.3,225,14,210
1949,8,7,0.8,226,7,220
1950,8.1,8,0.3,227,8,250
1951,8.2,5,0.4,250,5,230
1952,9,6,0.5,170,6,231
1953,9.3,7,0.5,180,7,231
1954,7.6,8,0.3,190,8,232
1955,7.7,4,0.8,200,9,240
1956,8.1,5,0.9,210,10,170
1957,8.2,6,1,220,11,180
1958,8.3,7,0.3,221,12,190
1959,8.4,8,0.4,222,13,210
1960,8.5,5,0.5,223,14,220
1961,7.7,5,0.5,224,10,250
1962,8,6,0.3,225,11,230
1963,8.1,7,0.8,226,12,231
1964,8.2,8,0.9,227,13,231
1965,9,5,0.3,250,14,232
1966,9.3,6,0.4,280,7,170
1967,7.6,7,0.5,160,8,180
1968,7.7,8,0.5,170,5,190
1969,8.1,4,0.3,180,6,210
1970,8.2,5,0.8,190,7,220
1971,8.3,6,0.9,200,8,250
1972,7.6,7,1,210,9,230
1973,7.7,6,0.4,220,10,231
1974,8,7,0.5,221,11,231
1975,8.1,8,0.5,222,12,232
1976,8.2,5,0.3,223,13,240
1977,9,6,0.8,224,14,170
1978,9.3,7,0.9,225,7,180
1979,7.6,8,1,226,10,190
1980,7.7,4,0.3,227,11,210
1981,8.1,5,0.4,180,12,220
1982,8.2,6,0.5,190,13,250
1983,8.3,7,0.5,200,14,230
1984,8.4,8,0.3,210,7,231
1985,8.5,5,0.8,220,8,231
1986,7.7,5,0.9,221,5,232
1987,8,6,0.3,222,6,240
1988,8.1,7,0.4,223,7,240
1989,8.2,8,0.5,224,8,170
1990,9,5,0.5,225,9,180
1991,9.3,6,0.3,226,10,190
1992,7.6,7,0.8,227,11,210
1993,7.7,8,0.9,250,12,220
1994,8.1,4,1,280,11,250
1995,8.2,5,0.3,160,12,230
1996,8.3,6,0.4,170,13,231
1997,8.4,7,0.5,180,14,231
1998,7.6,8,0.5,190,10,232
1999,7.7,6,0.3,200,11,240
2000,8,7,0.8,210,12,170
2001,8.1,8,0.3,220,13,180
2002,8.2,5,0.4,221,14,190
2003,9,6,0.5,222,7,210
2004,9.3,7,0.5,223,8,220
2005,7.6,8,0.3,224,5,250
2006,7.7,4,0.8,225,6,210
2007,8.1,5,0.9,226,7,220
2008,8.2,6,1,227,8,250
2009,8.3,7,0.3,250,9,230
2010,8.4,8,0.4,170,10,231
2011,8.5,5,0.5,180,11,231
2012,7.7,5,0.5,190,12,232
2013,7.7,6,0.3,200,13,240
2014,8.1,7,0.8,210,14,170
2015,8.2,8,0.5,220,7,240
2016,8.3,5,0.5,221,10,170
2017,8.4,6,0.3,222,11,180
2018,8.5,7,0.8,223,12,190
2019,9.3,8,0.2,224,13,210
2020,9,7,0.4,225,14,220
