"Year","MALATHION(QTY)(kg)","DIMETHOATE(QTY)(kg)","D.D.V.P.(QTY)(kg)","COPPER OXYCHLORIDE(QTY)(kg)","CARBARYL(QTY)(kg)","CARBOSULPHAN(QTY)(kg)"
1920,2254,2834,2200,1760,2300,1509
1921,950,780,990,1300,1890,2100
1922,5673,781,2201,1301,1891,2101
1923,7643,782,2202,1302,1892,2102
1924,7644,783,2203,1303,1893,2103
1925,7645,784,2204,1304,1894,2104
1926,7646,785,2205,1305,1895,2105
1927,7647,786,2206,1306,1896,2106
1928,7648,787,2207,1307,1897,2107
1929,7649,788,2208,1308,1898,2108
1930,7650,789,2209,1309,1899,2109
1931,7651,790,2210,1310,1900,2110
1932,7652,791,2211,1311,1901,2111
1933,7653,792,2212,1312,1902,2112
1934,7654,793,2213,1313,1903,2113
1935,7655,794,2214,1314,1904,2114
1936,7656,795,2215,1315,1905,2115
1937,7657,796,2216,1316,1906,2116
1938,7658,797,2217,1317,1907,2117
1939,7659,798,2218,1318,1908,2118
1940,7660,799,2219,1319,1909,2119
1941,7661,800,2220,1320,1910,2120
1942,7662,801,2221,1321,1911,2121
1943,7663,802,2222,1322,1912,2122
1944,7664,803,2223,1323,1913,2123
1945,7665,804,2224,1324,1914,2124
1946,7666,805,2225,1325,1915,2125
1947,7667,806,2226,1326,1916,2126
1948,7668,807,2227,1327,1917,2127
1949,7669,808,2228,1328,1918,2128
1950,7670,809,2229,1329,1919,2129
1951,7671,810,2230,1330,1920,2130
1952,7672,811,2231,1331,1921,2131
1953,7673,812,2232,1332,1922,2132
1954,7674,813,2233,1333,1923,2133
1955,7675,814,2234,1334,1924,2134
1956,7676,815,2235,1335,1925,2135
1957,7677,816,2236,1336,1926,2136
1958,7678,817,2237,1337,1927,2137
1959,7679,818,2238,1338,1928,2138
1960,7680,819,2239,1339,1929,2139
1961,7681,820,2240,1340,1930,2140
1962,7682,821,2241,1341,1931,2141
1963,7683,822,2242,1342,1932,2142
1964,879,2600,2243,1343,1933,2143
1965,880,2601,2244,1344,1934,2144
1966,881,2602,2245,1345,1935,2145
1967,882,2603,2246,1346,1936,2146
1968,883,2604,2247,1347,1937,2147
1969,884,2605,2248,1348,1938,2148
1970,885,2606,2249,1349,1939,2149
1971,886,2607,2250,1350,1940,2150
1972,887,2608,2251,1351,1941,2151
1973,888,2609,2252,1352,1942,2152
1974,889,2610,2253,1353,1943,2153
1975,890,2611,2254,1354,1944,2154
1976,891,2612,2255,1355,1945,2155
1977,892,2613,2256,1356,1946,2156
1978,893,2614,2257,1357,1947,2157
1979,894,2615,2258,1358,1948,2158
1980,895,2616,2259,1359,1949,2159
1981,896,2617,2260,1360,1950,2160
1982,897,2618,2261,1361,1951,2161
1983,898,2619,2262,1362,1952,2162
1984,899,2620,2263,1363,1953,2163
1985,900,2621,2264,1364,1954,2164
1986,7676,815,2235,1335,1925,2135
1987,7677,816,2236,1336,1926,2136
1988,7678,817,2237,1337,1927,2137
1989,7679,818,2238,1338,1928,2138
1990,7680,819,2239,1339,1929,2139
1991,7681,820,2240,1340,1930,2140
1992,7682,821,2241,1341,1931,2141
1993,7683,822,2242,1342,1932,2142
1994,879,2600,2243,1343,1933,2143
1995,880,2601,2244,1344,1934,2144
1996,881,2602,2245,1345,1935,2145
1997,882,2603,2246,1346,1936,2146
1998,883,2604,2247,1347,1937,2147
1999,884,2605,2248,1348,1938,2148
2000,885,2606,2249,1349,1939,2149
2001,886,2607,2250,1350,1940,2150
2002,887,2608,2251,1351,1941,2151
2003,888,2609,2252,1352,1942,2152
2004,889,2610,2253,1353,1943,2153
2005,890,2611,2254,1354,1944,2154
2006,891,2612,2255,1355,1945,2155
2007,892,2613,2256,1356,1946,2156
2008,893,2614,2257,1357,1947,2157
2009,894,2615,2258,1358,1948,2158
2010,895,2616,2259,1359,1949,2159
2011,896,2617,2260,1360,1950,2160
2012,897,2618,2261,1361,1951,2161
2013,898,2619,2262,1362,1952,2162
2014,880,2601,2244,1344,1934,2144
2015,881,2602,2245,1345,1935,2145
2016,882,2603,2246,1346,1936,2146
2017,883,2604,2247,1347,1937,2147
2018,884,2605,2248,1348,1938,2148
2019,885,2606,2249,1349,1939,2149
2020,886,2607,2250,1350,1940,2150
