"Year","Rise (Depth of Water)","Fall(Depth of Water)","Rise(Fluctuation)","Fall(Fluctuation)","pH","EC(micro/cm)"
1920,0.05,46.74,13.84,14.85,6.5,3000
1921,0.05,47.74,14.84,15.85,7.5,2800
1922,0.05,48.74,15.84,16.85,8.5,2100
1923,0.05,49.74,16.84,17.85,8.1,2200
1924,0.05,50.74,17.84,18.85,8.2,2201
1925,0.05,51.74,18.84,19.85,8.3,2202
1926,0.05,52.74,19.84,20.85,8.4,2203
1927,0.05,53.74,20.56,21.85,8.2,2204
1928,0.05,54.74,21.84,22.85,7.5,2205
1929,0.05,55.74,22.84,23.85,8.5,2206
1930,0.05,56.74,23.84,24.85,8.1,2207
1931,0.05,57.74,24.84,25.85,8.2,2208
1932,0.05,58.74,25.84,26.85,8.3,2209
1933,0.05,59.74,26.84,27.85,8.4,2210
1934,0.05,60.74,27.84,28.85,8.2,2211
1935,0.05,61.74,28.84,29.85,8.5,2212
1936,0.05,62.74,29.84,30.85,8.1,2213
1937,0.05,63.74,30.84,31.85,8.2,2214
1938,0.05,64.74,31.84,32.85,8.3,2215
1939,0.05,65.74,32.84,33.85,8.4,2216
1940,0.05,66.74,33.84,34.85,8.2,2217
1941,0.05,67.74,34.84,35.85,7.5,2218
1942,0.05,68.74,35.84,36.85,8.5,2219
1943,0.05,69.74,36.84,37.85,8.1,2220
1944,0.05,46.74,37.84,38.85,8.2,2221
1945,0.05,46.74,38.84,39.85,8.3,2222
1946,0.05,46.74,39.84,40.85,8.4,2223
1947,0.05,46.74,40.84,41.85,8.1,2224
1948,0.05,46.74,41.84,42.85,8.2,2225
1949,0.05,46.74,42.84,43.85,8.3,2226
1950,0.05,46.74,43.84,44.85,8.4,2227
1951,0.05,46.74,44.84,45.85,8.2,2228
1952,0.05,46.74,45.84,46.85,7.5,2229
1953,0.05,46.74,46.84,47.85,8.5,2230
1954,0.05,46.74,47.84,48.85,8.1,2231
1955,0.05,46.74,48.84,49.85,8.2,2232
1956,0.05,46.74,49.84,50.85,8.3,2233
1957,0.05,46.74,50.84,51.85,8.4,2234
1958,0.05,46.74,51.84,52.85,8.2,2235
1959,0.05,46.74,52.84,53.85,8.5,2236
1960,0.05,46.74,53.84,54.85,8.1,2237
1961,0.05,46.74,54.84,55.85,8.2,2238
1962,0.05,47.74,55.84,56.85,8.3,2239
1963,0.05,48.74,56.84,23.85,8.4,2240
1964,0.05,49.74,57.84,24.85,8.2,2241
1965,0.05,50.74,58.84,25.85,7.5,2242
1966,0.05,51.74,59.84,26.85,8.1,2243
1967,0.05,52.74,60.84,27.85,8.2,2244
1968,0.05,53.74,26.84,28.85,8.3,2245
1969,0.05,54.74,27.84,29.85,8.4,2246
1970,0.05,55.74,28.84,30.85,8.2,2247
1971,0.05,56.74,29.84,31.85,7.5,2248
1972,0.05,57.74,30.84,32.85,8.5,2249
1973,0.05,58.74,31.84,33.85,8.1,2250
1974,0.05,59.74,32.84,34.85,8.2,2251
1975,0.05,60.74,33.84,35.85,8.3,2252
1976,0.05,61.74,34.84,36.85,8.4,2253
1977,0.05,62.74,35.84,37.85,8.2,2254
1978,0.05,63.74,36.84,38.85,8.5,2255
1979,0.05,64.74,37.84,39.85,8.1,2256
1980,0.05,65.74,38.84,40.85,8.2,2257
1981,0.05,66.74,39.84,41.85,8.3,2258
1982,0.05,67.74,40.84,42.85,8.4,2259
1983,0.05,68.74,41.84,43.85,8.2,2260
1984,0.05,69.74,42.84,44.85,7.5,2261
1985,0.05,70.74,43.84,45.85,8.5,2262
1986,0.05,71.74,44.84,46.85,8.1,2263
1987,0.05,72.74,45.84,47.85,8.2,2264
1988,0.05,50.74,46.84,48.85,8.3,2265
1989,0.05,51.74,47.84,49.85,8.4,2266
1990,0.05,52.74,48.84,50.85,8.1,2267
1991,0.05,53.74,49.84,51.85,8.2,2268
1992,0.05,54.74,50.84,52.85,8.3,2269
1993,0.05,55.74,51.84,53.85,8.4,2270
1994,0.05,56.74,52.84,54.85,8.2,2271
1995,0.05,57.74,53.84,55.85,7.5,2272
1996,0.05,58.74,54.84,33.85,8.5,2273
1997,0.05,59.74,55.84,34.85,8.1,2274
1998,0.05,60.74,56.84,35.85,8.2,2275
1999,0.05,61.74,57.84,36.85,8.3,2276
2000,0.05,62.74,58.84,37.85,8.4,2277
2001,0.05,63.74,59.84,38.85,8.2,2278
2002,0.05,64.74,60.84,39.85,8.5,2279
2003,0.05,65.74,53.84,40.85,8.1,2280
2004,0.05,66.74,54.84,41.85,8.2,2281
2005,0.05,67.74,55.84,42.85,8.3,2282
2006,0.05,68.74,56.84,43.85,8.4,2283
2007,0.05,69.74,57.84,44.85,8.2,2284
2008,0.05,46.74,58.84,45.85,8.5,2285
2009,0.05,46.74,59.84,46.85,8.1,2286
2010,0.05,46.74,37.84,47.85,8.2,2287
2011,0.05,46.74,38.84,48.85,8.3,2288
2012,0.05,47.74,39.84,49.85,8.4,2289
2013,0.05,48.74,40.84,50.85,8.2,2290
2014,0.05,49.74,41.84,51.85,7.5,2291
2015,0.05,50.74,42.84,52.85,8.5,2292
2016,0.05,51.74,43.84,53.85,8.1,2293
2017,0.05,52.74,55.84,54.85,8.2,2294
2018,0.05,53.74,56.84,55.85,8.3,2295
2019,0.05,54.74,57.84,56.85,8.4,2296
2020,0.05,55.74,58.84,23.85,8.2,2297
