"Year","Rainfall","Humidity","Wind","Max Temp","Min Temp","Air Pressure"
1920,4981,71,10,35,28,1014
1921,6093,56,5,30,27,1012
1922,6750,57,4,31,26,1011
1923,6200,58,7,32,25,1010
1924,6740,59,8,33,24,1012
1925,5774,60,9,34,22,1009
1926,6722,61,10,35,28,1011
1927,7163,62,7,30,17,1013
1928,7247,63,8,31,22,1012
1929,6331,64,9,32,20,1011
1930,7894,65,5,33,21,1010
1931,9199,66,4,30,26,1012
1932,9324,70,7,31,27,1009
1933,10044,71,8,32,26,1011
1934,7955,72,9,33,25,1012
1935,6480,73,10,34,24,1011
1936,5800,74,7,35,22,1010
1937,7091,75,8,30,28,1012
1938,9953,76,9,31,17,1009
1939,5581,71,5,32,22,1011
1940,6948,56,4,30,20,1013
1941,5813,57,7,31,21,1012
1942,7181,58,8,32,27,1011
1943,8500,59,9,33,26,1010
1944,8622,60,10,34,25,1012
1945,5811,61,7,35,24,1009
1946,9258,62,8,30,22,1011
1947,7593,63,9,31,28,1014
1948,8040,64,5,32,17,1012
1949,7928,65,4,33,22,1011
1950,6604,66,7,30,20,1010
1951,5770,70,8,31,21,1012
1952,5103,71,9,32,26,1009
1953,6950,72,10,33,27,1011
1954,7501,73,7,34,26,1013
1955,8543,74,8,35,25,1012
1956,10402,63,5,30,24,1011
1957,7389,64,4,31,22,1010
1958,8368,65,7,30,28,1012
1959,8773,66,8,31,17,1009
1960,7204,70,9,32,22,1011
1961,8403,71,10,33,20,1012
1962,7697,72,7,34,27,1011
1963,7516,73,8,35,26,1010
1964,8001,74,9,30,25,1012
1965,6485,75,5,31,24,1009
1966,6423,76,4,32,22,1011
1967,8551,71,7,33,28,1013
1968,6481,56,8,30,17,1012
1969,8462,57,9,31,22,1011
1970,7886,58,10,32,20,1010
1971,6170,59,7,33,21,1012
1972,4089,60,8,34,26,1009
1973,8032,61,9,35,27,1011
1974,7718,62,5,30,26,1013
1975,9012,63,4,31,25,1012
1976,7488,64,7,32,24,1011
1977,6855,65,8,30,22,1010
1978,6940,66,9,31,28,1012
1979,8287,70,10,32,17,1009
1980,6498,71,7,33,22,1011
1981,8500,71,8,34,20,1012
1982,5822,56,9,35,21,1011
1983,7896,57,10,30,27,1010
1984,6879,58,5,31,26,1012
1985,4874,59,4,32,25,1009
1986,5491,60,7,33,24,1011
1987,7125,61,8,30,22,1013
1988,8176,62,9,31,28,1012
1989,7213,63,10,32,17,1011
1990,8668,64,7,33,22,1010
1991,7828,65,8,35,20,1012
1992,5937,66,9,30,21,1009
1993,8170,70,5,31,26,1011
1994,7479,71,4,32,27,1014
1995,6064,72,7,33,26,1012
1996,7543,73,8,30,25,1011
1997,7841,74,9,31,24,1012
1998,8694,75,10,32,22,1011
1999,6854,76,7,33,28,1010
2000,6634,71,8,34,17,1012
2001,6191,56,9,35,22,1009
2002,5521,57,5,30,20,1011
2003,5662,58,4,31,21,1013
2004,8133,59,7,30,27,1012
2005,9413,60,8,31,26,1011
2006,11284,61,9,32,25,1010
2007,8143,62,10,33,24,1012
2008,7826,63,7,34,22,1009
2009,7731,64,8,35,28,1011
2010,9389,65,9,30,17,1012
2011,6678,66,5,31,22,1011
2012,4900,70,4,32,20,1010
2013,8056,71,7,33,21,1012
2014,7866,72,8,30,26,1009
2015,5470,73,9,31,27,1011
2016,7248,74,10,32,27,1013
2017,7249,63,7,33,26,1012
2018,11284,64,8,34,25,1011
2019,7251,65,5,35,27,1010
2020,7252,66,4,30,28,1012
